effective_month,announced_window,available_from,source_kind,announced_bill_change_pct,announced_regulated_mm_est_pct,elec_pct,gas_pct,heat_pct,notes,source_url,provenance
2018-01,2017-11,2017-11-30,eru,,,,,,calm year; ERU tariff decision Nov-2017; realized regulated m/m +1.3 (reference only; gate inactive),https://eru.gov.cz/cenove-vymery,reconstructed
2019-01,2018-11,2018-11-30,eru,,,,,,calm year; realized +2.3 (reference only),https://eru.gov.cz/cenove-vymery,reconstructed
2020-01,2019-11,2019-11-29,eru,,,,,,calm year; realized +1.5 (reference only),https://eru.gov.cz/cenove-vymery,reconstructed
2021-01,2020-11,2020-11-27,eru,,,,,,calm year; ERU announced regulated components for 2021; realized +0.5,https://eru.gov.cz/eru-oznamuje-regulovane-ceny-elektriny-a-plynu-pro-rok-2021-0,reconstructed
2022-01,2021-10..2021-12,2021-12-15,suppliers+eru,30.0,16.5,,,,commodity-led: CEZ announced 2021-11-01 eff Jan-1 elec ~+33% (D02 1700->3120 CZK/MWh) gas +50-67%; Bohemia Energy collapse Oct-2021 pushed ~1m customers to spot-priced DPI; ERU regulated component itself only ~+2% elec/+1% gas. Mapping: announced bill change x0.55 energy share of regulated basket. Realized +17.1 | SUPERSEDED for the scored block by the sourced_retrospective row of 2026-09-07 (ANNOUNCEMENT_ADOPTION_v27); kept for the reconstructed scenario column,https://www.zscr.cz/clanek/cez-od-r-2022-zvysi-zakaznikum-cenu-elektriny-zhruba-o-tretinu-jeste-vice-podrazi-plyn-6574,reconstructed
2023-01,2022-10,2022-10-05,government,30.0,16.5,,,,cap decree 298/2022 Sb approved 2022-10-05: 6.05 CZK/kWh elec / 3.025 gas incl VAT eff Jan-1-2023; usporny tarif state subsidy (Oct-Dec 2022) ends Dec-31 -> mechanical January jump computable ex-ante from cap level + subsidy withdrawal. Same x0.55 mapping. Realized +30.9 (mapping conservative here) | SUPERSEDED for the scored block by the sourced_retrospective row of 2026-09-07 (ANNOUNCEMENT_ADOPTION_v27); kept for the reconstructed scenario column,https://www.zakonyprolidi.cz/cs/2022-298,reconstructed
2024-01,2023-11,2023-11-30,eru,0.0,3.0,,,,ERU 2023-11-30: regulated elec component +65.7% (subsidy withdrawal ~59bn CZK) BUT commodity prices falling and cap non-binding -> announced net household bills roughly flat (analyst consensus: most pay slightly more). Est +3 on regulated basket. Realized +5.8,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024,reconstructed
2025-01,2024-11,2024-11-29,eru,-9.0,-5.0,,,,ERU Nov-2024: household elec bills ~-10%; gas bills -8.5% (regulated gas component +8.2% but commodity down). Realized +0.8 (announced overshot the fall),https://eru.gov.cz/eru-zverejnil-regulovane-slozky-cen-elektriny-plynu-na-rok-2025,reconstructed
2026-01,2025-11,2025-11-28,eru,-8.0,,,,,ERU Nov-2025 price decisions for 2026: regulated elec -15.1% (2352 CZK/MWh low-voltage); gas regulated component up to +5%. Realized -0.9 | VOIDED per Codex audit: cited ERU page approved +1.1% low-voltage and only discussed a larger conditional reduction pending later funding decision; magnitude misdated -> removed (was inactive in backtest).,https://eru.gov.cz/eru-vydal-cenove-vymery-kterymi-stanovi-regulovane-ceny-elektriny-plynu-na-rok-2026-0,reconstructed
2020-01,2019-11,2019-11-26,eru,,,0.7150,0.1060,0.0000,"sourced_retrospective (frozen rule, ANNOUNCEMENT_SCENARIO_2026-09-07): ERU households regulated +1.3% x 55% share (elec), gas +0.53% x 20%; no January commodity change (CEZ raised only from March 2020); below the 8 gate | v2.7.1: per-fuel changes stored (elec 0.72 / gas 0.11 / heat 0.0 %); the v2.7 block-unit value 0.2 was a conversion at the 2026-09-07 month-end weight and is no longer stored",https://eru.gov.cz/eru-vydava-cenova-rozhodnuti-stanovujici-regulovane-ceny-v-elektroenergetice-a-plynarenstvi-pro-pristi-rok,sourced_retrospective
