group,bbg_source,transformation,base,label,ticker
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,All items,CZCPI Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Food and Nonalcoholic Beverages,CZCPF Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Alcoholic beverages and tobacco,CZCPA Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Clothing and Footwear,CZCPC Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,"Housing, Water, Electricity, Gas and Other Fuels",CZCPH Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,"Furnishings, Household Equipment and Maintenance",CZCPN Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Health,CZCPHE Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Transport,CZCPTR Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Telecommunications equipment,CZCPP Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Recreation and Culture,CZCPR Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Education,CZCPE Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Restaurants and Hotels,CZCPSH Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,Insurance and financial services,CZCP12 Index
cpi_czso_index,Czech Statistical Office,Index NSA,2025=100,"Personal care, social protection and miscellaneous goods and services",CZCP13 Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,All Items,CPALCZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Food and non-alcoholic beverages,CPF1CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Food,CPFOCZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Cereals and cereal products,CP11CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,"Live animals, and meat and other parts of slaughtered land animals",CP12CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Fish and other seafood,CP13CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,"Milk, other dairy products and eggs",CP14CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Oils and fats,CP15CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Fruits and nuts,CP16CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,"Vegetables, tubers, plantains, cooking bananas and pulses",CP17CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,"Sugar, confectionery and desserts",CP18CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Ready-made food and other food products,CP19CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Non-alcoholic beverages,CPNACZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Fruit and vegetable juices,CP773CZ Index
hicp_eurostat_index,Eurostat,Index NSA,2025=100,Coffee and coffee substitutes,CP751CZ Index
