report_date,cutoff_date,season,vintage_year,section,row_label,indicator,frequency,period,value,is_forecast
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2012,4292.458,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2013,4290.582,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2014,4387.625,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2015,4627.624,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2016,4740.488,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2017,4995.227,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2018,5154.05,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2019,5306.421,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2020,4998.103,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2021,5153.5851418866,True
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2022,5305.89721420561,True
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,A,2023,5485.91847341367,True
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2018Q1,1275.302,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2018Q2,1284.672,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2018Q3,1292.527,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2018Q4,1301.549,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2019Q1,1313.142,False
2022-02-10,2022-01-21,winter,2022,DEMAND AND SUPPLY,"GDP (CZK bn, constant p. of 2015, seas. adjusted)",,Q,2019Q2,1323.463,False
