Ukazatel,IndicatorType,Typ indexu,TYPUDAJE4A,Klasifikace COICOP 2018-Oddíl,CZCOICOP2.CZCOP1,Klasifikace COICOP 2018-Skupina a třída,CZCOICOP2.CZCOP23,Skupiny domácností,EKAKTIOCDS,Území,UZ02P,"Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky",CASMKMQRM12,Hodnota,MJ_TEXT,MJ_SYMBOL
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Nájemné za bydlení,041,Domácnosti celkem,0,Česko,CZ,leden 2015,2015-01,99.7,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Nájemné za bydlení,041,Domácnosti celkem,0,Česko,CZ,prosinec 2025,2025-12,152.2,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Nájemné za bydlení,041,Domácnosti celkem,0,Česko,CZ,leden 2026,2026-01,153.8,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Nájemné za bydlení,041,Domácnosti celkem,0,Česko,CZ,červenec 2026,2026-07,157.9,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Imputované nájemné za bydlení (náklady vlastnického bydlení),042,Domácnosti celkem,0,Česko,CZ,leden 2015,2015-01,99.6,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Imputované nájemné za bydlení (náklady vlastnického bydlení),042,Domácnosti celkem,0,Česko,CZ,prosinec 2025,2025-12,163.7,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Imputované nájemné za bydlení (náklady vlastnického bydlení),042,Domácnosti celkem,0,Česko,CZ,leden 2026,2026-01,164.0,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Bydlení, voda, energie, paliva",04,Imputované nájemné za bydlení (náklady vlastnického bydlení),042,Domácnosti celkem,0,Česko,CZ,červenec 2026,2026-07,168.8,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Kulturní služby,096,Domácnosti celkem,0,Česko,CZ,leden 2015,2015-01,99.5,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Kulturní služby,096,Domácnosti celkem,0,Česko,CZ,prosinec 2025,2025-12,221.9,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Kulturní služby,096,Domácnosti celkem,0,Česko,CZ,leden 2026,2026-01,227.5,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Kulturní služby,096,Domácnosti celkem,0,Česko,CZ,červenec 2026,2026-07,231.3,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Organizovaná dovolená a zájezdy,098,Domácnosti celkem,0,Česko,CZ,leden 2015,2015-01,96.3,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Organizovaná dovolená a zájezdy,098,Domácnosti celkem,0,Česko,CZ,prosinec 2025,2025-12,163.9,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Organizovaná dovolená a zájezdy,098,Domácnosti celkem,0,Česko,CZ,leden 2026,2026-01,172.7,procento,%
Index spotřebitelských cen (životních nákladů),6134,Bazický index (2015 = 100),IZ2015,"Rekreace, sport a kultura",09,Organizovaná dovolená a zájezdy,098,Domácnosti celkem,0,Česko,CZ,červenec 2026,2026-07,215.2,procento,%
