quarter,value
2000Q1,27.8
2000Q2,30.0
2000Q3,32.4
2000Q4,33.0
2001Q1,31.1
2001Q2,34.0
2001Q3,36.9
2001Q4,38.6
2002Q1,34.5
2002Q2,37.6
2002Q3,39.8
2002Q4,41.8
2003Q1,38.6
2003Q2,41.6
2003Q3,44.1
2003Q4,47.0
2004Q1,40.3
2004Q2,42.1
2004Q3,48.0
2004Q4,49.4
2005Q1,43.7
2005Q2,44.2
2005Q3,50.8
2005Q4,51.9
2006Q1,45.4
2006Q2,48.1
2006Q3,55.1
2006Q4,54.9
2007Q1,49.3
2007Q2,52.2
2007Q3,58.6
2007Q4,58.0
2008Q1,53.6
2008Q2,55.4
2008Q3,60.0
2008Q4,64.0
2009Q1,57.6
2009Q2,58.3
2009Q3,61.2
2009Q4,63.4
2010Q1,56.9
2010Q2,57.3
2010Q3,65.7
2010Q4,66.1
2011Q1,57.8
2011Q2,58.7
2011Q3,67.1
2011Q4,67.7
2012Q1,58.7
2012Q2,61.4
2012Q3,69.1
2012Q4,68.8
2013Q1,60.5
2013Q2,62.0
2013Q3,67.5
2013Q4,68.3
2014Q1,62.1
2014Q2,63.8
2014Q3,67.9
2014Q4,71.3
2015Q1,64.1
2015Q2,65.9
2015Q3,72.2
2015Q4,74.1
2016Q1,67.1
2016Q2,66.2
2016Q3,76.9
2016Q4,77.2
2017Q1,69.2
2017Q2,74.7
2017Q3,83.9
2017Q4,82.9
2018Q1,77.1
2018Q2,80.9
2018Q3,91.0
2018Q4,88.2
2019Q1,83.7
2019Q2,88.7
2019Q3,94.8
2019Q4,96.9
2020Q1,89.9
2020Q2,98.8
2020Q3,102.2
2020Q4,109.1
2021Q1,96.0
2021Q2,99.1
2021Q3,108.9
2021Q4,110.1
2022Q1,96.3
2022Q2,100.0
2022Q3,112.7
2022Q4,115.4
2023Q1,101.6
2023Q2,109.5
2023Q3,122.3
2023Q4,121.5
2024Q1,111.3
2024Q2,115.9
2024Q3,124.6
2024Q4,128.7
2025Q1,118.8
2025Q2,125.1
2025Q3,130.0
2025Q4,138.4
2026Q1,127.1
