ticker,retrieved_at_utc,bdp_px_last_may_be_intraday,provider_last_update_date,provider_last_update_time_unverified_timezone,currency,quote_units
FSBTY1 Index,2026-09-09T17:29:11.923080+00:00,82.94334,2026-09-09T00:00:00.000Z,18:19:10,USD,USD/barrel
TTFGCY1 Index,2026-09-09T17:29:14.023729+00:00,57.63066,2026-09-09T00:00:00.000Z,18:29:06,EUR,EUR/MWh
CO1 Comdty,2026-09-09T17:29:18.989386+00:00,100.39,2026-09-09T00:00:00.000Z,18:19:17,USD,USD/bbl.
USDCZK Curncy,2026-09-09T17:29:20.075866+00:00,20.8451,2026-09-09T00:00:00.000Z,18:29:19,CZK,
EURCZK Curncy,2026-09-09T17:29:21.076129+00:00,24.265,2026-09-09T00:00:00.000Z,18:29:20,CZK,
CO7 Comdty,2026-09-09T17:29:27.797028+00:00,83.66,2026-09-09T00:00:00.000Z,18:18:40,USD,USD/bbl.
CO13 Comdty,2026-09-09T17:29:33.099024+00:00,77.94,2026-09-08T00:00:00.000Z,2026-09-08T00:00:00.000Z,USD,USD/bbl.
PRIB03M Index,2026-09-09T17:29:34.023289+00:00,3.87,2026-09-08T00:00:00.000Z,2026-09-08T00:00:00.000Z,CZK,%
CKFR0CF Curncy,2026-09-09T17:29:34.941446+00:00,4.113,2026-09-09T00:00:00.000Z,15:53:50,CZK,
CKFR0FI Curncy,2026-09-09T17:29:35.872877+00:00,4.488,2026-09-09T00:00:00.000Z,15:55:12,CZK,
CKFR0I1 Curncy,2026-09-09T17:29:36.921321+00:00,4.6,2026-09-09T00:00:00.000Z,15:55:12,CZK,
CKFR011C Curncy,2026-09-09T17:29:37.991205+00:00,4.7,2026-09-09T00:00:00.000Z,15:55:12,CZK,
CKFR1C1F Curncy,2026-09-09T17:29:38.859029+00:00,4.725,2026-09-09T00:00:00.000Z,15:55:12,CZK,
CKFR1F1I Curncy,2026-09-09T17:29:39.678626+00:00,4.75,2026-09-09T00:00:00.000Z,15:55:12,CZK,
CKFR1I2 Curncy,2026-09-09T17:29:40.521542+00:00,4.765,2026-09-09T00:00:00.000Z,15:55:12,CZK,
