group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value
cpi_czso_index,CZCPI Index,2026-09-12T16:32:46.502604+00:00,Czech Republic CPI,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,102.6
cpi_czso_index,CZCPF Index,2026-09-12T16:32:47.310729+00:00,Czech Republic CPI Food & Non,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,96.3
cpi_czso_index,CZCPA Index,2026-09-12T16:32:47.845514+00:00,Czech Republic CPI Alcoholic B,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,104.5
cpi_czso_index,CZCPC Index,2026-09-12T16:32:48.428984+00:00,Czech Republic CPI Clothing &,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,96.0
cpi_czso_index,CZCPH Index,2026-09-12T16:32:49.009494+00:00,Czech Republic CPI Housing Wat,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,101.9
cpi_czso_index,CZCPN Index,2026-09-12T16:32:49.605971+00:00,Czech Republic CPI Furnishings,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,101.6
cpi_czso_index,CZCPHE Index,2026-09-12T16:32:50.185397+00:00,Czech Republic CPI Health,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,105.1
cpi_czso_index,CZCPTR Index,2026-09-12T16:32:50.731876+00:00,Czech Republic CPI Transport,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,109.5
cpi_czso_index,CZCPP Index,2026-09-12T16:32:51.317069+00:00,Czech Republic CPI Post & Tele,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,102.5
cpi_czso_index,CZCPR Index,2026-09-12T16:32:51.832613+00:00,Czech Republic CPI Recreation,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,108.0
cpi_czso_index,CZCPE Index,2026-09-12T16:32:52.389018+00:00,Czech Republic CPI Education,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,102.9
cpi_czso_index,CZCPSH Index,2026-09-12T16:32:52.931076+00:00,Czech Republic CPI Restaurants,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,104.9
cpi_czso_index,CZCP12 Index,2026-09-12T16:32:53.505333+00:00,Czech CPI Insurance And Financ,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,104.6
cpi_czso_index,CZCP13 Index,2026-09-12T16:32:54.013478+00:00,Czech CPI Personal Care Social,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140,2015-01-31,2026-08-31,104.0
hicp_food_index,CPALCZ Index,2026-09-12T16:32:54.564452+00:00,Eurostat Czech Republic HICP A,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,367,1996-01-31,2026-07-31,101.95
hicp_food_index,CPF1CZ Index,2026-09-12T16:32:55.083402+00:00,Eurostat Czech Rep HICP Food &,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,367,1996-01-31,2026-07-31,96.96
hicp_food_index,CPFOCZ Index,2026-09-12T16:32:55.652548+00:00,EU CPI Food Czech Republic,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,96.66
hicp_food_index,CP11CZ Index,2026-09-12T16:32:56.268721+00:00,EU CPI Bread & Cereals Czech R,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,100.15
hicp_food_index,CP12CZ Index,2026-09-12T16:32:56.800155+00:00,EU CPI Meat Czech Republic,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,97.46
hicp_food_index,CP13CZ Index,2026-09-12T16:32:57.361779+00:00,EU CPI Fish & Seafood Czech Re,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,101.44
hicp_food_index,CP14CZ Index,2026-09-12T16:32:57.898852+00:00,EU CPI Milk Cheese & Eggs Czec,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,91.74
hicp_food_index,CP15CZ Index,2026-09-12T16:32:58.449138+00:00,EU CPI Oils & Fats Czech Repub,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,72.58
hicp_food_index,CP16CZ Index,2026-09-12T16:32:58.962347+00:00,EU CPI Fruit Czech Republic,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,96.4
hicp_food_index,CP17CZ Index,2026-09-12T16:32:59.501008+00:00,EU CPI Vegetables Czech Republ,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,102.57
hicp_food_index,CP18CZ Index,2026-09-12T16:33:00.068216+00:00,EU CPI Sugar Jam Honey Chocola,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,100.93
hicp_food_index,CP19CZ Index,2026-09-12T16:33:00.614440+00:00,EU CPI Food Products NEC Czech,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,100.65
hicp_food_index,CPNACZ Index,2026-09-12T16:33:01.169708+00:00,EU CPI Non Alcoholic Beverages,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,320,1999-12-31,2026-07-31,99.87
ppi_czso_mom,CZPPMOM Index,2026-09-12T16:33:01.721129+00:00,Czech Republic PPI Industrial,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,438,1990-02-28,2026-07-31,0.3
ppi_czso_mom,CZPPAMOM Index,2026-09-12T16:33:02.264973+00:00,Czech Republic PPI Agricultura,Czech Statistical Office,MoM% NSA,Monthly,2017-03-31,ok,MONTHLY,195,2001-01-31,2017-03-31,2.0
ppi_czso_mom,CZPPCAM Index,2026-09-12T16:33:02.804379+00:00,Czech Republic PPI Food Produc,Czech Statistical Office,MoM% NSA,Monthly,2022-12-31,ok,MONTHLY,274,2000-02-29,2022-12-31,0.4
ppi_czso_mom,CZPPA10M Index,2026-09-12T16:33:03.354419+00:00,Czech Republic PPI Food Produc,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.4
ppi_czso_mom,CZPPA01M Index,2026-09-12T16:33:03.865440+00:00,Czech Republic PPI Processed &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-1.4
ppi_czso_mom,CZPPA03M Index,2026-09-12T16:33:04.384112+00:00,Czech Republic PPI Processed &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.3
ppi_czso_mom,CZPPA04M Index,2026-09-12T16:33:04.927166+00:00,Czech Republic PPI Vegetable &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,1.4
ppi_czso_mom,CZPPA05M Index,2026-09-12T16:33:05.501867+00:00,Czech Republic PPI Dairy Produ,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.4
