observation_date,PX_LAST
2007-02-28,101.9
2007-03-31,102.5
2007-04-30,103.9
2007-05-31,106.3
2007-06-30,109.6
2007-07-31,109.1
2007-08-31,108.5
2007-09-30,112.1
2007-11-30,113.8
2007-12-31,115.1
2008-01-31,112.7
2008-02-29,111.9
2008-03-31,112.7
2008-04-30,112.4
2008-05-31,113.9
2008-06-30,114.7
2008-07-31,114.6
2008-08-31,116.1
2008-09-30,118.3
2008-10-31,120.0
2008-11-30,121.3
2008-12-31,124.7
2009-01-31,124.7
2009-02-28,129.7
2009-03-31,121.7
2009-04-30,119.2
2009-05-31,118.3
2009-06-30,117.9
2009-07-31,113.1
2009-08-31,111.7
2009-09-30,109.5
2009-10-31,108.1
2009-11-30,109.5
2009-12-31,110.1
2010-01-31,108.2
2010-02-28,107.0
2010-03-31,107.8
2010-04-30,105.5
2010-05-31,106.8
2010-06-30,114.4
2010-07-31,117.1
2010-08-31,115.8
2010-09-30,115.6
2010-10-31,118.5
2010-11-30,121.4
2010-12-31,129.4
2011-01-31,132.3
2011-02-28,140.1
2011-03-31,147.8
2011-04-30,146.7
2011-05-31,151.8
2011-06-30,150.1
2011-07-31,151.1
2011-08-31,150.7
2011-09-30,149.0
2011-10-31,145.7
2011-11-30,146.0
2011-12-31,147.0
2012-01-31,147.7
2012-02-29,146.9
2012-03-31,148.3
2012-04-30,151.9
2012-05-31,155.2
2012-06-30,155.6
2012-07-31,156.9
2012-08-31,156.8
2012-09-30,152.9
2012-10-31,153.3
2012-11-30,152.2
2012-12-31,151.9
2013-01-31,151.8
2013-02-28,149.2
2013-03-31,148.3
2013-04-30,145.4
2013-05-31,142.5
2013-06-30,142.2
2013-07-31,140.5
2013-08-31,139.8
2013-09-30,136.2
2013-10-31,131.2
2013-11-30,130.6
2013-12-31,132.4
2014-01-31,131.8
2014-02-28,129.9
2014-03-31,130.8
2014-04-30,132.5
2014-05-31,131.5
2014-06-30,132.0
2014-07-31,126.2
2014-08-31,129.2
2014-09-30,125.8
2014-10-31,128.3
2014-11-30,129.4
2014-12-31,130.4
2015-01-31,131.4
2015-02-28,131.2
2015-03-31,133.5
2015-04-30,133.9
2015-05-31,133.3
2015-06-30,136.0
2015-07-31,139.8
2015-08-31,136.4
2015-09-30,136.3
2015-10-31,136.6
2015-11-30,138.8
2015-12-31,138.6
2016-01-31,135.5
2016-02-29,136.4
2016-03-31,135.7
2016-04-30,99.7
2016-05-31,97.4
2016-06-30,98.1
2016-07-31,96.6
2016-08-31,99.2
2016-09-30,99.9
2016-10-31,100.1
2016-11-30,101.5
2016-12-31,101.7
2017-01-31,99.4
2017-02-28,99.3
2017-03-31,99.8
2017-04-30,100.4
2017-05-31,99.7
2017-06-30,97.8
2017-07-31,96.0
2017-08-31,95.2
2017-09-30,94.8
2017-10-31,94.2
2017-11-30,93.8
2017-12-31,94.2
