group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value,error
ppi_sections,CZPPMOM Index,2026-09-12T17:23:12.693122+00:00,Czech Republic PPI Industrial,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,438.0,1990-02-28,2026-07-31,0.3,
ppi_sections,CZPPBM Index,2026-09-12T17:23:13.415498+00:00,Czech Republic PPI Mining & Qu,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317.0,2000-02-29,2026-07-31,-0.4,
ppi_sections,CZPPCM Index,2026-09-12T17:23:13.935857+00:00,Czech Republic PPI Services &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317.0,2000-02-29,2026-07-31,0.4,
ppi_sections,CZPPDM Index,2026-09-12T17:23:14.469868+00:00,Czech Republic PPI Electricity,Czech Statistical Office,MoM% NSA,Monthly,2025-12-31,ok,MONTHLY,310.0,2000-02-29,2025-12-31,0.8,
ppi_sections,CZPPEM Index,2026-09-12T17:23:15.030013+00:00,Czech Republic PPI Water Suppl,Czech Statistical Office,MoM% NSA,Monthly,2025-12-31,ok,MONTHLY,310.0,2000-02-29,2025-12-31,0.0,
ppi_sections,EPP00BCZ Index,2026-09-12T17:23:15.554816+00:00,Eurostat Domestic PPI Mining &,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,439.0,1990-01-31,2026-07-31,180.8,
ppi_sections,EPP00CCZ Index,2026-09-12T17:23:16.161896+00:00,,,,,,bdp_error,,,,,,ValueError: no reference data (ticker probably invalid)
ppi_sections,EPP00DCZ Index,2026-09-12T17:23:16.401854+00:00,Eurostat Domestic PPI Electric,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,439.0,1990-01-31,2026-07-31,164.9,
ppi_sections,EPP036CZ Index,2026-09-12T17:23:17.001666+00:00,Eurostat Domestic PPI Water Co,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,439.0,1990-01-31,2026-07-31,144.5,
ppi_sections,PPTXCZ Index,2026-09-12T17:23:17.607763+00:00,Eurostat PPI Czech Republic In,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,439.0,1990-01-31,2026-07-31,132.0,
money,CZMSM3 Index,2026-09-12T17:23:18.187671+00:00,Czech Republic Money Supply M3,Czech National Bank,Value NSA,Monthly,2026-07-31,ok,MONTHLY,295.0,2002-01-31,2026-07-31,7605193.25,
money,CZMSM3Y Index,2026-09-12T17:23:18.747413+00:00,Czech Republic Money Supply M3,Czech National Bank,YoY% NSA,Monthly,2026-07-31,ok,MONTHLY,283.0,2003-01-31,2026-07-31,5.69,
construction_ppi,CZPPCMOM Index,2026-09-12T17:23:19.250339+00:00,Czech Republic PPI Constructio,Czech Statistical Office,MoM% NSA,Monthly,2017-03-31,ok,MONTHLY,267.0,1995-01-31,2017-03-31,0.2,
construction_ppi,CZPPCYOY Index,2026-09-12T17:23:19.720876+00:00,Czech Republic PPI Constructio,Czech Statistical Office,YoY% NSA,Monthly,2017-03-31,ok,MONTHLY,267.0,1995-01-31,2017-03-31,1.3,
daily_markets,EURCZK Curncy,2026-09-12T17:23:20.277006+00:00,EUR-CZK X-RATE,,,,2026-09-11,ok,DAILY,7225.0,1999-01-04,2026-09-11,24.239,
daily_markets,USDCZK Curncy,2026-09-12T17:23:21.407029+00:00,USD-CZK X-RATE,,,,2026-09-11,ok,DAILY,8677.0,1993-06-09,2026-09-11,20.8947,
daily_markets,PRIB03M Index,2026-09-12T17:23:22.825676+00:00,Czech Interbank Offered Rates,Czech Financial Benchmark Faci,,Intraday,2026-09-11,ok,DAILY,8441.0,1993-04-01,2026-09-11,3.86,
daily_markets,CZBRREPO Index,2026-09-12T17:23:23.857647+00:00,Czech Republic Ceska Narodni B,PRIBOR PANEL BANK DATA,Percent NSA,Intraday,2026-09-11,ok,DAILY,7912.0,1995-12-08,2026-09-11,3.75,
daily_markets,GTCZK10Y Govt,2026-09-12T17:23:24.824952+00:00,CZECH REPUBLIC,,,,2026-09-11,ok,DAILY,5032.0,2007-03-02,2026-09-11,5.207,
daily_markets,CO1 Comdty,2026-09-12T17:23:25.774698+00:00,Generic 1st 'CO' Future,,,,2026-09-11,ok,DAILY,9387.0,1990-01-02,2026-09-11,104.61,
fixing_pattern_probes,EURCZK BFIX Curncy,2026-09-12T17:23:30.964824+00:00,EUR-CZK X-RATE,,,,2026-09-11,ok,DAILY,4824.0,2007-04-30,2026-09-11,24.238,
fixing_pattern_probes,EURCZK F143 Curncy,2026-09-12T17:23:31.997485+00:00,EUR-CZK X-RATE,,,,2026-09-11,ok,DAILY,4802.0,2007-04-30,2026-09-11,24.249,
