observation_date,PX_LAST
1994-01-31,30.9
1994-02-28,31.12
1994-03-31,31.22
1994-04-30,31.44
1994-05-31,31.44
1994-06-30,31.44
1994-07-31,31.47
1994-08-31,31.56
1994-09-30,31.63
1994-10-31,31.69
1994-11-30,31.69
1994-12-31,31.69
1995-01-31,31.82
1995-02-28,32.24
1995-03-31,32.24
1995-04-30,32.34
1995-05-31,32.34
1995-06-30,32.45
1995-07-31,34.35
1995-08-31,34.46
1995-09-30,34.56
1995-10-31,34.67
1995-11-30,34.88
1995-12-31,34.99
1996-01-31,35.51
1996-02-29,35.62
1996-03-31,35.94
1996-04-30,35.94
1996-05-31,35.94
1996-06-30,36.04
1996-07-31,38.79
1996-08-31,38.79
1996-09-30,38.9
1996-10-31,39.11
1996-11-30,39.11
1996-12-31,39.11
1997-01-31,39.43
1997-02-28,39.64
1997-03-31,39.74
1997-04-30,40.06
1997-05-31,40.17
1997-06-30,40.27
1997-07-31,45.66
1997-08-31,45.77
1997-09-30,45.87
1997-10-31,46.08
1997-11-30,46.3
1997-12-31,46.4
1998-01-31,48.3
1998-02-28,48.83
1998-03-31,49.15
1998-04-30,49.47
1998-05-31,49.47
1998-06-30,49.47
1998-07-31,53.59
1998-08-31,53.7
1998-09-30,54.12
1998-10-31,54.12
1998-11-30,54.12
1998-12-31,54.12
1999-01-31,54.43
1999-02-28,54.86
1999-03-31,55.07
1999-04-30,55.17
1999-05-31,55.28
1999-06-30,55.28
1999-07-31,57.5
1999-08-31,57.5
1999-09-30,57.61
1999-10-31,57.82
1999-11-30,57.82
1999-12-31,57.82
2000-01-31,58.35
2000-02-29,58.45
2000-03-31,58.56
2000-04-30,58.77
2000-05-31,59.09
2000-06-30,59.09
2000-07-31,60.57
2000-08-31,60.57
2000-09-30,60.78
2000-10-31,60.78
2000-11-30,60.78
2000-12-31,60.67
2001-01-31,64.58
2001-02-28,64.69
2001-03-31,64.69
2001-04-30,64.9
2001-05-31,65.22
2001-06-30,65.43
2001-07-31,67.12
2001-08-31,67.22
2001-09-30,67.44
2001-10-31,67.44
2001-11-30,67.44
2001-12-31,67.44
2002-01-31,68.92
2002-02-28,69.13
2002-03-31,69.13
2002-04-30,69.13
2002-05-31,69.13
2002-06-30,69.23
2002-07-31,71.56
2002-08-31,71.66
2002-09-30,71.66
2002-10-31,71.77
2002-11-30,71.88
2002-12-31,71.88
2003-01-31,72.51
2003-02-28,72.93
2003-03-31,72.93
2003-04-30,72.93
2003-05-31,73.14
2003-06-30,73.14
2003-07-31,73.57
2003-08-31,73.57
2003-09-30,73.67
2003-10-31,73.67
2003-11-30,73.67
2003-12-31,73.67
2004-01-31,75.57
2004-02-29,75.89
2004-03-31,76.1
2004-04-30,76.1
2004-05-31,76.42
2004-06-30,76.53
2004-07-31,77.16
2004-08-31,77.16
2004-09-30,77.37
2004-10-31,77.58
