observation_date,PX_LAST
1998-03-31,5.9
1998-06-30,5.9
1998-09-30,6.8
1998-12-31,7.3
1999-03-31,8.5
1999-06-30,8.5
1999-09-30,9.1
1999-12-31,9.1
2000-03-31,9.6
2000-06-30,8.8
2000-09-29,8.7
2000-12-29,8.4
2001-03-30,8.6
2001-06-29,8.0
2001-09-28,8.3
2001-12-31,7.9
2002-03-29,7.7
2002-06-28,7.1
2002-09-30,7.3
2002-12-31,7.3
2003-03-31,7.6
2003-06-30,7.6
2003-09-30,8.1
2003-12-31,8.2
2004-03-31,8.8
2004-06-30,8.3
2004-09-30,8.3
2004-12-31,8.2
2005-03-31,8.4
2005-06-30,7.8
2005-09-30,7.8
2005-12-30,7.8
2006-03-31,8.0
2006-06-30,7.1
2006-09-29,7.1
2006-12-29,6.6
2007-03-30,6.1
2007-06-29,5.3
2007-09-28,5.2
2007-12-31,4.9
2008-03-31,4.7
2008-06-30,4.3
2008-09-30,4.3
2008-12-31,4.4
2009-03-31,5.8
2009-06-30,6.4
2009-09-30,7.4
2009-12-31,7.3
2010-03-31,8.2
2010-06-30,7.2
2010-09-30,7.1
2010-12-31,7.0
2011-03-31,7.3
2011-06-30,6.8
2011-09-30,6.6
2011-12-30,6.5
2012-03-30,7.2
2012-06-29,6.8
2012-09-28,7.0
2012-12-31,7.2
2013-03-29,7.5
2013-06-28,6.8
2013-09-30,7.0
2013-12-31,6.8
2014-03-31,6.9
2014-06-30,6.1
2014-09-30,6.0
2014-12-31,5.8
2015-03-31,6.0
2015-06-30,5.0
2015-09-30,4.9
2015-12-31,4.5
2016-03-31,4.4
2016-06-30,4.0
2016-09-30,4.0
2016-12-30,3.6
2017-03-31,3.5
2017-06-30,3.0
2017-09-29,2.8
2017-12-29,2.4
2018-03-30,2.4
2018-06-29,2.2
2018-09-28,2.4
2018-12-31,2.1
2019-03-29,2.1
2019-06-28,1.9
2019-09-30,2.2
2019-12-31,2.1
2020-03-31,2.0
2020-06-30,2.4
2020-09-30,2.9
2020-12-31,3.1
2021-03-31,3.4
2021-06-30,3.1
2021-09-30,2.8
2021-12-31,2.3
2022-03-31,2.5
2022-06-30,2.2
2022-09-30,2.3
2022-12-30,2.3
2023-03-31,2.7
2023-06-30,2.6
2023-09-29,2.7
2023-12-29,2.6
2024-03-29,2.8
2024-06-28,2.6
2024-09-30,2.7
