observation_date,PX_LAST
2002-01-02,23.46
2002-01-03,23.35
2002-01-04,23.3
2002-01-07,23.23
2002-01-08,23.06
2002-01-09,23.04
2002-01-10,23.13
2002-01-11,23.04
2002-01-14,23.03
2002-01-15,23.0
2002-01-16,23.07
2002-01-17,22.96
2002-01-18,23.34
2002-01-21,23.01
2002-01-22,23.02
2002-01-23,23.15
2002-01-24,23.2
2002-01-25,23.35
2002-01-28,23.36
2002-01-29,23.33
2002-01-30,23.26
2002-01-31,23.28
2002-02-01,23.28
2002-02-04,23.32
2002-02-05,23.3
2002-02-06,23.31
2002-02-07,23.3
2002-02-08,23.37
2002-02-11,23.4
2002-02-12,23.39
2002-02-13,23.43
2002-02-14,23.46
2002-02-15,23.47
2002-02-18,23.31
2002-02-19,23.34
2002-02-20,23.28
2002-02-21,23.33
2002-02-22,23.43
2002-02-25,23.43
2002-02-26,23.39
2002-02-27,23.43
2002-02-28,23.51
2002-03-01,23.53
2002-03-04,23.59
2002-03-05,23.53
2002-03-06,23.56
2002-03-07,23.43
2002-03-08,23.48
2002-03-11,23.5
2002-03-12,23.56
2002-03-13,23.53
2002-03-14,23.52
2002-03-15,23.56
2002-03-18,23.62
2002-03-19,23.68
2002-03-20,23.75
2002-03-21,23.8
2002-03-22,23.86
2002-03-25,23.9
2002-03-26,23.89
2002-03-27,23.88
2002-04-02,24.26
2002-04-03,24.36
2002-04-04,24.5
2002-04-05,24.18
2002-04-08,24.19
2002-04-09,24.6
2002-04-10,24.47
2002-04-11,24.73
2002-04-12,24.72
2002-04-15,24.74
2002-04-16,24.69
2002-04-17,24.56
2002-04-18,24.54
2002-04-19,24.66
2002-04-22,24.63
2002-04-23,24.66
2002-04-24,24.55
2002-04-25,24.47
2002-04-29,24.35
2002-04-30,24.26
2002-05-01,24.33
2002-05-02,24.27
2002-05-03,24.26
2002-05-06,24.35
2002-05-07,24.45
2002-05-08,24.44
2002-05-10,24.29
2002-05-13,24.28
2002-05-14,24.36
2002-05-15,24.52
2002-05-16,24.5
2002-05-17,24.42
2002-05-21,24.2
2002-05-22,24.05
2002-05-23,24.28
2002-05-24,24.31
2002-05-27,24.28
2002-05-28,24.37
2002-05-29,24.29
2002-05-30,24.4
2002-05-31,24.43
2002-06-03,24.44
2002-06-04,24.48
2002-06-06,24.34
2002-06-07,24.28
2002-06-10,24.3
2002-06-11,24.44
2002-06-12,24.48
2002-06-13,24.4
2002-06-14,24.47
2002-06-17,24.38
2002-06-18,24.38
2002-06-19,24.39
2002-06-20,24.35
2002-06-21,24.52
2002-06-24,24.55
2002-06-25,24.89
2002-06-26,24.84
2002-06-27,24.99
2002-06-28,25.38
2002-07-01,25.39
2002-07-02,25.34
2002-07-03,25.29
2002-07-04,25.26
2002-07-05,25.39
2002-07-08,25.32
2002-07-09,25.5
2002-07-10,25.65
2002-07-11,25.37
2002-07-12,25.32
2002-07-15,25.3
2002-07-16,25.18
2002-07-17,25.01
2002-07-18,25.0
2002-07-19,24.77
2002-07-22,24.52
2002-07-23,24.63
2002-07-24,24.56
2002-07-25,24.5
2002-07-26,24.24
2002-07-29,24.43
2002-07-30,24.57
2002-07-31,24.49
2002-08-01,24.54
2002-08-02,24.34
2002-08-05,24.37
2002-08-06,24.49
2002-08-07,24.19
2002-08-08,24.18
2002-08-09,23.98
2002-08-12,23.93
2002-08-13,23.74
2002-08-14,23.66
2002-08-15,23.73
2002-08-16,23.83
2002-08-19,23.99
2002-08-20,24.21
2002-08-21,24.1
2002-08-22,23.93
2002-08-23,24.05
2002-08-26,24.27
2002-08-27,24.19
2002-08-28,24.21
2002-08-29,24.3
2002-08-30,24.39
2002-09-02,24.54
2002-09-03,24.46
2002-09-04,24.43
2002-09-05,24.49
2002-09-06,24.6
2002-09-09,24.73
2002-09-10,24.83
2002-09-11,24.93
2002-09-12,24.87
2002-09-13,24.67
2002-09-16,24.47
2002-09-17,24.45
2002-09-18,24.59
2002-09-19,24.68
2002-09-20,24.79
2002-09-23,24.59
2002-09-24,24.52
2002-09-25,24.45
2002-09-26,24.5
2002-09-27,24.51
2002-09-30,24.53
2002-10-01,24.44
2002-10-02,24.46
2002-10-03,24.47
2002-10-04,24.49
2002-10-07,24.52
2002-10-08,24.48
2002-10-09,24.23
2002-10-10,24.26
2002-10-11,24.18
2002-10-14,24.16
2002-10-15,24.14
2002-10-16,23.99
2002-10-17,24.12
2002-10-18,24.29
2002-10-21,24.32
2002-10-22,24.3
2002-10-23,24.12
2002-10-24,24.07
2002-10-25,24.03
2002-10-28,24.04
2002-10-29,24.04
2002-10-30,24.05
2002-10-31,24.15
2002-11-01,24.09
2002-11-04,24.2
2002-11-05,24.02
2002-11-06,24.14
2002-11-07,24.03
2002-11-08,24.0
2002-11-11,24.2
2002-11-12,24.21
2002-11-13,24.17
2002-11-14,24.19
2002-11-15,24.29
2002-11-18,24.28
