a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage,frequency,seasonal_adjustment
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-01,7901.0,level,t_plus_41d,2002-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-02,7609.0,level,t_plus_41d,2002-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-03,9970.0,level,t_plus_41d,2002-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-04,11336.0,level,t_plus_41d,2002-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-05,13294.0,level,t_plus_41d,2002-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-06,13437.0,level,t_plus_41d,2002-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-07,13397.0,level,t_plus_41d,2002-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-08,13223.0,level,t_plus_41d,2002-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-09,14645.0,level,t_plus_41d,2002-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-10,14162.0,level,t_plus_41d,2002-12-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-11,12017.0,level,t_plus_41d,2003-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2002-12,9831.0,level,t_plus_41d,2003-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-01,6919.0,level,t_plus_41d,2003-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-02,7759.0,level,t_plus_41d,2003-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-03,10276.0,level,t_plus_41d,2003-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-04,11394.0,level,t_plus_41d,2003-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-05,12835.0,level,t_plus_41d,2003-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-06,14402.0,level,t_plus_41d,2003-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-07,14350.0,level,t_plus_41d,2003-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-08,14676.0,level,t_plus_41d,2003-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-09,15994.0,level,t_plus_41d,2003-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2003-10,15135.0,level,t_plus_41d,2003-12-11,"current, downloaded 2026-09-12",M,
