year,month,indic_code,indic_label,value
1995,1,BS-CCI-BAL,Construction confidence indicator,-8.4
1995,1,BS-CSMCI-BAL,Consumer confidence indicator,-10.0
1995,1,BS-ESI-I,Economic sentiment indicator,93.8
1995,1,BS-ICI-BAL,Industrial confidence indicator,3.3
1995,1,BS-RCI-BAL,Retail confidence indicator,8.0
1995,2,BS-CCI-BAL,Construction confidence indicator,-12.8
1995,2,BS-CSMCI-BAL,Consumer confidence indicator,-9.8
1995,2,BS-ESI-I,Economic sentiment indicator,97.0
1995,2,BS-ICI-BAL,Industrial confidence indicator,4.8
1995,2,BS-RCI-BAL,Retail confidence indicator,12.6
1995,3,BS-CCI-BAL,Construction confidence indicator,-5.9
1995,3,BS-CSMCI-BAL,Consumer confidence indicator,-9.8
1995,3,BS-ESI-I,Economic sentiment indicator,103.1
1995,3,BS-ICI-BAL,Industrial confidence indicator,13.7
1995,3,BS-RCI-BAL,Retail confidence indicator,6.3
1995,4,BS-CCI-BAL,Construction confidence indicator,-4.4
1995,4,BS-CSMCI-BAL,Consumer confidence indicator,-13.0
1995,4,BS-ESI-I,Economic sentiment indicator,95.8
1995,4,BS-ICI-BAL,Industrial confidence indicator,5.7
1995,4,BS-RCI-BAL,Retail confidence indicator,4.0
1995,5,BS-CCI-BAL,Construction confidence indicator,-5.3
1995,5,BS-CSMCI-BAL,Consumer confidence indicator,-12.7
1995,5,BS-ESI-I,Economic sentiment indicator,98.9
1995,5,BS-ICI-BAL,Industrial confidence indicator,14.2
1995,5,BS-RCI-BAL,Retail confidence indicator,5.0
1995,6,BS-CCI-BAL,Construction confidence indicator,-9.1
1995,6,BS-CSMCI-BAL,Consumer confidence indicator,-12.7
1995,6,BS-ESI-I,Economic sentiment indicator,83.9
1995,6,BS-ICI-BAL,Industrial confidence indicator,-2.8
1995,6,BS-RCI-BAL,Retail confidence indicator,8.2
1995,7,BS-CCI-BAL,Construction confidence indicator,-8.4
1995,7,BS-CSMCI-BAL,Consumer confidence indicator,-9.2
1995,7,BS-ESI-I,Economic sentiment indicator,90.5
1995,7,BS-ICI-BAL,Industrial confidence indicator,3.1
1995,7,BS-RCI-BAL,Retail confidence indicator,6.4
1995,8,BS-CCI-BAL,Construction confidence indicator,-10.0
1995,8,BS-CSMCI-BAL,Consumer confidence indicator,-9.4
1995,8,BS-ESI-I,Economic sentiment indicator,92.7
1995,8,BS-ICI-BAL,Industrial confidence indicator,3.5
1995,8,BS-RCI-BAL,Retail confidence indicator,10.0
1995,9,BS-CCI-BAL,Construction confidence indicator,-12.0
1995,9,BS-CSMCI-BAL,Consumer confidence indicator,-9.0
1995,9,BS-ESI-I,Economic sentiment indicator,94.0
1995,9,BS-ICI-BAL,Industrial confidence indicator,1.8
1995,9,BS-RCI-BAL,Retail confidence indicator,13.0
1995,10,BS-CCI-BAL,Construction confidence indicator,-9.7
1995,10,BS-CSMCI-BAL,Consumer confidence indicator,-8.0
1995,10,BS-ESI-I,Economic sentiment indicator,94.3
1995,10,BS-ICI-BAL,Industrial confidence indicator,3.6
1995,10,BS-RCI-BAL,Retail confidence indicator,12.2
1995,11,BS-CCI-BAL,Construction confidence indicator,-8.1
1995,11,BS-CSMCI-BAL,Consumer confidence indicator,-8.0
1995,11,BS-ESI-I,Economic sentiment indicator,90.9
1995,11,BS-ICI-BAL,Industrial confidence indicator,-2.2
1995,11,BS-RCI-BAL,Retail confidence indicator,9.0
1995,12,BS-CCI-BAL,Construction confidence indicator,4.1
1995,12,BS-CSMCI-BAL,Consumer confidence indicator,-7.7
1995,12,BS-ESI-I,Economic sentiment indicator,83.7
1995,12,BS-ICI-BAL,Industrial confidence indicator,-6.6
1995,12,BS-RCI-BAL,Retail confidence indicator,10.8
1996,1,BS-CCI-BAL,Construction confidence indicator,4.6
1996,1,BS-CSMCI-BAL,Consumer confidence indicator,-6.4
1996,1,BS-ESI-I,Economic sentiment indicator,94.3
1996,1,BS-ICI-BAL,Industrial confidence indicator,0.0
1996,1,BS-RCI-BAL,Retail confidence indicator,14.2
1996,2,BS-CCI-BAL,Construction confidence indicator,1.0
1996,2,BS-CSMCI-BAL,Consumer confidence indicator,-6.3
1996,2,BS-ESI-I,Economic sentiment indicator,93.1
1996,2,BS-ICI-BAL,Industrial confidence indicator,-1.8
1996,2,BS-RCI-BAL,Retail confidence indicator,16.3
1996,3,BS-CCI-BAL,Construction confidence indicator,-4.6
1996,3,BS-CSMCI-BAL,Consumer confidence indicator,-6.3
1996,3,BS-ESI-I,Economic sentiment indicator,83.5
1996,3,BS-ICI-BAL,Industrial confidence indicator,-8.4
1996,3,BS-RCI-BAL,Retail confidence indicator,6.9
1996,4,BS-CCI-BAL,Construction confidence indicator,-4.8
1996,4,BS-CSMCI-BAL,Consumer confidence indicator,-8.2
1996,4,BS-ESI-I,Economic sentiment indicator,85.9
1996,4,BS-ICI-BAL,Industrial confidence indicator,-6.5
1996,4,BS-RCI-BAL,Retail confidence indicator,14.9
1996,5,BS-CCI-BAL,Construction confidence indicator,-0.9
1996,5,BS-CSMCI-BAL,Consumer confidence indicator,-7.9
1996,5,BS-ESI-I,Economic sentiment indicator,95.4
1996,5,BS-ICI-BAL,Industrial confidence indicator,-0.4
1996,5,BS-RCI-BAL,Retail confidence indicator,17.8
1996,6,BS-CCI-BAL,Construction confidence indicator,-3.4
1996,6,BS-CSMCI-BAL,Consumer confidence indicator,-7.9
1996,6,BS-ESI-I,Economic sentiment indicator,94.4
1996,6,BS-ICI-BAL,Industrial confidence indicator,-0.8
1996,6,BS-RCI-BAL,Retail confidence indicator,19.6
1996,7,BS-CCI-BAL,Construction confidence indicator,0.0
1996,7,BS-CSMCI-BAL,Consumer confidence indicator,-11.5
1996,7,BS-ESI-I,Economic sentiment indicator,89.1
1996,7,BS-ICI-BAL,Industrial confidence indicator,-6.8
1996,7,BS-RCI-BAL,Retail confidence indicator,14.4
1996,8,BS-CCI-BAL,Construction confidence indicator,-4.8
1996,8,BS-CSMCI-BAL,Consumer confidence indicator,-11.7
1996,8,BS-ESI-I,Economic sentiment indicator,96.4
1996,8,BS-ICI-BAL,Industrial confidence indicator,-3.7
1996,8,BS-RCI-BAL,Retail confidence indicator,18.9
1996,9,BS-CCI-BAL,Construction confidence indicator,-2.2
1996,9,BS-CSMCI-BAL,Consumer confidence indicator,-11.3
1996,9,BS-ESI-I,Economic sentiment indicator,96.8
1996,9,BS-ICI-BAL,Industrial confidence indicator,4.6
1996,9,BS-RCI-BAL,Retail confidence indicator,9.9
1996,10,BS-CCI-BAL,Construction confidence indicator,-6.2
1996,10,BS-CSMCI-BAL,Consumer confidence indicator,-13.3
1996,10,BS-ESI-I,Economic sentiment indicator,100.0
1996,10,BS-ICI-BAL,Industrial confidence indicator,5.3
1996,10,BS-RCI-BAL,Retail confidence indicator,12.6
1996,11,BS-CCI-BAL,Construction confidence indicator,-12.4
1996,11,BS-CSMCI-BAL,Consumer confidence indicator,-13.3
1996,11,BS-ESI-I,Economic sentiment indicator,94.7
1996,11,BS-ICI-BAL,Industrial confidence indicator,2.0
1996,11,BS-RCI-BAL,Retail confidence indicator,12.6
1996,12,BS-CCI-BAL,Construction confidence indicator,-14.8
1996,12,BS-CSMCI-BAL,Consumer confidence indicator,-13.0
1996,12,BS-ESI-I,Economic sentiment indicator,97.2
1996,12,BS-ICI-BAL,Industrial confidence indicator,6.1
1996,12,BS-RCI-BAL,Retail confidence indicator,9.2
1997,1,BS-CCI-BAL,Construction confidence indicator,-16.4
1997,1,BS-CSMCI-BAL,Consumer confidence indicator,-14.4
1997,1,BS-ESI-I,Economic sentiment indicator,90.7
1997,1,BS-ICI-BAL,Industrial confidence indicator,0.2
1997,1,BS-RCI-BAL,Retail confidence indicator,10.2
1997,2,BS-CCI-BAL,Construction confidence indicator,-10.3
1997,2,BS-CSMCI-BAL,Consumer confidence indicator,-14.3
1997,2,BS-ESI-I,Economic sentiment indicator,93.3
1997,2,BS-ICI-BAL,Industrial confidence indicator,-3.3
1997,2,BS-RCI-BAL,Retail confidence indicator,16.9
1997,3,BS-CCI-BAL,Construction confidence indicator,-9.9
1997,3,BS-CSMCI-BAL,Consumer confidence indicator,-14.3
1997,3,BS-ESI-I,Economic sentiment indicator,98.1
1997,3,BS-ICI-BAL,Industrial confidence indicator,3.8
1997,3,BS-RCI-BAL,Retail confidence indicator,14.3
1997,4,BS-CCI-BAL,Construction confidence indicator,-14.0
1997,4,BS-CSMCI-BAL,Consumer confidence indicator,-25.7
1997,4,BS-ESI-I,Economic sentiment indicator,84.6
1997,4,BS-ICI-BAL,Industrial confidence indicator,-1.6
1997,4,BS-RCI-BAL,Retail confidence indicator,10.8
1997,5,BS-CCI-BAL,Construction confidence indicator,-27.3
1997,5,BS-CSMCI-BAL,Consumer confidence indicator,-25.4
1997,5,BS-ESI-I,Economic sentiment indicator,90.1
1997,5,BS-ICI-BAL,Industrial confidence indicator,5.0
1997,5,BS-RCI-BAL,Retail confidence indicator,9.2
1997,6,BS-CCI-BAL,Construction confidence indicator,-32.6
1997,6,BS-CSMCI-BAL,Consumer confidence indicator,-25.4
1997,6,BS-ESI-I,Economic sentiment indicator,85.5
1997,6,BS-ICI-BAL,Industrial confidence indicator,0.8
1997,6,BS-RCI-BAL,Retail confidence indicator,8.8
1997,7,BS-CCI-BAL,Construction confidence indicator,-33.5
1997,7,BS-CSMCI-BAL,Consumer confidence indicator,-28.0
1997,7,BS-ESI-I,Economic sentiment indicator,88.1
1997,7,BS-ICI-BAL,Industrial confidence indicator,4.7
1997,7,BS-RCI-BAL,Retail confidence indicator,8.0
1997,8,BS-CCI-BAL,Construction confidence indicator,-26.2
1997,8,BS-CSMCI-BAL,Consumer confidence indicator,-28.2
1997,8,BS-ESI-I,Economic sentiment indicator,96.4
1997,8,BS-ICI-BAL,Industrial confidence indicator,12.7
1997,8,BS-RCI-BAL,Retail confidence indicator,11.5
1997,9,BS-CCI-BAL,Construction confidence indicator,-23.8
