release_date,data_month,code,label_en,yoy_index,source_url
2015-04-03,2014-12-31,"Běžné
Current",kromě motorových vozidel,104.8,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-04-03,2014-12-31,"Stálé2)
Const_nt2)",,105.8,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-04-03,2015-01-31,"Běžné
Current",kromě motorových vozidel,103.3,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-05-06,2015-01-31,"Běžné
Current",kromě motorových vozidel,103.3,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
2015-04-03,2015-01-31,"Stálé2)
Const_nt2)",,105.8,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-05-06,2015-01-31,"Stálé2)
Const_nt2)",,105.8,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
2015-04-03,2015-02-28,"Běžné
Current",kromě motorových vozidel,103.1,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-05-06,2015-02-28,"Běžné
Current",kromě motorových vozidel,103.1,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
2015-06-05,2015-02-28,"Běžné
Current",kromě motorových vozidel,104.0,https://csu.gov.cz/rychle-informace/maloobchod-duben-2015
2015-04-03,2015-02-28,"Stálé2)
Const_nt2)",,106.3,https://csu.gov.cz/rychle-informace/maloobchod-unor-2015
2015-05-06,2015-02-28,"Stálé2)
Const_nt2)",,106.3,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
2015-06-05,2015-02-28,"Stálé2)
Const_nt2)",,107.3,https://csu.gov.cz/rychle-informace/maloobchod-duben-2015
2015-05-06,2015-03-31,"Běžné
Current",kromě motorových vozidel,103.3,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
2015-06-05,2015-03-31,"Běžné
Current",kromě motorových vozidel,103.4,https://csu.gov.cz/rychle-informace/maloobchod-duben-2015
2015-07-07,2015-03-31,"Běžné
Current",kromě motorových vozidel,103.4,https://csu.gov.cz/rychle-informace/maloobchod-kveten-2015
2015-05-06,2015-03-31,"Stálé2)
Const_nt2)",,105.9,https://csu.gov.cz/rychle-informace/maloobchod-brezen-2015
