"Ukazatel","IndicatorType","Území","Uz0","Měsíce, jejich kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRZEM1","Klasifikace API","APIZ","Typ indexu","TYPUDAJEZEM3","Hodnota"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zemědělská výroba včetně ryb","000000","Meziroční index","IR","93.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zemědělská výroba","140000","Meziroční index","IR","93.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zemědělská výroba (bez ovoce a zeleniny)","141000","Meziroční index","IR","93.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Rostlinná výroba","100000","Meziroční index","IR","90.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Rostlinná výroba (bez ovoce a zeleniny)","101000","Meziroční index","IR","90"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ovoce a zelenina","102000","Meziroční index","IR","109.6"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Obiloviny","010000","Meziroční index","IR","86.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Pšenice","011000","Meziroční index","IR","92.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Pšenice potravinářská","0111101011","Meziroční index","IR","90.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Pšenice krmná","0111101012","Meziroční index","IR","94.6"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Žito","012000","Meziroční index","IR","73.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Žito potravinářské","0121101031","Meziroční index","IR","73.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ječmen","013000","Meziroční index","IR","76.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ječmen krmný","0131101023","Meziroční index","IR","85.6"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ječmen sladovnický","0132101021","Meziroční index","IR","71.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Oves","014000","Meziroční index","IR","71.1"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Oves krmný","0141101042","Meziroční index","IR","71.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Kukuřice na zrno","015000","Meziroční index","IR","101.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Kukuřice krmná (na zrno)","0151101052","Meziroční index","IR","101.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Průmyslové plodiny","020000","Meziroční index","IR","94.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Olejniny","021000","Meziroční index","IR","80.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Semeno řepky olejné","0211101210","Meziroční index","IR","83.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Semeno slunečnice","0212101230","Meziroční index","IR","75.1"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Semeno máku","0219101220","Meziroční index","IR","66.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Luskoviny","022000","Meziroční index","IR","64.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Hrách krmný","0221101102","Meziroční index","IR","67"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Cukrová řepa","024000","Meziroční index","IR","94"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Cukrovka technická","0241101510","Meziroční index","IR","94"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zelenina a zahradnické produkty","040000","Meziroční index","IR","118.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Čerstvá zelenina","041000","Meziroční index","IR","118.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ostatní čerstvá zelenina","041900","Meziroční index","IR","118.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zelí bílé hlávkové","0419103100","Meziroční index","IR","126.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Zelí červené hlávkové","0419103101","Meziroční index","IR","133.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Mrkev bez natě","0419503032","Meziroční index","IR","241.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Cibule kuchyňská","0419603172","Meziroční index","IR","91.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Celer bez natě","0419993012","Meziroční index","IR","109.5"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Petržel bez natě","0419993042","Meziroční index","IR","129.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Brambory (včetně sadby)","050000","Meziroční index","IR","83.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Konzumní brambory","051000","Meziroční index","IR","91.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ostatní brambory","059000","Meziroční index","IR","72"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Brambory průmyslové","0591101630","Meziroční index","IR","72"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ovoce","060000","Meziroční index","IR","102.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Jablka","061100","Meziroční index","IR","103"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Konzumní jablka","0611102011","Meziroční index","IR","103"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Živočišná výroba","130000","Meziroční index","IR","96.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Hospodářská zvířata","110000","Meziroční index","IR","95.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Skot","111000","Meziroční index","IR","98.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Skot bez telat","111100","Meziroční index","IR","98.5"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Býci jateční v živém","1111104110","Meziroční index","IR","100.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Jalovice jatečné v živém","1111204210","Meziroční index","IR","100.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Krávy jatečné v živém","1111304310","Meziroční index","IR","96.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Telata","111200","Meziroční index","IR","109.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Telata jatečná v živém","1112104410","Meziroční index","IR","109.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Prasata a selata","112000","Meziroční index","IR","91.4"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Prasata jatečná v živém","1121104610","Meziroční index","IR","92"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Odstavená selata v živém","1121205610","Meziroční index","IR","96.6"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Drůbež","115000","Meziroční index","IR","97.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Kuřata","115100","Meziroční index","IR","97.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Kuřata jatečná v živém I.tř.j","1151105011","Meziroční index","IR","97.5"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ostatní drůbež","115900","Meziroční index","IR","95.3"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Krůty brojlerové v živém","1159105031","Meziroční index","IR","94.5"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Kachny jatečné v živém","1159105041","Meziroční index","IR","95.8"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Živočišné výrobky","120000","Meziroční index","IR","98.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Mléko","121000","Meziroční index","IR","98.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Mléko kravské Q. tř. j.","1211104911","Meziroční index","IR","98.2"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Vejce","122000","Meziroční index","IR","103.9"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Vejce slepičí konzumní tříděná","1221105512","Meziroční index","IR","103.7"
"Index cen zemědělských výrobců","6145","Česko","CZ","leden 2010","2010-01","Ryby","200000","Meziroční index","IR","97.2"
