dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-01,4.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-02,5.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-03,8.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-04,-2.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-05,-7.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-06,-13.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-07,-16.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-08,-28.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-09,-9.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-10,-13.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-11,-21.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1980-12,-24.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-01,-14.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-02,-13.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-03,-9.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-04,-14.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-05,-15.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-06,-12.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-07,-19.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-08,-28.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-09,-5.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-10,-11.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-11,-16.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1981-12,-24.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-01,-19.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-02,-10.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-03,-0.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-04,-16.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-05,-19.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-06,-17.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1982-07,-27.5,
