period,Pšenice potravinářská [t],Mléko kravské Q. tř. j. [tis. l.],Prasata jatečná  j.tř. SEU v JUT [t],Kuřata jatečná v živém I.tř.j [t]
2015-01,4240.0,8952.0,39048.0,23989.0
2015-02,4412.0,8614.0,37603.0,24612.0
2015-03,4445.0,8478.0,37596.0,23337.0
2015-04,4454.0,8378.0,37643.0,24146.0
2015-05,4423.0,8240.0,37239.0,22889.0
2015-06,4382.0,7818.0,37833.0,24071.0
2015-07,4330.0,7528.0,38689.0,22943.0
2015-08,4286.0,7305.0,38578.0,23804.0
2015-09,4258.0,7141.0,38339.0,23079.0
2015-10,4213.0,7142.0,38555.0,24251.0
2015-11,4208.0,7314.0,37560.0,23441.0
2015-12,4205.0,7435.0,35656.0,24236.0
2016-01,4131.0,7497.0,35456.0,23372.0
2016-02,4061.0,7329.0,33862.0,23756.0
2016-03,3912.0,7070.0,33483.0,23423.0
2016-04,3711.0,6829.0,32939.0,24072.0
2016-05,3614.0,6588.0,33417.0,23193.0
2016-06,3631.0,6268.0,36000.0,24050.0
2016-07,3589.0,6139.0,39969.0,23750.0
2016-08,3539.0,6119.0,41163.0,23068.0
2016-09,3548.0,6202.0,41522.0,23672.0
2016-10,3563.0,6435.0,43265.0,23163.0
2016-11,3550.0,6799.0,41523.0,23442.0
2016-12,3590.0,7228.0,40936.0,22665.0
2017-01,3594.0,7633.0,40757.0,24269.0
2017-02,3673.0,7841.0,40255.0,23460.0
2017-03,3774.0,8067.0,39978.0,24164.0
2017-04,3814.0,8197.0,41355.0,22966.0
2017-05,3853.0,8297.0,42661.0,23578.0
2017-06,3881.0,8344.0,44333.0,22166.0
2017-07,3884.0,8410.0,45090.0,23578.0
2017-08,3847.0,8480.0,43778.0,22275.0
2017-09,3829.0,8635.0,42682.0,23535.0
2017-10,3918.0,8878.0,41363.0,22616.0
2017-11,3899.0,9145.0,39319.0,23287.0
2017-12,3877.0,9312.0,37448.0,22853.0
2018-01,3858.0,9371.0,35573.0,23256.0
2018-02,3860.0,9053.0,33988.0,23114.0
2018-03,3874.0,8840.0,34615.0,23473.0
2018-04,3903.0,8601.0,34723.0,23045.0
2018-05,3912.0,8380.0,33861.0,22959.0
2018-06,3922.0,8227.0,34118.0,22979.0
2018-07,3917.0,8192.0,34957.0,22227.0
2018-08,4050.0,8228.0,35353.0,23482.0
2018-09,4347.0,8275.0,36454.0,22215.0
2018-10,4474.0,8456.0,35384.0,23971.0
2018-11,4479.0,8773.0,34453.0,22733.0
2018-12,4559.0,9023.0,34293.0,22900.0
2019-01,4600.0,9154.0,34342.0,22595.0
2019-02,4661.0,9107.0,33769.0,23620.0
2019-03,4707.0,9054.0,33864.0,23049.0
2019-04,4614.0,8990.0,36443.0,23514.0
2019-05,4588.0,8928.0,39358.0,22847.0
2019-06,4525.0,8856.0,42404.0,23497.0
2019-07,4363.0,8692.0,43732.0,22839.0
2019-08,4087.0,8603.0,43836.0,22279.0
2019-09,4089.0,8558.0,44905.0,24118.0
2019-10,3982.0,8624.0,45342.0,22650.0
2019-11,3978.0,8766.0,45323.0,23893.0
2019-12,3949.0,8894.0,47481.0,23256.0
2020-01,3969.0,8950.0,48645.0,23632.0
2020-02,4004.0,8898.0,46625.0,21580.0
2020-03,4066.0,8830.0,46519.0,23289.0
2020-04,4123.0,8774.0,46759.0,22650.0
2020-05,4252.0,8644.0,44417.0,22662.0
2020-06,4344.0,8333.0,41150.0,23125.0
2020-07,4221.0,8272.0,40162.0,22368.0
2020-08,4129.0,8226.0,36510.0,23732.0
2020-09,4119.0,8213.0,36405.0,22417.0
2020-10,4200.0,8310.0,34607.0,23575.0
2020-11,4272.0,8520.0,33803.0,21393.0
2020-12,4374.0,8718.0,32868.0,22180.0
2021-01,4486.0,8789.0,32018.0,24459.0
2021-02,4623.0,8755.0,31032.0,21300.0
2021-03,4809.0,8788.0,31567.0,24030.0
2021-04,4916.0,8819.0,34846.0,22423.0
2021-05,4959.0,8838.0,34772.0,23479.0
2021-06,4950.0,8864.0,36372.0,23135.0
2021-07,4997.0,8878.0,36622.0,22438.0
2021-08,4821.0,8856.0,35229.0,23503.0
2021-09,4982.0,8923.0,32902.0,22708.0
2021-10,5249.0,9042.0,32270.0,23687.0
2021-11,5605.0,9314.0,31836.0,22727.0
2021-12,5883.0,9617.0,32271.0,23428.0
2022-01,6130.0,9836.0,32274.0,23807.0
2022-02,6320.0,9962.0,31225.0,22697.0
2022-03,6885.0,10230.0,33027.0,24484.0
2022-04,7655.0,10436.0,42632.0,23920.0
2022-05,8325.0,10767.0,45056.0,26864.0
2022-06,8654.0,11057.0,43540.0,27298.0
2022-07,8268.0,11292.0,43339.0,28922.0
2022-08,7821.0,11546.0,44246.0,29523.0
2022-09,7750.0,11809.0,47238.0,29454.0
2022-10,7819.0,12167.0,49730.0,30367.0
2022-11,7911.0,12609.0,48105.0,29870.0
2022-12,7723.0,13125.0,46640.0,30279.0
