"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2021","2021-03K","100.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2021","2021-Q1","100.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2021","2021-Q2","102.3","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2021","2021-Q3","103.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2021","2021-Q4","102.9","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2022","2022-03K","102.0","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2022","2022-Q1","102.0","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2022","2022-Q2","105.9","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2022","2022-Q3","103.3","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2022","2022-Q4","98.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2023","2023-03K","98.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2023","2023-Q1","98.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2023","2023-Q2","97.8","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2023","2023-Q3","100.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2023","2023-Q4","100.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2024","2024-03K","101.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2024","2024-Q1","101.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2024","2024-Q3","100.8","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.9","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2025","2025-03K","100.0","procento","%"
