period,AT,BE,BG,CY,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
1975-01,,,,,,,,,10.8,,,,,,,,,,,,,,,,,
1975-02,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
1975-03,,,,,,,,,11.1,,,,,,,,,,,,,,,,,
1975-04,,,,,,,,,11.1,,,,,,,,,,,,,,,,,
1975-05,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
1975-06,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
1975-07,,,,,,,,,11.3,,,,,,,,,,,,,,,,,
1975-08,,,,,,,,,11.3,,,,,,,,,,,,,,,,,
1975-09,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
1975-10,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
1975-11,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
1975-12,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
1976-01,,,,,43.9,,,,11.8,,,,,,,,,,,,,,,,,
1976-02,,,,,43.9,,,,11.9,,,,,,,,,,,,,,,,,
1976-03,,,,,44.1,,,,12.1,,,,,,,,,,,,,,,,,
1976-04,,,,,44.6,,,,12.4,,,,,,,,,,,,,,,,,
1976-05,,,,,44.6,,,,12.7,,,,,,,,,,,,,,,,,
1976-06,,,,,44.9,,,,12.8,,,,,,,,,,,,,,,,,
1976-07,,,,,45.1,,,,12.9,,,,,,,,,,,,,,,,,
1976-08,,,,,45.2,,,,13.0,,,,,,,,,,,,,,,,,
1976-09,,,,,45.3,,,,13.0,,,,,,,,,,,,,,,,,
1976-10,,,,,45.3,,,,13.2,,,,,,,,,,,,,,,,,
1976-11,,,,,45.2,,,,13.3,,,,,,,,,,,,,,,,,
1976-12,,,,,45.2,,,,13.3,,,,,,,,,,,,,,,,,
1977-01,,,,,45.4,,,,13.7,,,,,,,,,,,,,,,,,
1977-02,,,,,45.8,,,,13.9,,,,,,,,,,,,,,,,,
1977-03,,,,,45.9,,,,14.4,,,,,,,,,,,,,,,,,
1977-04,,,,,46.1,,,,14.8,,,,,,,,,,,,,,,,,
1977-05,,,,,46.1,,,,14.9,,,,,,,,,,,,,,,,,
1977-06,,,,,46.1,,,,15.0,,,,,,,,,,,,,,,,,
1977-07,,,,,46.1,,,,15.3,,,,,,,,,,,,,,,,,
1977-08,,,,,46.1,,,,15.8,,,,,,,,,,,,,,,,,
1977-09,,,,,46.1,,,,16.1,,,,,,,,,,,,,,,,,
1977-10,,,,,46.1,,,,16.3,,,,,,,,,,,,,,,,,
1977-11,,,,,46.1,,,,16.5,,,,,,,,,,,,,,,,,
1977-12,,,,,46.1,,,,16.6,,,,,,,,,,,,,,,,,
1978-01,,,,,46.1,,,,16.8,,,,,,,,,,,,,,,,,
