run,sample,support,h,n,original_rmse,corrected_rmse,bridge_rmse
realtime_full_luci,full,own_paired,0,90,0.46803188846412486,0.46803188846412486,
realtime_full_luci,full,own_paired,1,89,1.0999864804152402,1.1137539892210602,
realtime_full_luci,full,own_paired,2,88,1.6425926473635901,1.686958607709426,
realtime_full_luci,full,own_paired,3,87,1.9231965820594834,1.9791580599385636,
realtime_full_luci,full,own_paired,4,86,2.295869840864686,2.343070270178879,
realtime_full_luci,full,own_paired,5,85,2.624146377924993,2.6360976919680823,
realtime_full_luci,full,own_paired,6,84,2.9318825239291533,2.9277927842472637,
realtime_full_luci,full,own_paired,7,83,3.3098890770478127,3.2856088007607163,
realtime_full_luci,full,own_paired,8,82,3.705189921844801,3.6568034583918294,
realtime_full_luci,full,own_paired,9,81,4.144424324864919,4.084257034702281,
realtime_full_luci,full,own_paired,10,80,4.63796320167851,4.560705750822819,
realtime_full_luci,full,own_paired,11,79,5.0806421030314395,4.998295207452279,
realtime_full_luci,full,own_paired,12,78,5.495545607835405,5.410152950015192,
realtime_full_luci,full,paired_with_bridge,0,90,0.46803188846412486,0.46803188846412486,0.46803188846412486
realtime_full_luci,full,paired_with_bridge,1,88,1.1059937807114946,1.1198671661973754,0.9107373045382808
realtime_full_luci,full,paired_with_bridge,2,86,1.6603347495012521,1.7052717635837376,1.294585199790152
realtime_full_luci,full,paired_with_bridge,3,84,1.9565437923257747,2.013505470763669,1.5373220457297827
realtime_full_luci,full,paired_with_bridge,4,83,2.3360350730004407,2.384151072716319,1.8237299080241298
realtime_full_luci,full,paired_with_bridge,5,82,2.670259868723836,2.682495384347169,2.16847594258856
realtime_full_luci,full,paired_with_bridge,6,81,2.985442706271165,2.981307125819144,2.516379371214503
realtime_full_luci,full,paired_with_bridge,7,80,3.3711738098944246,3.3464563099078117,2.9913320570711575
realtime_full_luci,full,paired_with_bridge,8,79,3.7746290657943864,3.7253879593587125,3.333292762520484
realtime_full_luci,full,paired_with_bridge,9,78,4.221432855389296,4.1599083043895035,3.9216066990467007
realtime_full_luci,full,paired_with_bridge,10,77,4.723533921971816,4.6445548893430235,4.498759705784156
realtime_full_luci,full,paired_with_bridge,11,76,5.176506178903429,5.092441331076354,5.002024433226823
realtime_full_luci,full,paired_with_bridge,12,75,5.602016033406287,5.514871258171562,5.394838562659049
realtime_full_luci,recent_origins,own_paired,0,31,0.21550552008746246,0.21550552008746238,
realtime_full_luci,recent_origins,own_paired,1,30,0.46454116098441045,0.4612675578916674,
realtime_full_luci,recent_origins,own_paired,2,29,0.47584111492851516,0.4787145259488011,
realtime_full_luci,recent_origins,own_paired,3,28,0.5438183007683365,0.5575769369768673,
realtime_full_luci,recent_origins,own_paired,4,27,0.660736457882972,0.663940917368152,
realtime_full_luci,recent_origins,own_paired,5,26,0.6982689428536571,0.6927542991972491,
realtime_full_luci,recent_origins,own_paired,6,25,0.7808930743375592,0.8021850558550043,
realtime_full_luci,recent_origins,own_paired,7,24,0.8941393703555729,0.9151605955783336,
realtime_full_luci,recent_origins,own_paired,8,23,0.8076866778964626,0.8291420240939014,
realtime_full_luci,recent_origins,own_paired,9,22,0.8826507831608054,0.9140937803995285,
realtime_full_luci,recent_origins,own_paired,10,21,1.093453734370981,1.0972539312205698,
realtime_full_luci,recent_origins,own_paired,11,20,1.1659444157912486,1.1336657883190262,
realtime_full_luci,recent_origins,own_paired,12,19,1.2061355856886542,1.220660073589377,
realtime_full_luci,recent_origins,paired_with_bridge,0,31,0.21550552008746246,0.21550552008746238,0.2155055200874624
realtime_full_luci,recent_origins,paired_with_bridge,1,30,0.46454116098441045,0.4612675578916674,0.3706842004653596
realtime_full_luci,recent_origins,paired_with_bridge,2,29,0.47584111492851516,0.4787145259488011,0.5248876310302573
