source_month,import_mm,available_from,availability_policy
2008-01,-0.5999999999999943,2008-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-02,-1.0999999999999943,2008-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-03,-0.4000000000000057,2008-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-04,0.09999999999999432,2008-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-05,2.0,2008-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-06,-1.2000000000000028,2008-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-07,-1.2999999999999972,2008-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2008-08,2.4000000000000057,2008-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2008-09,0.9000000000000057,2008-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2008-10,0.09999999999999432,2009-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2008-11,-1.9000000000000057,2009-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2008-12,-1.0,2009-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2009-01,1.5999999999999943,2009-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-02,3.299999999999997,2009-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-03,-4.299999999999997,2009-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-04,-1.5999999999999943,2009-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-05,-0.9000000000000057,2009-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-06,-0.5,2009-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-07,-2.4000000000000057,2009-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2009-08,-0.5999999999999943,2009-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2009-09,-1.2999999999999972,2009-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2009-10,1.5,2010-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2009-11,0.5999999999999943,2010-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2009-12,1.7000000000000028,2010-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2010-01,0.7999999999999972,2010-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-02,0.29999999999999716,2010-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-03,-0.09999999999999432,2010-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-04,0.5999999999999943,2010-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-05,2.700000000000003,2010-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-06,1.0999999999999943,2010-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-07,-1.4000000000000057,2010-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2010-08,-1.2000000000000028,2010-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2010-09,-0.4000000000000057,2010-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2010-10,-0.9000000000000057,2011-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2010-11,1.0999999999999943,2011-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2010-12,3.200000000000003,2011-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
