model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF,0.3828756777807417,0.27473710629239617,0.26957468004346785,-0.7334855072707632,0.46439214949659924
TVW_QRF_sqPCA,0.3891718015671897,0.275996756547659,0.30927648938378366,-0.6407443285399513,0.5226536353472597
ENSEMBLE,0.39910699801294275,0.2817821882051845,0.35780610730948736,-0.1916473115299929,0.8482742557335392
AR3,0.40319402794646175,0.3077876107243727,0.3218464186254395,,
BVAR,0.4089546659976855,0.30210367413125067,0.05468067356954295,0.11334653705958585,0.909905390645021
TVW_QRF_WIDERAW,0.4159706513988707,0.2917942147468766,0.39681025397268943,0.32970879295413996,0.7420739368458222
ARIMA313,0.4199537172005837,0.30849657501779676,0.3979237136001394,0.5876182155460998,0.5576605200465634
TVW_QRF_RAW,0.43396164849130375,0.3165584224941278,0.38746252200180675,0.9124116110493928,0.36305622417721706
TVW_QRF_WIDERAW_MF1,0.4341006207179826,0.2928220821740137,0.2971489407208615,0.6151981521464652,0.5393438250039237
RW,0.5761590382053846,0.3376614909067607,0.33801887665344993,1.112730124290843,0.2675810482586891
