period,cpi_mm,agri_ppi_yoy,ppi_c_yoy,ppi_constr_yoy,ppi_d_yoy,ppi_e_yoy,ppi_yoy,ppi_services_yoy,esi,price_expect_survey,price_expect_survey_36m,eurczk_mm,usdczk_mm,ip_yoy,retail_yoy,constr_yoy,unemployment_rate,conf_business,conf_consumer,conf_economic_sentiment,pribor_3m,czgb_10y,reer_ppi_mm,reer_cpi_mm,hh_loans_mm,nfc_loans_mm,trade_balance,cpi_breadth,median_cpi_mm,services_cpi_mm,agri_price_mm,hpi_yoy,constr_ppi_yoy,m3_yoy,wage_lci_yoy,import_prices_mm,de_food_processed_mm,de_food_unprocessed_mm,de_energy_mm,de_services_mm,de_industrial_goods_ex_energy_mm,de_food_hicp_mm_proxy
2015-02,0.201005025126,-9.2,-4.3,0.8,-0.8,3.4,-3.5,0.7,103.8,1.525,1.975,-1.02885821832,1.29513180361,7.34752733748,,,5.95436094893,101.436329625,111.263786226,103.079275162,0.33,0.396417050568,-0.279242941359,-0.0785105428443,0.0986053863251,0.485609284746,20140.717591,,,,1.68394528198,4.5,0.508646998983,5.91477289233,0.592592592593,-0.2,0.100502512563,1.02774922919,-3.24803149606,-1.31578947368,-1.2036108325,0.564125870875
2015-03,0.100300902708,-8.8,-4.4,1,-0.8,3.4,-3.6,0.1,100.4,1.40620163487,2.00457367892,-0.829469718922,3.88505180069,2.77533608602,,,5.96288791019,100.51270541,109.590646584,102.030347619,0.32,0.349643613129,-0.186683260734,-0.235716690987,0.114762283949,0.477760230929,16978.096856,0.461538461538,0.100300902708,0.167448091092,-1.21532157191,5.7,0.508646998983,6.03435478672,4.39238653001,-0.4,0.100401606426,1.52594099695,2.13631739573,1.02564102564,0.406091370558,0.813171301687
2015-04,0.300601202405,-9.9,-3.5,1,-0.8,3.4,-2.9,0,102,1.40748294177,1.93554770124,0.23375579824,0.700463017927,4.56293463974,,,5.82887334639,99.9865194943,111.82149944,101.965081016,0.31,0.25865040523,0.581878636741,0.348784878488,0.469567927258,0.0895741375871,15998.411485,0.384615384615,0,-0.0835840855901,-1.91887260533,5.7,0.508646998983,5.55360054701,4.39238653001,0.3,0.300902708124,-0.60120240481,1.39442231076,0.304568527919,1.31445904954,-0.150149848343
2015-05,0.2997002997,-10,-3.1,1,-0.7,3.4,-2.6,0.1,103.4,1.41328730174,1.91742996112,-0.171264074627,-3.39149571642,6.26667302036,,,5.64003387359,100.255210175,110.148359798,101.909138214,0.31,0.600749228126,-0.21694214876,-0.369996636394,0.381458793224,0.766826470264,13558.358019,0.769230769231,0.201005025126,0.267692822486,-0.56385781434,5.7,0.913705583756,6.00219782921,4.39238653001,1,0.2,1.71370967742,0.49115913556,0.80971659919,0.199600798403,0.95685483871
2015-06,0.0996015936255,-12.1,-2.7,1.3,-0.7,3.4,-2.1,0.2,104.2,1.4720880025,1.9549297079,-0.328515111695,-0.923402351218,4.31696401676,,,5.40555905671,100.943730044,111.82149944,102.762265949,0.31,1.01045503944,0.704006625945,1.0465901418,0.550596614829,1.11860329014,7673.18813,0.615384615385,0.199203187251,0.133489070582,-2.04496312583,4.3,0.913705583756,6.35428219234,3.22061191626,-0.4,-0.299401197605,0.396432111001,0.977517106549,0.602409638554,-0.199203187251,0.0485154566981
2015-07,-0.0995024875622,-9,-3.6,1.3,-0.7,3.4,-3,-0.2,105.4,1.55625,1.959375,-0.787372738592,1.16193135162,2.64524188411,,,5.19767059099,102.690219467,110.427216405,103.9836838,0.305454545455,0.967029145882,0.318700524314,0.278427441809,2.25366827186,0.63451700773,14352.17972,0.538461538462,0.0999000999001,0.0999833361107,0.851926859595,4.3,0.913705583756,6.952846902,3.22061191626,-0.3,0.2002002002,-1.08588351431,-0.484027105518,0.299401197605,-0.399201596806,-0.442841657057
2015-08,-0.199203187251,,,,,,,,104.8,1.57994053837,1.97786028005,-0.18456313905,-1.46921547141,8.69516894553,,,5.04359961332,101.73860664,108.754076762,102.911446755,0.31,0.73842619565,0.96331215413,1.1328298534,0.670644734063,1.05520387089,4361.549121,0.461538461538,-0.0999000999001,0,-0.339552228059,4.3,1.01419878296,7.37078501143,3.22061191626,-0.8,0.0999000999001,-1.39720558882,-0.486381322957,1.39303482587,-0.701402805611,-0.648652744461
2015-09,-0.199600798403,-7,-4.7,1.4,-0.8,3.4,-3.7,-0.2,103.7,1.64516973158,1.9504027592,0.151621611627,-0.613749639577,4.64459803164,,,4.92486359493,101.285191117,107.359793727,102.30073783,0.302380952381,0.677201529817,-0.355257815672,0.340434878102,0.45196888769,2.38558636468,-1725.935702,0.230769230769,-0.0998003992016,-0.0665889795239,2.54636734206,4.9,1.01419878296,7.50946605726,3.29153605016,-1,-0.0998003992016,0,-2.05278592375,0.196270853778,0.50454086781,-0.0499001996008
2015-10,0,-3.2,-5.2,1.4,-0.8,3.4,-4.2,-0.2,103.6,1.57298721654,1.95272586423,0.0775422790045,-0.0621684350133,7.03718742095,,,4.82333225996,101.51469774,108.196363548,102.631732744,0.29,0.560326260056,-0.254660283182,-0.383057896465,0.557308867707,0.642220186085,15975.776051,0.692307692308,0.0996015936255,0.333166749958,-0.972281358613,4.9,1.01419878296,8.77721834962,3.29153605016,-0.7,-0.1998001998,1.41700404858,-1.79640718563,-0.979431929481,1.10441767068,0.608601924391
2015-11,-0.4,3.2,-4.9,1.3,-0.9,3.4,-3.9,-0.1,104.4,1.6858906478,1.97734080432,-0.232446592628,4.43329324431,0.964930100279,,,4.75230873446,100.238417007,110.984929619,102.035009519,0.29,0.486401850586,-0.694444444444,-0.813008130081,0.55290572366,0.312287263914,15176.068855,0.307692307692,-0.0993048659384,-0.0664120869998,1.44397144162,4.9,1.11448834853,9.11814940277,3.29153605016,-0.3,0.1001001001,0.898203592814,-0.813008130081,-0.197823936696,0.496524329692,0.499151846457
