feature,first_available,last_available,n_finite
agri_ppi_yoy,2015-02,2026-07,127
ppi_c_yoy,2015-02,2026-07,127
ppi_constr_yoy,2015-02,2026-07,127
ppi_d_yoy,2015-02,2026-07,127
ppi_e_yoy,2015-02,2026-07,127
ppi_yoy,2015-02,2026-07,127
ppi_services_yoy,2015-02,2026-07,127
esi,2015-02,2026-07,138
price_expect_survey,2015-02,2026-07,138
price_expect_survey_36m,2015-02,2026-07,138
eurczk_mm,2015-02,2026-07,138
usdczk_mm,2015-02,2026-07,138
ip_yoy,2015-02,2026-07,138
retail_yoy,2021-12,2026-07,52
constr_yoy,2019-01,2026-07,84
unemployment_rate,2015-02,2026-07,138
conf_business,2015-02,2026-07,138
conf_consumer,2015-02,2026-07,138
conf_economic_sentiment,2015-02,2026-07,138
pribor_3m,2015-02,2026-07,138
czgb_10y,2015-02,2026-07,138
reer_ppi_mm,2015-02,2026-07,138
reer_cpi_mm,2015-02,2026-07,138
hh_loans_mm,2015-02,2026-07,138
nfc_loans_mm,2015-02,2026-07,138
trade_balance,2015-02,2026-07,138
cpi_breadth,2015-03,2026-07,137
median_cpi_mm,2015-03,2026-07,137
services_cpi_mm,2015-03,2026-07,137
agri_price_mm,2015-02,2026-07,138
hpi_yoy,2015-02,2026-03,134
constr_ppi_yoy,2015-02,2026-06,137
m3_yoy,2015-02,2026-06,137
wage_lci_yoy,2015-02,2026-06,137
import_prices_mm,2015-02,2026-07,138
de_food_processed_mm,2015-02,2026-01,132
de_food_unprocessed_mm,2015-02,2026-01,132
de_energy_mm,2015-02,2026-01,132
de_services_mm,2015-02,2026-01,132
de_industrial_goods_ex_energy_mm,2015-02,2026-01,132
de_food_hicp_mm_proxy,2015-02,2026-01,132
