period,horizon,policy,model,actual,forecast,status,fallback_used,n_train,n_features,fallback_reason,selected_columns,error
2026-04,1,common,AR3,0.4450095359186168,0.30725989810179755,benchmark,False,,,,,
2026-04,1,common,RW,0.4450095359186168,0.5754475703324768,benchmark,False,,,,,
2026-04,1,independent,BBIM,0.4450095359186168,0.35242276788080307,estimated,False,133.0,34.0,,agri_ppi_mm;ppi_c_mm;ppi_constr_mm;ppi_d_mm;ppi_e_mm;ppi_mm;ppi_services_mm;eurczk_mm;usdczk_mm;ip_yoy;retail_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,
2026-04,1,independent,TVW_QRF,0.4450095359186168,0.2530078844899786,estimated,False,133.0,34.0,,agri_ppi_mm;ppi_c_mm;ppi_constr_mm;ppi_d_mm;ppi_e_mm;ppi_mm;ppi_services_mm;eurczk_mm;usdczk_mm;ip_yoy;retail_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,
2026-05,1,common,AR3,0.18987341772152,0.391790192887957,benchmark,False,,,,,
2026-05,1,common,RW,0.18987341772152,0.4450095359186168,benchmark,False,,,,,
2026-05,1,independent,BBIM,0.18987341772152,0.3967385056066479,estimated,False,134.0,28.0,,agri_ppi_mm;ppi_c_mm;ppi_constr_mm;ppi_d_mm;ppi_e_mm;ppi_mm;ppi_services_mm;eurczk_mm;usdczk_mm;ip_yoy;retail_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;import_prices_mm,
2026-05,1,independent,TVW_QRF,0.18987341772152,0.18308392085710223,estimated,False,134.0,28.0,,agri_ppi_mm;ppi_c_mm;ppi_constr_mm;ppi_d_mm;ppi_e_mm;ppi_mm;ppi_services_mm;eurczk_mm;usdczk_mm;ip_yoy;retail_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;import_prices_mm,
2026-06,1,common,AR3,-0.31585596967782514,0.35494277082420783,benchmark,False,,,,,
2026-06,1,common,RW,-0.31585596967782514,0.18987341772152,benchmark,False,,,,,
2026-06,1,independent,BBIM,-0.31585596967782514,0.3838400565032922,estimated,False,135.0,28.0,,agri_ppi_mm;ppi_c_mm;ppi_constr_mm;ppi_d_mm;ppi_e_mm;ppi_mm;ppi_services_mm;eurczk_mm;usdczk_mm;ip_yoy;retail_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;import_prices_mm,
