model,block,variable,source_used,status,exact_bloomberg,closest_ticker,closest_transform,closest_verdict,n,first,last,exact_share,max_abs_gap,exact_since,model_obs_without_bloomberg,without_bloomberg_span,tests,note
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,target and wedge,headline CPI m/m,m/m of CZSO 2015=100 index (fixture target_headline_cpi_mm),not exact,,CZCIPM Index,published m/m,extremely similar,138.0,2015-02,2026-07,0.0725,0.1008919722497391,,,,X2 CZCIPM Index: extremely similar; X3 CZCPMOM Index: extremely similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core block,CNB core m/m,ARAD SCPIMZM09MOMPECNA (fixture cnb_core_mm),exact,CZCIXM Index (published m/m),CZCIXM Index,published m/m,exact,235.0,2007-01,2026-07,1.0,0.0,,,,X0 CZCIXM Index: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,administered block,CNB regulated prices m/m,ARAD SCPIMZM02MOMPECNA (fixture cnb_regulated_mm),exact,CZCIRM Index (published m/m),CZCIRM Index,published m/m,exact,235.0,2007-01,2026-07,1.0,0.0,,,,X1 CZCIRM Index: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,food (COICOP 01) m/m,CZSO (fixture component_food_fuel_mm.food),not exact,,CZCPFMOM Index,published m/m,extremely similar,138.0,2015-02,2026-07,0.0652,0.1051881993896166,,,,X4 CZCPFMOM Index: extremely similar; N_food_cnb CZCIBM Index: different,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fuel block,fuels (07.22) m/m,CZSO (fixture component_food_fuel_mm.fuel),not exact,,CZCIFM Index,CNB-published m/m (Bloomberg label: Czech Inflation Fuel MoM),similar,138.0,2015-02,2026-07,0.0362,4.36963064295485,,0,,X6 CP7FCZ Index: similar; N_fuel_cnb CZCIFM Index: similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,alcohol and tobacco block,alcohol and tobacco (02) m/m,CZSO (fixture alcohol_tobacco),not exact,,CZCPAMOM Index,published m/m,extremely similar,138.0,2015-02,2026-07,0.0507,0.1053518334985008,,,,X5 CZCPAMOM Index: extremely similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,eurczk_mm,m/m of CNB monthly average EUR/CZK (monetary.fx_monthly),not exact,,EURCZK CNB Curncy,m/m of monthly mean rounded to 3 dp,similar,236.0,2007-01,2026-08,0.8432,0.0890401598015564,,,,X100 EURCZK CNB Curncy: similar; X112 EURCZK Curncy: similar; X106 EURCZK F143 Curncy: different; X109 EURCZK BFIX Curncy: different; X103 EURCZKF Curncy: different,the monthly mean of EURCZK CNB Curncy (3 dp) differs from the CNB-published average by 0.001 in seven months since 2015
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge (live calls),month-to-date eurczk_mm before the monthly average is published,CNB daily fixings via cz_struct._eurczk_mtd_mm,exact,"EURCZK CNB Curncy (daily level, CZK)",EURCZK CNB Curncy,"daily level, CZK",exact,2185.0,2018-01-02,2026-09-11,1.0,0.0,2018-01-02,0,,N_cnb_daily_fixings EURCZK CNB Curncy: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,services_l1,"CZSO services m/m, lag 1",not exact,,CPSVCZM Index,"HICP services m/m, lag 3 (best of lags 0-3)",different,137.0,2015-03,2026-07,0.0,2.036587808236332,,0,,N_services_l1 CPSVCZM Index: different,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,import_l2,"CZSO import prices m/m, lag 2",not exact,,CZEIIMOM Index,published m/m,extremely similar,137.0,2015-01,2026-05,0.9854,0.1000000000000056,,,,X26 CZEIIMOM Index: extremely similar,
