ticker,name,transformation,n,first,last,level_n,level_first,level_last,level_exact_share,level_within_tol_share,level_max_abs_gap,level_mean_abs_gap,level_corr,mm_n,mm_first,mm_last,mm_exact_share,mm_within_tol_share,mm_max_abs_gap,mm_mean_abs_gap,mm_corr,mom6_n,mom6_first,mom6_last,mom6_exact_share,mom6_within_tol_share,mom6_max_abs_gap,mom6_mean_abs_gap,mom6_corr,phase_n,phase_agree_share,phase_max_momentum_gap,phase_vs_recorded,yy_n,yy_first,yy_last,yy_exact_share,yy_within_tol_share,yy_max_abs_gap,yy_mean_abs_gap,yy_corr
CZEIE Index,Czech Republic Export Prices,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,15.566728331309378,6.298244659499184,0.9627237669889309,232.0,2007-03,2026-07,0.01293103448275862,0.05603448275862069,4.872578560244689,0.7523008196681527,0.4315752661211679,227.0,2007-08,2026-07,0.0,0.030837004405286344,14.139719862193544,2.159982268272977,0.5590887560505935,90.0,0.7888888888888889,7.889827353081547,0.7888888888888889,,,,,,,,
CZEIEB Index,Czech Republic Export Prices B,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,34.457367493905664,9.713980682031378,0.7113844582968843,232.0,2007-03,2026-07,0.004310344827586207,0.04310344827586207,22.844707756186487,1.474452503655989,0.07089115088444647,227.0,2007-08,2026-07,0.004405286343612335,0.030837004405286344,31.784470674698866,5.0984299309538486,-0.06647775866395811,90.0,0.5111111111111111,17.35449384035519,0.5111111111111111,,,,,,,,
CZEIEC Index,Czech Republic Export Prices C,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,23.7776274893519,11.64798072794877,0.6872478069484581,232.0,2007-03,2026-07,0.0,0.034482758620689655,5.185019000326108,1.002805255878686,0.575449387820373,227.0,2007-08,2026-07,0.0,0.030837004405286344,9.852878118308979,2.75963476319785,0.7638962527343279,90.0,0.8666666666666667,9.039144000497856,0.8666666666666667,,,,,,,,
CZEIEF Index,Czech Republic Export Prices F,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,23.97109595592329,11.03649518094887,0.8733234459744106,232.0,2007-03,2026-07,0.008620689655172414,0.03017241379310345,8.51899165667449,0.8893992698123817,0.4410232932129132,227.0,2007-08,2026-07,0.0,0.03524229074889868,13.337423056312105,2.62146465098014,0.6630768553405559,90.0,0.6555555555555556,8.891617859325063,0.6555555555555556,,,,,,,,
CZEIEG Index,Czech Republic Export Prices G,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,17.064762705824563,6.68082736440707,0.945457967794337,232.0,2007-03,2026-07,0.0,0.04310344827586207,8.776200253949995,0.8079763442683404,0.44904444089445084,227.0,2007-08,2026-07,0.0,0.022026431718061675,15.781454379666116,2.3639823130029765,0.6315766172105421,90.0,0.8333333333333334,6.0325161816231265,0.8333333333333334,,,,,,,,
CZEIEI Index,Czech Republic Export Prices I,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,33.60537901879036,13.837053669545687,0.3797895550971348,232.0,2007-03,2026-07,0.0,0.02586206896551724,25.816504424361774,1.8566220593902754,0.44173543756863515,227.0,2007-08,2026-07,0.0,0.00881057268722467,32.8254603451893,6.717645289750888,0.6024544154897029,90.0,0.7444444444444445,28.96445553852995,0.7444444444444445,,,,,,,,
CZEIEL Index,Czech Republic Export Prices L,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,50.621932010845285,31.18731985884016,0.9598857910373337,232.0,2007-03,2026-07,0.0,0.017241379310344827,20.948693826880092,3.457966386724327,0.4402798308176703,227.0,2007-08,2026-07,0.0,0.004405286343612335,54.43050498204536,9.61078237618929,0.761962075715649,90.0,0.7555555555555555,54.430504982045406,0.7555555555555555,,,,,,,,
CZEIEM Index,Czech Republic Export Prices M,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,17.011885230607206,8.018784134526607,0.8758370569085954,232.0,2007-03,2026-07,0.0,0.05603448275862069,5.820166474513499,0.8660766294121769,0.2270500530605239,227.0,2007-08,2026-07,0.004405286343612335,0.01762114537444934,18.000694490116416,3.0515306586959854,0.0927887928853993,90.0,0.5444444444444444,11.770915148622674,0.5444444444444444,,,,,,,,
CZEIEO Index,Czech Republic Export Prices O,Index NSA,130,2007-02,2017-12,130.0,2007-02,2017-12,0.007692307692307693,0.007692307692307693,26.50967444037522,11.147141409290588,0.3535082959005504,129.0,2007-03,2017-12,0.0,0.007751937984496124,12.430993216440422,1.674886374743237,0.2830701801428655,124.0,2007-08,2017-12,0.0,0.016129032258064516,16.35835325475489,3.7616958098455338,0.5096162631368957,90.0,0.6888888888888889,18.18104695304834,0.6888888888888889,,,,,,,,
CZEIET Index,Czech Republic Export Prices T,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,22.296068886062287,10.537397220037388,0.8181546281239499,232.0,2007-03,2026-07,0.0,0.02586206896551724,5.465231115705526,0.9293296896744538,0.17346374193821779,227.0,2007-08,2026-07,0.0,0.004405286343612335,18.134179649900148,3.294910848742189,-0.05151521800939262,90.0,0.6,15.300972350521835,0.6,,,,,,,,
CZEII Index,Czech Republic Import Prices,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,16.352917578485858,8.845414740434991,0.9157298830751593,232.0,2007-03,2026-07,0.004310344827586207,0.03879310344827586,3.635847164464734,0.7503059105011911,0.5676513890113654,227.0,2007-08,2026-07,0.0,0.030837004405286344,10.288296755989052,2.007308426235698,0.7396067983922492,90.0,0.8444444444444444,10.288296755989013,0.8444444444444444,,,,,,,,
CZEIIB Index,Czech Republic Import Prices B,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,38.60290963412563,19.192921804651437,0.8640184087529202,232.0,2007-03,2026-07,0.0,0.02586206896551724,13.907128533794678,1.2475815991618973,0.20288093925913728,227.0,2007-08,2026-07,0.0,0.013215859030837005,19.162011606591705,4.200857067793201,0.20836954380153092,90.0,0.45555555555555555,19.162011606591722,0.45555555555555555,,,,,,,,
