model_input,reference,ticker,transform,first,last,n,corr,mean_abs_gap,max_abs_gap,max_gap_at,share_within_tol,tol,verdict
Headline CPI m/m,"fixture target_headline_cpi_mm, rounded 0.1",CZCPMOM Index,published m/m,2015-02,2026-07,138,0.9996,0.0043,0.1,2016-11,0.957,0.05,identical
Headline CPI y/y,compounded from fixture m/m,CZCPYOY Index,published y/y,2016-01,2026-07,127,1.0,0.024,0.1064,2016-11,0.992,0.06,identical
Headline CPI m/m,fixture (CZSO base-2015 index),CZCPI Index,m/m from 2025=100 level,2015-02,2026-07,138,0.9954,0.0601,0.2081,2016-08,0.507,0.05,close
CPI food (01) m/m,fixture (CZSO base-2015 index),CZCPF Index,m/m from 2025=100 level,2015-02,2026-07,138,0.9986,0.047,0.1541,2016-09,0.609,0.05,close
CPI alcohol and tobacco (02) m/m,fixture (CZSO base-2015 index),CZCPA Index,m/m from 2025=100 level,2015-02,2026-07,138,0.9984,0.0546,0.2041,2015-08,0.543,0.05,close
CNB regulated prices m/m,fixture cnb_regulated_mm (CNB ARAD),CZCIRM Index,published m/m,2007-01,2026-07,235,1.0,0.0,0.0,2007-01,1.0,0.05,identical
Headline CPI m/m,"fixture, rounded 0.1",CZCIPM Index,published m/m,2015-02,2026-07,138,0.9996,0.0043,0.1,2016-11,0.957,0.05,identical
CPI fuel (07.22) m/m,"fixture, rounded 0.1",CZCIFM Index,published m/m,2015-02,2026-07,138,0.9914,0.1391,4.4,2022-06,0.565,0.05,close
CPI food (01) m/m,"fixture, rounded 0.1",CZCPFMOM Index,published m/m,2015-02,2026-07,138,0.9998,0.0058,0.1,2015-09,0.942,0.05,close
CPI alcohol and tobacco (02) m/m,"fixture, rounded 0.1",CZCPAMOM Index,published m/m,2015-02,2026-07,138,0.9998,0.0051,0.1,2016-01,0.949,0.05,close
CPI services m/m,fixture services_l1 shifted back 1 month (CZSO cpi_services),CPSVCZM Index,"HICP services, published m/m",2015-02,2026-06,137,0.2912,0.4566,3.0044,2024-09,0.27,0.1,different
CPI services m/m,fixture services_l1 shifted back 1 month (CZSO cpi_services),CPSVCZ Index,"HICP services, m/m from level",2015-02,2026-06,137,0.2933,0.4537,2.9767,2024-09,0.27,0.1,different
CNB core inflation m/m,fixture cnb_core_mm (CNB ARAD),CZCIXM Index,published m/m,2007-01,2026-07,235,1.0,0.0,0.0,2007-01,1.0,0.05,identical
CNB core inflation m/m,fixture cnb_core_mm (CNB ARAD),CZCINM Index,published m/m,2007-01,2026-07,235,0.7477,0.254,1.1,2007-11,0.123,0.05,different
CNB core inflation m/m,fixture cnb_core_mm (CNB ARAD),CZCIMPM Index,published m/m,2007-01,2026-07,235,0.5632,0.3094,5.2,2023-01,0.106,0.05,different
CNB regulated prices m/m,fixture cnb_regulated_mm (CNB ARAD),CPAPCZMM Index,"HICP administered, published m/m",2007-01,2026-07,235,0.973,0.2774,9.0,2023-01,0.677,0.1,different
CNB core inflation m/m,fixture cnb_core_mm (CNB ARAD),CPEXCZM Index,"HICP core, published m/m",2007-01,2026-07,235,0.8341,0.1294,2.7,2008-01,0.774,0.1,different
CPI fuel (07.22) m/m,fixture component_food_fuel_mm.fuel (CZSO),CP7FCZ Index,"HICP fuels, m/m from level",2015-02,2026-07,138,0.9999,0.0403,0.1574,2016-04,0.949,0.1,close
CPI fuel (07.22) m/m,fixture component_food_fuel_mm.fuel (CZSO),CP7FCZMM Index,"HICP fuels, published m/m",2015-02,2026-07,138,0.9999,0.0415,0.1765,2019-04,0.928,0.1,close
Food-products PPI (CZ-CPA 10) m/m,data/cz_ppi_product_raw.csv (CZSO CEN0201B),CZPPA10M Index,published m/m,2015-02,2026-07,138,0.9995,0.019,0.1004,2015-04,0.993,0.1,identical
Food-products PPI (CZ-CPA 10) m/m,data/cz_ppi_product_raw.csv (CZSO CEN0201B),EPT010CZ Index,"Eurostat index, m/m from level",2015-02,2026-07,138,0.9684,0.1635,0.935,2020-03,0.384,0.1,different
Import prices m/m,fixture import_l2 shifted back 2 months (CZSO CEN0301),CZEII Index,m/m from level,2015-01,2026-05,137,0.9875,0.0389,2.3749,2016-04,0.993,0.1,close
Import prices m/m,data/czso_import_prices_sitc_monthly.csv (CZSO CEN0303),CZEII Index,m/m from level,2008-01,2026-06,222,0.9921,0.0325,2.3749,2016-04,0.995,0.1,close
A6 row 26 import prices,A6 row 26: cnb_arad:SIMCSUM2005PM01+SIMCSUM2015PM01 (mm_index_previous_month_100),CZEII Index,m/m from level,2007-03,2026-07,231,0.9922,0.0316,2.3749,2016-04,0.996,0.1,close
Import prices m/m,fixture import_l2 shifted back 2 months (CZSO CEN0301),CZEIIMOM Index,published m/m,2015-01,2026-05,137,1.0,0.0015,0.1,2017-06,1.0,0.1,identical
Import prices m/m,data/czso_import_prices_sitc_monthly.csv (CZSO CEN0303),CZEIIMOM Index,published m/m,2008-01,2026-06,222,1.0,0.0009,0.1,2017-06,1.0,0.1,identical
A6 row 26 import prices,A6 row 26: cnb_arad:SIMCSUM2005PM01+SIMCSUM2015PM01 (mm_index_previous_month_100),CZEIIMOM Index,published m/m,2007-02,2026-07,233,1.0,0.0009,0.1,2017-06,1.0,0.1,identical
Household price expectations (BS-PT-NY),fixture core_features.household_exp,EUA8CZ Index,level,2007-01,2026-08,236,1.0,0.0,0.0,2007-01,1.0,0.05,identical
A6 row 72,A6 row 72: eurostat:ei_bsco_m:BS-PT-NY:SA:CZ (balance),EUA8CZ Index,level,1995-01,2026-08,380,1.0,0.0,0.0,1995-01,1.0,0.05,identical
A6 row 71,A6 row 71: eurostat:ei_bsco_m:BS-PT-LY:SA:CZ (balance),EUA7CZ Index,level,1995-01,2026-08,380,1.0,0.0,0.0,1995-01,1.0,0.05,identical
Economic sentiment indicator,fixture core_features.esi (Eurostat),EUESCZ Index,level,2007-01,2026-07,235,0.9999,0.0949,0.3,2008-03,0.234,0.05,close
Economic sentiment indicator,fixture core_features.esi (Eurostat),CZCCCOM Index,level,2007-01,2026-07,235,0.9761,91.7626,97.5,2007-11,0.0,0.05,different
Unemployment rate (unemployment_nsa),data/vintages/unemployment_latest_snapshot.csv (CZSO),CZUEUR Index,level,2005-03,2024-12,80,0.996,0.1518,0.4918,2024-09,0.2,0.05,close
Unemployment rate (unemployment_nsa),data/vintages/unemployment_latest_snapshot.csv (CZSO),UMRTCZ Index,level,1993-01,2026-07,403,0.9971,0.1326,0.6434,2013-02,0.268,0.05,close
Unemployment rate (unemployment_nsa),data/vintages/unemployment_latest_snapshot.csv (CZSO),CZJLUNR Index,level,2005-01,2026-07,259,0.9037,0.9317,1.9404,2016-03,0.004,0.05,different
Unemployment rate (unemployment_trend_cycle),data/vintages/unemployment_latest_snapshot.csv (CZSO),CZUEUR Index,level,2005-03,2024-12,80,0.9964,0.1427,0.5429,2009-06,0.175,0.05,close
Unemployment rate (unemployment_trend_cycle),data/vintages/unemployment_latest_snapshot.csv (CZSO),UMRTCZ Index,level,1993-01,2026-07,403,0.998,0.1158,0.6019,2022-11,0.268,0.05,close
