reference,ticker,first,last,n,bloomberg_frequency,level_corr,level_mae,level_max,within_0p05,change_1m_corr,change_12m_corr
"CZSO 15-64 nsa, release 2026-08-31",UMRTCZ Index,1993-01,2026-07,403,monthly,0.9971,0.133,0.64,0.268,0.808,0.993
"CZSO 15-64 nsa, release 2026-08-31",CZJLUNR Index,2005-01,2026-07,259,monthly,0.9037,0.932,1.94,0.004,0.377,0.892
"CZSO 15-64 nsa, release 2026-08-31",CZUEUR Index,2005-03,2024-12,80,quarterly,0.996,0.152,0.49,0.2,,
"CZSO 15-64 nsa, release 2026-08-31",OECZRUAX Index,1998-03,2024-09,107,quarterly,0.9951,0.184,0.71,0.168,,
"CZSO 15-64 nsa, release 2026-08-31",OECZRUAW Index,1998-03,2024-09,107,quarterly,0.9964,0.163,0.56,0.168,,
"CZSO 15-64 trend_cycle, release 2026-08-31",UMRTCZ Index,1993-01,2026-07,403,monthly,0.998,0.116,0.6,0.268,0.45,0.984
"CZSO 15-64 trend_cycle, release 2026-08-31",CZJLUNR Index,2005-01,2026-07,259,monthly,0.9016,0.939,2.0,0.008,0.447,0.918
"CZSO 15-64 trend_cycle, release 2026-08-31",CZUEUR Index,2005-03,2024-12,80,quarterly,0.9964,0.143,0.54,0.175,,
"CZSO 15-64 trend_cycle, release 2026-08-31",OECZRUAX Index,1998-03,2024-09,107,quarterly,0.9985,0.098,0.43,0.346,,
"CZSO 15-64 trend_cycle, release 2026-08-31",OECZRUAW Index,1998-03,2024-09,107,quarterly,0.997,0.14,0.47,0.224,,
"CZSO 15-64 sa, last SA release 2025-05-02",UMRTCZ Index,1993-01,2025-03,387,monthly,0.9995,0.067,0.24,0.413,0.916,0.996
"CZSO 15-64 sa, last SA release 2025-05-02",CZJLUNR Index,2005-01,2025-03,243,monthly,0.9045,0.901,2.01,0.008,0.243,0.903
"CZSO 15-64 sa, last SA release 2025-05-02",CZUEUR Index,2005-03,2024-12,80,quarterly,0.9963,0.15,0.53,0.212,,
"CZSO 15-64 sa, last SA release 2025-05-02",OECZRUAX Index,1998-03,2024-09,107,quarterly,0.998,0.115,0.41,0.28,,
"CZSO 15-64 sa, last SA release 2025-05-02",OECZRUAW Index,1998-03,2024-09,107,quarterly,0.9968,0.142,0.53,0.234,,
A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),UMRTCZ Index,1993-01,2026-07,403,monthly,1.0,0.0,0.0,1.0,1.0,1.0
A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),CZJLUNR Index,2005-01,2026-07,259,monthly,0.8963,0.963,2.1,0.023,0.157,0.898
A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),CZUEUR Index,2005-03,2024-12,80,quarterly,0.9958,0.149,0.6,0.163,,
A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),OECZRUAX Index,1998-03,2024-09,107,quarterly,0.9971,0.149,0.49,0.215,,
A6 row 11: eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ (percent),OECZRUAW Index,1998-03,2024-09,107,quarterly,0.996,0.154,0.6,0.271,,
