period,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2002-05,7.363355183447601,60.52179748,,,86.2,-2.8,,,,,,46.8,,-6.3,,-0.2695417789757459,,,,,,5.30377176545915,3.81,3.75,,,,,25.67363636363636,,,,,3.076923076923077,3.3461538461538463,36.5
2002-06,7.24435008584821,60.0594619,,,84.6,-2.6,,,,,2.4000000000000004,44.1,-1.5,-3.5,,-0.5383580080753569,,,,,,5.12790495157242,3.65,3.75,0.01797390043689262,0.014381601705219182,,,24.613888888888887,,,,,2.972727272727272,3.1,28.3
2002-07,7.197771729122027,61.4815209,,,84.2,-1.3,,,,,-0.30000000000000027,53.1,1.0,-5.2,,-0.8053691275167751,,,,,,4.79384771802209,3.08,3.0,0.021317818683008305,0.026240572652517002,,,25.68086956521739,,,,,2.958333333333333,2.75,20.8
2002-08,7.20137341705837,60.5254081,,,82.9,-1.8,,,,,0.30000000000000027,38.6,-1.3999999999999986,-6.1,,-1.3440860215053752,,,,,,4.56783835825167,3.04,3.0,-0.040269608044462224,-0.03912479449223216,,,26.354761904761908,,,,,3.0,2.6545454545454543,22.5
2002-09,7.219234487760019,61.81598113,,,83.7,-0.2,,,,,-2.7,37.7,-1.4000000000000021,-4.3,,-1.21293800539084,,,,,,4.47521060705185,2.88,3.0,0.0158536617832139,0.018040771018960733,,,28.29047619047619,,,,,2.94,3.07,47.9
2002-10,7.235378515485363,62.4325773,,,81.9,0.8,,,,,4.0,41.6,-4.300000000000001,-5.3,,-1.0781671159029615,,,,,,4.28704513744874,2.72,3.0,-0.015201629593192933,-0.01878918068343083,,,27.358260869565207,,,,,2.908333333333333,2.5083333333333333,42.2
2002-11,7.253109603723712,63.42361108,,,80.9,-3.3,,,,,-2.9,45.5,0.5,-3.6,,-0.8042895442359144,,,,,,4.21496179841814,2.75,2.75,0.0,-0.004752979554416115,,,24.26428571428572,,,,,2.7545454545454544,2.3818181818181814,33.1
2002-12,7.295104290922882,63.592523,,,79.8,-2.2,,,,,-0.10000000000000009,46.5,1.1000000000000014,-1.8,,-0.5383580080753569,,,,,,4.147168590742,2.59,2.75,-0.017092560316045002,-0.01248991193835014,,,27.479000000000003,,,,,2.833333333333333,2.325,31.2
2003-01,7.345556348601122,61.89998822,,,80.0,-0.6,,,,,2.4,41.7,-0.10000000000000142,-8.0,,-0.6747638326585648,,,,,,4.09925269229072,2.55,2.5,-0.0024341680529786913,-0.004070734536190557,,,30.33909090909091,,,,,2.7,2.525,36.1
2003-02,7.365055412013434,61.52468115,,,81.1,-0.7,,,,,0.3999999999999999,40.8,-0.5,-3.6,,-0.9421265141319024,,,,,,3.80975702404976,2.39,2.5,-0.003551218913520948,-0.0011478861027018894,,,32.1775,,,,,2.7916666666666665,2.4416666666666664,37.3
2003-03,7.372390805177273,61.40273639,,,82.0,-1.3,,,,,0.9000000000000004,41.5,-1.8999999999999986,0.0,,-0.6720430107526876,,,,,,3.74575068553289,2.4,2.5,0.001111111225422512,-0.0005105948540853333,,,29.56047619047619,,,,,2.8545454545454545,2.4818181818181824,39.1
2003-04,7.420666321564014,62.95787252,,,85.1,-1.1,,,,,3.499999999999999,43.7,2.1000000000000014,-4.6,,-0.6711409395973145,,,,,,3.92259624742326,2.48,2.5,0.0066408655788956494,0.006744315186792527,,,24.753499999999995,,,,,2.707692307692308,2.5615384615384618,33.3
2003-05,7.515465838691264,61.84312685,,,83.9,-1.1,,,,,-3.1999999999999993,40.6,2.5,-7.6,,-0.8108108108108025,,,,,,3.72971761226654,2.42,2.5,0.021499163851745884,0.020212853112594686,,,25.455,,,,,2.7727272727272725,3.727272727272727,31.5
2003-06,7.62385171857827,62.11304565,,,86.9,0.3,,,,,-1.7000000000000002,44.3,-3.700000000000003,-5.2,,-0.8119079837618504,,,,,,3.49241297869455,2.25,2.25,0.0015104113347250703,0.0024826229235799246,,,27.288571428571423,,,,,2.72,3.23,33.1
2003-07,7.720177047884898,62.33227874,,,87.9,-1.6,,,,,-1.9,41.1,-0.09999999999999787,-6.3,,-0.9472259810554884,,,,,,4.05718462622684,2.26,2.25,-0.023561299338397568,-0.024853795924363098,,,28.36434782608696,,,,,2.79,3.28,34.9
