period,horizon,policy,model,actual,forecast,fallback_used,status,n_train,n_features,engine,qrf_median,qrf_p05,qrf_p95,error
2024-01,3,common,RW,1.4905149051490652,0.0675675675675613,False,benchmark,,,closed_form,,,,
2024-01,3,common,AR3,1.4905149051490652,0.21498353758686933,False,benchmark,,,closed_form,,,,
2024-02,3,common,RW,0.26702269692922,0.0675219446319985,False,benchmark,,,closed_form,,,,
2024-02,3,common,AR3,0.26702269692922,0.1644445874391461,False,benchmark,,,closed_form,,,,
2024-03,3,common,RW,0.1331557922769732,-0.4048582995951344,False,benchmark,,,closed_form,,,,
2024-03,3,common,AR3,0.1331557922769732,0.20554727148400737,False,benchmark,,,closed_form,,,,
2024-04,3,common,RW,0.6648936170212671,1.4905149051490652,False,benchmark,,,closed_form,,,,
2024-04,3,common,AR3,0.6648936170212671,0.28870464107303134,False,benchmark,,,closed_form,,,,
2024-05,3,common,RW,0.0,0.26702269692922,False,benchmark,,,closed_form,,,,
2024-05,3,common,AR3,0.0,0.23712381932860707,False,benchmark,,,closed_form,,,,
2024-06,3,common,RW,-0.264200792602387,0.1331557922769732,False,benchmark,,,closed_form,,,,
2024-06,3,common,AR3,-0.264200792602387,0.35603972930637573,False,benchmark,,,closed_form,,,,
2024-07,3,common,RW,0.6622516556291425,0.6648936170212671,False,benchmark,,,closed_form,,,,
2024-07,3,common,AR3,0.6622516556291425,0.28293312070790705,False,benchmark,,,closed_form,,,,
2024-08,3,common,RW,0.263157894736854,0.0,False,benchmark,,,closed_form,,,,
2024-08,3,common,AR3,0.263157894736854,0.24664593060624596,False,benchmark,,,closed_form,,,,
2024-09,3,common,RW,-0.3937007874015741,-0.264200792602387,False,benchmark,,,closed_form,,,,
2024-09,3,common,AR3,-0.3937007874015741,0.25909295947693195,False,benchmark,,,closed_form,,,,
2024-10,3,common,RW,0.3293807641633783,0.6622516556291425,False,benchmark,,,closed_form,,,,
2024-10,3,common,AR3,0.3293807641633783,0.25623864380452493,False,benchmark,,,closed_form,,,,
2024-11,3,common,RW,0.0656598818122189,0.263157894736854,False,benchmark,,,closed_form,,,,
2024-11,3,common,AR3,0.0656598818122189,0.23067430773443165,False,benchmark,,,closed_form,,,,
2024-12,3,common,RW,-0.2624671916010568,-0.3937007874015741,False,benchmark,,,closed_form,,,,
2024-12,3,common,AR3,-0.2624671916010568,0.25136994465444223,False,benchmark,,,closed_form,,,,
2025-01,3,common,RW,1.3157894736842035,0.3293807641633783,False,benchmark,,,closed_form,,,,
2025-01,3,common,AR3,1.3157894736842035,0.2529911252032837,False,benchmark,,,closed_form,,,,
2025-02,3,common,RW,0.1948051948051921,0.0656598818122189,False,benchmark,,,closed_form,,,,
2025-02,3,common,AR3,0.1948051948051921,0.20301235964823072,False,benchmark,,,closed_form,,,,
2025-03,3,common,RW,0.0648088139987068,-0.2624671916010568,False,benchmark,,,closed_form,,,,
2025-03,3,common,AR3,0.0648088139987068,0.22769627222507088,False,benchmark,,,closed_form,,,,
2025-04,3,common,RW,-0.1295336787564882,1.3157894736842035,False,benchmark,,,closed_form,,,,
2025-04,3,common,AR3,-0.1295336787564882,0.3081396428277683,False,benchmark,,,closed_form,,,,
2025-05,3,common,RW,0.5188067444876765,0.1948051948051921,False,benchmark,,,closed_form,,,,
2025-05,3,common,AR3,0.5188067444876765,0.23225898976657997,False,benchmark,,,closed_form,,,,
2025-06,3,common,RW,0.2580645161290418,0.0648088139987068,False,benchmark,,,closed_form,,,,
2025-06,3,common,AR3,0.2580645161290418,0.3218750849485573,False,benchmark,,,closed_form,,,,
2025-07,3,common,RW,0.4504504504504458,-0.1295336787564882,False,benchmark,,,closed_form,,,,
2025-07,3,common,AR3,0.4504504504504458,0.2295769779287913,False,benchmark,,,closed_form,,,,
2025-08,3,common,RW,0.0640614990390808,0.5188067444876765,False,benchmark,,,closed_form,,,,
2025-08,3,common,AR3,0.0640614990390808,0.25583585434392736,False,benchmark,,,closed_form,,,,
2025-09,3,common,RW,-0.5761843790012655,0.2580645161290418,False,benchmark,,,closed_form,,,,
2025-09,3,common,AR3,-0.5761843790012655,0.23765346929622982,False,benchmark,,,closed_form,,,,
2024-01,3,paper_independent,TVW3_leaf_QRF,1.4905149051490652,-0.024404869297456114,False,estimated,255.0,26.0,SklearnLeafTVWQRF,0.0,-0.7159904534606132,1.3404825737265424,
2024-02,3,paper_independent,TVW3_leaf_QRF,0.26702269692922,-0.0012993062258856124,False,estimated,256.0,26.0,SklearnLeafTVWQRF,0.0945179584121103,-0.5504587155963248,1.3404825737265424,
2024-03,3,paper_independent,TVW3_leaf_QRF,0.1331557922769732,-0.12720663472860522,False,estimated,257.0,26.0,SklearnLeafTVWQRF,0.0675675675675613,-0.7377598926894713,1.474201474201453,
