model,frame,n,rmse,mae
R9_BASE,all,90,0.2997166455678414,0.2408643018849658
R9_BASE,2024+,31,0.19013957694935205,0.1491075961606604
R9_BASE,ex_jan,83,0.2985139167530689,0.23907950927597973
R9_BASE,flash2025+,19,0.13201748039704428,0.11658015571665543
R9_BASE,big,23,0.38884796122333637,0.34604939749480323
R9_BASE,big_up,13,0.414773037693273,0.38545104711376843
R9_BASE,big_down,10,0.35230472654061484,0.29482725299014845
R9_HALF,all,90,0.3005847564989449,0.2325534856746083
R9_HALF,2024+,31,0.1593732378115035,0.11685379020192664
R9_HALF,ex_jan,83,0.3035508296998359,0.23464472677823237
R9_HALF,flash2025+,19,0.10239372451628904,0.08851355776586657
R9_HALF,big,23,0.38868107838501287,0.3390977921295078
R9_HALF,big_up,13,0.4240422708938802,0.38708150570051114
R9_HALF,big_down,10,0.33721277235766656,0.27671896448720357
R9_FULL,all,90,0.3213586873230675,0.24022218499468018
R9_FULL,2024+,31,0.15086248058200308,0.10747416683021739
R9_FULL,ex_jan,83,0.32848379843706804,0.24584701289349656
R9_FULL,flash2025+,19,0.10164224035755508,0.08178905165711459
R9_FULL,big,23,0.4068896706803337,0.33919256455259655
R9_FULL,big_up,13,0.4535384840869257,0.3887119642872537
R9_FULL,big_down,10,0.33671926872749564,0.27481734489754234
TARGET_OWN,all,90,0.2464553931548572,0.1828690633252549
TARGET_OWN,2024+,31,0.1416059775208875,0.11462901626842571
TARGET_OWN,ex_jan,83,0.23534668892592192,0.17501022213851333
TARGET_OWN,flash2025+,19,0.10346214519725798,0.0917482169629553
TARGET_OWN,big,23,0.359686149974295,0.30450691533791285
TARGET_OWN,big_up,13,0.43625951546646663,0.39578434875682195
TARGET_OWN,big_down,10,0.22392279166291734,0.1858462518933309
TARGET_OWN_HALF,all,90,0.25600037313364865,0.19748369798796167
TARGET_OWN_HALF,2024+,31,0.15493603776250248,0.12300307955099499
TARGET_OWN_HALF,ex_jan,83,0.249440110519763,0.191910751028109
TARGET_OWN_HALF,flash2025+,19,0.10756880325893303,0.0948543272676186
TARGET_OWN_HALF,big,23,0.3463366049991765,0.29743865692424565
TARGET_OWN_HALF,big_up,13,0.39940098068053004,0.34958362325732384
TARGET_OWN_HALF,big_down,10,0.26173519964704395,0.2296502006912439
TARGET_CHANNEL,all,90,0.24453322418151133,0.18993359631709744
TARGET_CHANNEL,2024+,31,0.15097824289420333,0.12095486073416038
TARGET_CHANNEL,ex_jan,83,0.2423582435340372,0.18673788997956767
TARGET_CHANNEL,flash2025+,19,0.10270584468383574,0.09259627268409804
TARGET_CHANNEL,big,23,0.3041468292756585,0.2672550773333423
TARGET_CHANNEL,big_up,13,0.34902225982294766,0.3279841934086771
TARGET_CHANNEL,big_down,10,0.2332395258889706,0.188307226435407
TARGET_BASE_REMAINDER,all,90,0.24519426791487026,0.1900063042489106
TARGET_BASE_REMAINDER,2024+,31,0.15669579192027425,0.13172810952102473
TARGET_BASE_REMAINDER,ex_jan,83,0.24833269464242827,0.1918319378801352
TARGET_BASE_REMAINDER,flash2025+,19,0.11291255916963676,0.10171630826375061
TARGET_BASE_REMAINDER,big,23,0.29713968274447433,0.25108525217832744
TARGET_BASE_REMAINDER,big_up,13,0.32883759173890487,0.2850530206612616
TARGET_BASE_REMAINDER,big_down,10,0.24999433829305867,0.20692715315051302
TARGET_BASE_REMAINDER_HALF,all,90,0.2605490665905054,0.2023074154031725
TARGET_BASE_REMAINDER_HALF,2024+,31,0.1636912942060327,0.12866554692863022
TARGET_BASE_REMAINDER_HALF,ex_jan,83,0.26283132748778765,0.2022068328337663
TARGET_BASE_REMAINDER_HALF,flash2025+,19,0.11094471627192555,0.09752632968102035
TARGET_BASE_REMAINDER_HALF,big,23,0.32235077678758034,0.2825738491661006
TARGET_BASE_REMAINDER_HALF,big_up,13,0.3466319034789806,0.3069558846243851
TARGET_BASE_REMAINDER_HALF,big_down,10,0.2877382041326458,0.25087720307033073
TARGET_MACRO_REMAINDER,all,90,0.24453150858470438,0.18805934061051852
TARGET_MACRO_REMAINDER,2024+,31,0.14611303263549869,0.11880977461735777
TARGET_MACRO_REMAINDER,ex_jan,83,0.24249772305386585,0.18486319037439233
TARGET_MACRO_REMAINDER,flash2025+,19,0.10093010240982835,0.09285961858904901
TARGET_MACRO_REMAINDER,big,23,0.30359919527606044,0.2628198753938875
TARGET_MACRO_REMAINDER,big_up,13,0.34544935128373605,0.3169716945747585
TARGET_MACRO_REMAINDER,big_down,10,0.23845513951928993,0.1924225104587552
TARGET_MACRO_REMAINDER_HALF,all,90,0.2572697408015082,0.2002831720501896
TARGET_MACRO_REMAINDER_HALF,2024+,31,0.15984640638992287,0.12533338355202955
TARGET_MACRO_REMAINDER_HALF,ex_jan,83,0.2600800163944164,0.20161829665316666
TARGET_MACRO_REMAINDER_HALF,flash2025+,19,0.10819234468441452,0.09569218069447553
TARGET_MACRO_REMAINDER_HALF,big,23,0.3138000858862024,0.27401590889456545
TARGET_MACRO_REMAINDER_HALF,big_up,13,0.33806618945426603,0.29739362210234516
TARGET_MACRO_REMAINDER_HALF,big_down,10,0.2791178299343601,0.24362488172445182
