period,as_of,model,block,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-02,2019-03-10 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.23458927986042552,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.01891539515681473,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,SHARED_OWN_CATEGORIES,catering,0.18228079713529766,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.27763633548496636,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,4.788215901419669,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.07208495233636834,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.032417653991481436,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.07069145108211038,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.3373598924245394,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.03882986703072436,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.20639328131663895,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.3717514138927407,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-6.825255754042785,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.04589513184436606,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.028783097291301615,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.03605717753663558,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.2153689166779003,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.33085166595045545,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,SHARED_OWN_CATEGORIES,catering,0.15961184749284218,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,SHARED_OWN_CATEGORIES,accommodation,1.0273562732330732,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-1.9602859921500255,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.1759020900826493,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.18662352707989985,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.19178196468836067,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.0002789679145338564,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.697314721475367,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,SHARED_OWN_CATEGORIES,catering,0.31823052720362,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.5817604542482753,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,0.5703968802686848,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
