model,frame,coverage,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
R9_BASE,all,own,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50,20,7,13,16,0.35,0.30434782608695654
R9_BASE,ex_jan,own,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46,17,5,12,14,0.29411764705882354,0.2631578947368421
R9_BASE,2024+,own,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20,4,2,2,3,0.5,0.4
R9_BASE,flash2025+,own,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12,1,0,1,1,0.0,0.0
R9_BASE,big,own,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17,7,7,0,16,1.0,0.30434782608695654
R9_BASE,big_ex_jan,own,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15,5,5,0,14,1.0,0.2631578947368421
R9_BASE,alerts,own,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14,20,7,13,0,0.35,1.0
R9_BASE,all,common,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50,20,7,13,16,0.35,0.30434782608695654
R9_BASE,ex_jan,common,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46,17,5,12,14,0.29411764705882354,0.2631578947368421
R9_BASE,2024+,common,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20,4,2,2,3,0.5,0.4
R9_BASE,flash2025+,common,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12,1,0,1,1,0.0,0.0
R9_BASE,big,common,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17,7,7,0,16,1.0,0.30434782608695654
R9_BASE,big_ex_jan,common,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15,5,5,0,14,1.0,0.2631578947368421
R9_BASE,alerts,common,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14,20,7,13,0,0.35,1.0
R9_HALF,all,own,90,0.41369643830575464,0.26437319954197214,-0.015502383955060336,-0.011039866208638819,-0.9935879587774937,43,10,11,48,22,7,15,16,0.3181818181818182,0.30434782608695654
R9_HALF,ex_jan,own,83,0.3985028209280238,0.25081239794535004,0.01856297978737334,-0.006234084692338051,-0.5174290294640582,40,9,10,44,19,5,14,14,0.2631578947368421,0.2631578947368421
R9_HALF,2024+,own,31,0.2195880711904428,0.16785552729960732,-0.004092841621496898,0.019241246893940994,0.5964786537121708,18,3,1,19,5,2,3,3,0.4,0.4
R9_HALF,flash2025+,own,19,0.16560096093755453,0.13375320629227996,0.032267453772336495,0.024141530549825287,0.45868908044668044,12,2,0,12,2,0,2,1,0.0,0.0
R9_HALF,big,own,23,0.6833130723904106,0.479371431160143,-0.010226492368174326,0.09888943840507443,2.2744570833167117,15,7,1,16,7,7,0,16,1.0,0.30434782608695654
R9_HALF,big_ex_jan,own,19,0.7201400489073938,0.49466312228371356,0.07113248514835277,0.10007371982154964,1.9014006766094431,14,6,1,14,5,5,0,14,1.0,0.2631578947368421
R9_HALF,alerts,own,22,0.6693338518992189,0.40368863384598686,0.03883925620934245,-0.04914317930053229,-1.0811499446117103,10,8,9,15,22,7,15,0,0.3181818181818182,1.0
R9_HALF,all,common,90,0.41369643830575464,0.26437319954197214,-0.015502383955060336,-0.011039866208638819,-0.9935879587774937,43,10,11,48,22,7,15,16,0.3181818181818182,0.30434782608695654
R9_HALF,ex_jan,common,83,0.3985028209280238,0.25081239794535004,0.01856297978737334,-0.006234084692338051,-0.5174290294640582,40,9,10,44,19,5,14,14,0.2631578947368421,0.2631578947368421
R9_HALF,2024+,common,31,0.2195880711904428,0.16785552729960732,-0.004092841621496898,0.019241246893940994,0.5964786537121708,18,3,1,19,5,2,3,3,0.4,0.4
R9_HALF,flash2025+,common,19,0.16560096093755453,0.13375320629227996,0.032267453772336495,0.024141530549825287,0.45868908044668044,12,2,0,12,2,0,2,1,0.0,0.0
R9_HALF,big,common,23,0.6833130723904106,0.479371431160143,-0.010226492368174326,0.09888943840507443,2.2744570833167117,15,7,1,16,7,7,0,16,1.0,0.30434782608695654
R9_HALF,big_ex_jan,common,19,0.7201400489073938,0.49466312228371356,0.07113248514835277,0.10007371982154964,1.9014006766094431,14,6,1,14,5,5,0,14,1.0,0.2631578947368421
R9_HALF,alerts,common,22,0.6693338518992189,0.40368863384598686,0.03883925620934245,-0.04914317930053229,-1.0811499446117103,10,8,9,15,22,7,15,0,0.3181818181818182,1.0
R9_FULL,all,own,90,0.4139308470027306,0.2696268338876435,-0.0057791311415491455,-0.016293500554310232,-1.466415049887921,42,13,14,47,23,7,16,16,0.30434782608695654,0.30434782608695654
R9_FULL,ex_jan,own,83,0.39844813883989944,0.25652947463390013,0.028074544632118198,-0.011951161380888116,-0.9919463946137136,38,12,12,42,20,5,15,14,0.25,0.2631578947368421
R9_FULL,2024+,own,31,0.22531658006178432,0.17263970528256048,-0.0023076859570927287,0.014457068910987983,0.4481691362406275,17,4,3,18,5,2,3,3,0.4,0.4
R9_FULL,flash2025+,own,19,0.1638271242938502,0.13239549655765354,0.0398422767095172,0.025499240284451725,0.48448556540458276,11,2,1,11,2,0,2,1,0.0,0.0
R9_FULL,big,own,23,0.6710742877935717,0.47606113106941467,0.0007855388815016216,0.1021997384958028,2.3505939854034645,16,9,2,17,7,7,0,16,1.0,0.30434782608695654
R9_FULL,big_ex_jan,own,19,0.7065802335235483,0.49063590002425816,0.08006482422848392,0.10410094208100498,1.9779178995390947,14,8,1,14,5,5,0,14,1.0,0.2631578947368421
R9_FULL,alerts,own,23,0.4184009317085991,0.3213253191257471,-0.048749773959070056,-0.056107927821399214,-1.2904823398921819,11,9,10,16,23,7,16,0,0.30434782608695654,1.0
R9_FULL,all,common,90,0.4139308470027306,0.2696268338876435,-0.0057791311415491455,-0.016293500554310232,-1.466415049887921,42,13,14,47,23,7,16,16,0.30434782608695654,0.30434782608695654
R9_FULL,ex_jan,common,83,0.39844813883989944,0.25652947463390013,0.028074544632118198,-0.011951161380888116,-0.9919463946137136,38,12,12,42,20,5,15,14,0.25,0.2631578947368421
R9_FULL,2024+,common,31,0.22531658006178432,0.17263970528256048,-0.0023076859570927287,0.014457068910987983,0.4481691362406275,17,4,3,18,5,2,3,3,0.4,0.4
