model,frame,n,core_rmse,core_mae,reference_core_rmse,reference_core_mae
NO_PROXY,all,90,0.2968379721727319,0.23962875043560802,0.2997166455678414,0.2408643018849658
NO_PROXY,2024+,31,0.18921239796904973,0.1484383395217229,0.19013957694935202,0.1491075961606604
NO_PROXY,ex_jan,83,0.2957968342447827,0.23811005612741298,0.2985139167530689,0.23907950927597973
NO_PROXY,big,23,0.38654865008078615,0.3427701502293747,0.38884796122333637,0.34604939749480323
OFFICIAL_PREDICTORS,all,90,0.3099405323684202,0.24989785714541712,0.2997166455678414,0.2408643018849658
OFFICIAL_PREDICTORS,2024+,31,0.19082726886924523,0.1488691401057576,0.19013957694935202,0.1491075961606604
OFFICIAL_PREDICTORS,ex_jan,83,0.31235761590657135,0.2511500067123865,0.2985139167530689,0.23907950927597973
OFFICIAL_PREDICTORS,big,23,0.41594675073225534,0.36542152242032006,0.38884796122333637,0.34604939749480323
BROAD_SPLIT,all,90,0.32157663802982606,0.23547249087119432,0.2997166455678414,0.2408643018849658
BROAD_SPLIT,2024+,31,0.26388824370118885,0.18199962121864086,0.19013957694935202,0.1491075961606604
BROAD_SPLIT,ex_jan,83,0.3132338206475741,0.22839767164504474,0.2985139167530689,0.23907950927597973
BROAD_SPLIT,big,23,0.4704594131606076,0.3836858625034005,0.38884796122333637,0.34604939749480323
BROAD_AGG_CONTROL,all,90,0.3063757765691271,0.22845521507179373,0.2997166455678414,0.2408643018849658
BROAD_AGG_CONTROL,2024+,31,0.23419335532515115,0.16733936852360842,0.19013957694935202,0.1491075961606604
BROAD_AGG_CONTROL,ex_jan,83,0.3018925885633961,0.22199615514067544,0.2985139167530689,0.23907950927597973
BROAD_AGG_CONTROL,big,23,0.43515495012115774,0.3381471736580948,0.38884796122333637,0.34604939749480323
AGG_COMMON,all,90,0.3004675233197331,0.23280717804585171,0.2997166455678414,0.2408643018849658
AGG_COMMON,2024+,31,0.17541055587822324,0.13508942979266625,0.19013957694935202,0.1491075961606604
AGG_COMMON,ex_jan,83,0.30489622959200813,0.23607432016670626,0.2985139167530689,0.23907950927597973
AGG_COMMON,big,23,0.40277614216993934,0.34202951280691374,0.38884796122333637,0.34604939749480323
TARGET_SHARED,all,90,0.3004675233197331,0.23280717804585166,0.2997166455678414,0.2408643018849658
TARGET_SHARED,2024+,31,0.17541055587822327,0.13508942979266625,0.19013957694935202,0.1491075961606604
TARGET_SHARED,ex_jan,83,0.30489622959200813,0.23607432016670615,0.2985139167530689,0.23907950927597973
TARGET_SHARED,big,23,0.40277614216993923,0.3420295128069137,0.38884796122333637,0.34604939749480323
TARGET_OWN,all,90,0.2464553931548572,0.18286906332525485,0.2997166455678414,0.2408643018849658
TARGET_OWN,2024+,31,0.1416059775208875,0.11462901626842571,0.19013957694935202,0.1491075961606604
TARGET_OWN,ex_jan,83,0.2353466889259219,0.17501022213851333,0.2985139167530689,0.23907950927597973
TARGET_OWN,big,23,0.359686149974295,0.30450691533791285,0.38884796122333637,0.34604939749480323
TARGET_CHANNEL,all,90,0.24453322418151135,0.18993359631709744,0.2997166455678414,0.2408643018849658
TARGET_CHANNEL,2024+,31,0.15097824289420333,0.12095486073416041,0.19013957694935202,0.1491075961606604
TARGET_CHANNEL,ex_jan,83,0.2423582435340372,0.18673788997956767,0.2985139167530689,0.23907950927597973
TARGET_CHANNEL,big,23,0.3041468292756585,0.2672550773333423,0.38884796122333637,0.34604939749480323
