source,target_month,assumed_available_from,timezone,status
CNB_core,2007-01,2007-02-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-02,2007-03-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-03,2007-04-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-04,2007-05-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-05,2007-06-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-06,2007-07-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-07,2007-08-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-08,2007-09-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-09,2007-10-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-10,2007-11-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-11,2007-12-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2007-12,2008-01-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-01,2008-02-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-02,2008-03-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-03,2008-04-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-04,2008-05-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-05,2008-06-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-06,2008-07-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-07,2008-08-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-08,2008-09-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-09,2008-10-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-10,2008-11-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-11,2008-12-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2008-12,2009-01-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-01,2009-02-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-02,2009-03-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-03,2009-04-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-04,2009-05-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-05,2009-06-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-06,2009-07-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-07,2009-08-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-08,2009-09-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-09,2009-10-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-10,2009-11-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-11,2009-12-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2009-12,2010-01-20 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-01,2010-02-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-02,2010-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-03,2010-04-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-04,2010-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-05,2010-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-06,2010-07-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-07,2010-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-08,2010-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-09,2010-10-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-10,2010-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-11,2010-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2010-12,2011-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-01,2011-02-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-02,2011-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-03,2011-04-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-04,2011-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-05,2011-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-06,2011-07-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-07,2011-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-08,2011-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-09,2011-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-10,2011-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-11,2011-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-12,2012-01-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-01,2012-02-16 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-02,2012-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-03,2012-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-04,2012-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-05,2012-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-06,2012-07-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-07,2012-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-08,2012-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
