model,split,n,core_mae,core_rmse,core_bias,headline_mae,headline_rmse,headline_bias
a0.3_w60,all,90,0.2468457352261824,0.3336156063289384,0.027766436242656217,0.27284238324184423,0.43106459418446746,-0.01296117580485796
a0.3_w60,ex-January,83,0.22999701907816045,0.2935458370188488,0.00768043880060645,0.2516526818061333,0.4038767074818924,0.0018803418630406485
a0.3_w60,2024+,31,0.1900296845803032,0.2349448913694006,0.0525995553488816,0.16870380874678773,0.21740785486121916,0.030245062983012133
a0.3_w60,2025+ flash era,19,0.14652188889263398,0.16605182250697426,0.05177812715866495,0.1323500375349309,0.18047699830634248,0.07222173635675991
a0.3_w120,all,90,0.2559205111596767,0.35751502733366747,0.05334582066623741,0.276844280536371,0.43786239746107425,0.0013899775483960967
a0.3_w120,ex-January,83,0.24040458569650325,0.31094596400729585,0.03777564147446238,0.2523756373416576,0.40724093166045783,0.01863616156343553
a0.3_w120,2024+,31,0.14420941136105728,0.18559739719717044,0.009438244140942109,0.16231440907516134,0.21490655203869286,0.00744035636871595
a0.3_w120,2025+ flash era,19,0.10664648324302613,0.11941202935070144,-0.0027590937329005083,0.13017657140259212,0.16689637717022904,0.043218146178806614
a0.3_wexpanding,all,90,0.24045512342218175,0.29729278702866496,0.00691743088754281,0.2613534581219182,0.41643201941572305,-0.024411182794524495
a0.3_wexpanding,ex-January,83,0.23884514537494303,0.2968283423709041,0.020234338673662495,0.24789578141766666,0.40236414829644807,0.009029577371073507
a0.3_wexpanding,2024+,31,0.1512484197560471,0.19178133794680588,-0.014235051588426658,0.1678280995374843,0.2173755249397731,-0.005112247351546548
a0.3_wexpanding,2025+ flash era,19,0.11700827202974544,0.1305461638885181,-0.03479081608373737,0.13793483090345723,0.17214195849245686,0.02610735880464998
a3_w60,all,90,0.23060768178847582,0.2945332444730298,0.0226807926970247,0.2636544782647703,0.4180431782423208,-0.01600173278694745
a3_w60,ex-January,83,0.2329666349187476,0.2989016058832778,0.029778925418690545,0.2502254325163656,0.4060217652698772,0.013972355715708457
a3_w60,2024+,31,0.16265720650694143,0.20130511740151594,0.048436907322299314,0.17134315023223606,0.22381413835303596,0.02795250656802849
a3_w60,2025+ flash era,19,0.1284705404067209,0.1466191457174404,0.04211016939453348,0.13513473705198353,0.17668300479793952,0.06709695284393602
a3_w120,all,90,0.24027576599458442,0.3061137902811067,0.03782715897911129,0.2663097435776098,0.41848938888470016,-0.007370954636445391
a3_w120,ex-January,83,0.24113195014072802,0.3088014535754789,0.04073454299439432,0.24927915643380583,0.40479543296672477,0.020223500464426582
a3_w120,2024+,31,0.13760781754545523,0.18065501429424613,0.011063344328286338,0.16464297035853642,0.21886561287917536,0.008280656775081798
a3_w120,2025+ flash era,19,0.10228233808742844,0.11731771248301755,-0.0037569661001006635,0.13194929053056598,0.16846251479878988,0.042710284044776024
a3_wexpanding,all,90,0.2408643018849658,0.2997166455678414,0.005417016986217441,0.2625157341641442,0.41795154739724044,-0.025225636768571535
a3_wexpanding,ex-January,83,0.23907950927597973,0.2985139167530689,0.020270667907208842,0.24825110030558287,0.4033326092057299,0.00905141494262845
a3_wexpanding,2024+,31,0.1491075961606604,0.19013957694935202,-0.015665385437057477,0.1690393240182862,0.21897776134072022,-0.005877997285901108
a3_wexpanding,2025+ flash era,19,0.11658015571665543,0.1320174803970443,-0.03747867065454178,0.13929634726858153,0.17300164605167864,0.02469263083515578
a30_w60,all,90,0.2576144463702562,0.33118828272886236,0.02153472673541856,0.27406513439434604,0.4269790246598583,-0.017151417716035056
a30_w60,ex-January,83,0.25315514430675795,0.32476913524138357,0.043895572944634774,0.2573791183760392,0.4118208073289717,0.021202020190804
a30_w60,2024+,31,0.17169598357035612,0.21744607347671507,0.07608353969154459,0.18573356146927417,0.23905166896620494,0.0426392630921486
a30_w60,2025+ flash era,19,0.1269164258914858,0.1665592536872335,0.037783310413833815,0.14930915747010898,0.1864597691818333,0.0647118762119504
a30_w120,all,90,0.25113513607833904,0.3238654840604818,0.014275851147222251,0.2700999972169656,0.42357498511961345,-0.020718126055688884
a30_w120,ex-January,83,0.2448751800988262,0.31572658033162454,0.03581143567254674,0.2532058880392422,0.4089358075172405,0.017208189123587875
a30_w120,2024+,31,0.14055531529520873,0.1874170568667535,0.028259690175946147,0.17461329754277893,0.2311934302172035,0.017369437860427193
a30_w120,2025+ flash era,19,0.1041640834166465,0.13226964672501826,-0.00019054269000877641,0.13916211822515623,0.1768309723688316,0.044601696183956895
a30_wexpanding,all,90,0.2469481254143534,0.3120249412940753,-0.013566238097177788,0.26698951004810356,0.4237466018410006,-0.03569473729181352
a30_wexpanding,ex-January,83,0.24201640249827322,0.30579046561062806,0.00705257476619731,0.2490843470471767,0.40627949412438735,0.0017172137728968073
a30_wexpanding,2024+,31,0.14737093820446057,0.18983975332967853,-0.023408209789239028,0.17502581852122506,0.2260281024501887,-0.010014096524787184
a30_wexpanding,2025+ flash era,19,0.126508428745703,0.14722761215115102,-0.05337942498766752,0.1467120600676379,0.1773703028200673,0.016273999368012458
a300_w60,all,90,0.3452022082084255,0.4423051423378632,-0.021239973971637394,0.31701319005469564,0.45158869154482795,-0.04221857526485806
a300_w60,ex-January,83,0.34355595249840304,0.4359054514249701,0.00271347826441827,0.3009964353623488,0.4323249959450474,-0.0030263711324045976
a300_w60,2024+,31,0.2715877679674647,0.3538638262590032,0.1742265882146004,0.232138565436218,0.2787451375265183,0.09487064270759558
a300_w60,2025+ flash era,19,0.21643315275965405,0.303129848393433,0.12261372326296698,0.1930076407587671,0.24173735845778763,0.10962730886753344
a300_w120,all,90,0.30203361234753207,0.40152353299824767,-0.08003807788245582,0.3040031280140994,0.4442155629666847,-0.07361230127787674
a300_w120,ex-January,83,0.29570367974251266,0.3920621226450441,-0.05665488750786152,0.2845571043523347,0.42216520525847323,-0.03473572596365949
a300_w120,2024+,31,0.19709893120578972,0.27664055892341227,0.058298983682424414,0.20694861210378476,0.2550711940740579,0.03322629020017635
a300_w120,2025+ flash era,19,0.15756489782787406,0.23344484795880857,0.017907395450401185,0.17045685850091485,0.20856588147652477,0.05399758616567733
a300_wexpanding,all,90,0.2850599178961255,0.38662411692136367,-0.12193038441394606,0.29757736056610284,0.44269515626846273,-0.09596066469311727
a300_wexpanding,ex-January,83,0.27314678399998815,0.3695088145187444,-0.09625933805545629,0.27443069645000023,0.417006483213088,-0.05581018285278692
a300_wexpanding,2024+,31,0.17958700070170688,0.24900749474271694,-0.04230508228204611,0.19362533672754784,0.24430292066175024,-0.020222521813670496
a300_wexpanding,2025+ flash era,19,0.1735517824931677,0.22354397727314826,-0.08597224027395288,0.1653650411379243,0.19461204932773582,-0.0012358775804551744
default,all,90,0.2408643018849658,0.2997166455678414,0.005417016986217441,0.2625157341641442,0.41795154739724044,-0.025225636768571535
default,ex-January,83,0.23907950927597973,0.2985139167530689,0.020270667907208842,0.24825110030558287,0.4033326092057299,0.00905141494262845
default,2024+,31,0.1491075961606604,0.19013957694935202,-0.015665385437057477,0.1690393240182862,0.21897776134072022,-0.005877997285901108
default,2025+ flash era,19,0.11658015571665543,0.1320174803970443,-0.03747867065454178,0.13929634726858153,0.17300164605167864,0.02469263083515578
selected,all,90,0.24743182298442948,0.3120354595953119,0.02642916843120375,0.27066071232451916,0.4194494833380648,-0.013449116708630443
selected,ex-January,83,0.24958349437096047,0.31626515796452964,0.027692837864502707,0.2543560488919391,0.4048262634687415,0.013273747774066712
selected,2024+,31,0.15732920356212549,0.2010087939601156,0.01706863845345265,0.1655970667595156,0.2137404508345058,0.011668978434880432
selected,2025+ flash era,19,0.14069280575122914,0.1651106920680227,0.009838157949960048,0.13852995180272035,0.17568871497636165,0.049989916902518444
