,szif_mm_A,szif_mm_B,weeks_used_A,weeks_used_B,weeks_month
2007-01,-2.1621838135159996,-2.1621838135159996,4,4,4
2007-02,-2.433574134670676,-2.3481754908971673,4,4,4
2007-03,0.8863771444782308,0.4258973277830059,4,5,5
2007-04,1.8818197562745649,2.1157594368551913,3,4,4
2007-05,0.6510680615429799,0.8745302154996814,4,5,5
2007-06,2.6001186115767774,3.1105963431409003,3,4,4
2007-07,2.026038287675193,2.8308476266445997,3,4,4
2007-08,5.065981297797333,5.153983979780554,4,5,5
2007-09,-0.6866479086503929,-0.8891961068858754,3,4,4
2007-10,-0.19833156656645615,-0.19833156656645615,4,4,4
2007-11,-3.2405955233015074,-3.4615633717011423,4,5,5
2007-12,1.2720625967799195,1.9968487072594006,2,4,4
2008-01,-6.055152294666159,-6.297426492451979,4,5,5
2008-02,-3.28818571153893,-3.4493404777473042,3,4,4
2008-03,1.2187562260737017,2.110637030152789,3,4,4
2008-04,1.1573689951573523,1.1573689951573523,4,4,4
2008-05,0.3763743006104332,0.5471253137305846,4,5,5
2008-06,3.5668063490038353,3.692312157431081,3,4,4
2008-07,-3.328909914841359,-3.75370645061737,4,5,5
2008-08,3.3326840740458863,3.664343113159624,3,4,4
2008-09,-2.2474581314050983,-2.532071203566445,3,4,4
2008-10,-1.228233715318865,-1.5392211107928195,4,5,5
2008-11,-2.76573154475612,-3.665131922972367,3,4,4
2008-12,-1.0764346787462937,-0.536303937735442,3,4,4
2009-01,-0.5959263713087637,-0.3064128648002928,4,5,5
2009-02,3.091438624962603,1.8783802334168378,3,4,4
2009-03,1.5373715882894166,2.17489766521048,3,4,4
2009-04,0.6167209696367199,0.8025191899093542,4,5,5
2009-05,-2.4163910166113767,-2.4513934111276865,3,4,4
2009-06,1.9044794539886525,2.050249479331564,3,4,4
2009-07,-0.8751618880657039,-0.9218128245600591,4,5,5
2009-08,2.9909538170552827,2.8023432421972907,3,4,4
2009-09,-5.209526578740851,-5.209526578740851,4,4,4
2009-10,-0.16742507452696268,-0.4159211940168106,4,5,5
2009-11,-2.140018183514114,-1.4810503615209967,3,4,4
2009-12,0.3648642259763453,1.0581516240504938,3,5,5
2010-01,-0.3056304528848841,0.007392551195870567,3,4,4
2010-02,-0.3717754454897775,-0.34211103900489487,3,4,4
2010-03,0.5446140021788616,0.5446140021788616,4,4,4
2010-04,-0.45080758522424386,-0.301442115293374,4,5,5
2010-05,3.011408880196997,3.1744445782998354,3,4,4
2010-06,2.9492234384297333,2.9492234384297333,4,4,4
2010-07,2.4930643357573365,1.8091819539125116,4,5,5
2010-08,-1.461695432387885,-1.9140675136378882,3,4,4
2010-09,0.34877404430934994,0.2472242998108755,4,5,5
2010-10,-2.105012645279898,-2.156475496023648,3,4,4
2010-11,-1.015218528165206,-0.9947087405906845,3,4,4
2010-12,1.8939396651176608,2.2219333084876975,4,5,5
2011-01,1.0952244139752665,0.7876341984382013,3,4,4
2011-02,-0.33127790170806765,0.10333288481321053,3,4,4
2011-03,1.5367944542619345,1.7126741857320364,4,5,5
2011-04,1.5028383055744892,1.6858013778100656,3,4,4
2011-05,1.818690071550573,1.495735129876717,3,4,4
2011-06,-1.417905440295269,-2.429139919063843,4,5,5
2011-07,0.9999052194136562,1.1259749672533756,3,4,4
2011-08,-0.6454979733458938,-0.6792450383961007,4,4,4
2011-09,0.24840776127351916,0.39349462496621773,4,5,5
2011-10,0.8127778665170856,1.2765387029266821,3,4,4
2011-11,3.2088340408034295,3.2088340408034295,4,4,4
2011-12,2.2266106542493422,2.4559846635318254,3,5,5
2012-01,-0.7708024845567212,-1.1382083132272076,3,4,4
2012-02,-0.5174204154493248,-0.1765044301626754,4,4,4
2012-03,-0.14866500329394108,-0.3104970356278554,4,5,5
2012-04,1.5528087763844667,1.3627105169924352,3,4,4
2012-05,-2.2795543093187476,-2.213252946011911,4,5,5
2012-06,-0.8408661996462522,-0.12012319239313267,3,4,4
2012-07,1.2075229057761245,1.0687565154685192,3,4,4
2012-08,0.9550900879122537,0.6301797680621016,4,5,5
2012-09,4.102903177680493,4.286936019242755,3,4,4
2012-10,0.3358088208330419,0.6487899555208188,4,4,4
2012-11,2.033656697171473,1.9784713690872895,4,5,5
2012-12,-1.148430808351502,-1.9317646864816183,2,4,4
2013-01,-2.113889743222137,-2.1750557333005696,4,5,5
2013-02,-0.4087965381432331,-0.5544391670311476,3,4,4
2013-03,-1.1484137896648425,-0.971546574494858,3,4,4
2013-04,2.6150927398666153,3.0087351295728957,3,4,4
2013-05,-1.4431325176090464,-1.5045185356804442,4,5,5
2013-06,2.3570975060134023,2.4118541458835097,3,4,4
2013-07,1.5304420885309256,1.0060445696174172,4,4,4
2013-08,1.0456789076823527,1.1706023298686021,4,5,5
2013-09,3.693918582112899,3.02089119267117,3,4,4
2013-10,-2.1528493901233268,-2.2111293119929423,4,5,5
2013-11,-0.3929758736650946,-0.16304294876009498,3,4,4
2013-12,0.1476911850032773,0.08832488071817979,3,4,4
2014-01,-1.7311584409179066,-1.8768882073306712,4,5,5
2014-02,0.5051386748301053,0.06779103117200365,3,4,4
