period,exp12,exp36,household_exp,esi,eurczk_mm,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,exp12_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
2007-01,3.0583333333333336,2.583333333333333,28.2,115.6,0.24480685459191687,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02,3.03,2.56,21.9,117.2,1.3862452864068953,,0.3,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03,3.1846153846153844,2.533333333333333,23.0,115.3,-0.6234281463639357,,0.2,0.3,,0.0,-0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04,3.1,2.516666666666667,47.1,115.1,-0.13188379967919994,,0.0,0.2,,0.0,-0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,3.161538461538462,2.5083333333333333,43.1,117.5,0.7566564351488392,,0.1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,3.2181818181818183,2.46,34.1,116.2,1.1158342189160564,,0.1,0.1,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07,3.091666666666667,2.458333333333333,41.0,114.4,-0.6971448589945806,,0.1,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-08,3.641666666666667,2.525,49.5,115.5,-1.721583292175266,,0.4,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-09,4.18,2.45,53.7,114.8,-1.0230454447555437,,0.1,0.4,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-10,4.34,2.48,47.2,116.2,-0.8921771298008863,,-0.6,0.1,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-11,4.316666666666666,2.5916666666666663,60.1,115.5,-2.1809931569510055,,0.2,-0.6,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-12,4.516666666666667,2.6833333333333336,59.4,112.5,-1.5525045826942585,,0.0,0.2,,1.0,-1.5525045826942585,4.516666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-01,3.7454545454545456,2.8,38.1,114.6,-1.0069919440644504,,0.2,0.0,0.3,1.0,-1.0069919440644504,3.7454545454545456,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02,3.427272727272728,2.6272727272727274,36.9,115.2,-2.591071360024555,,0.6,0.2,0.2,1.0,-2.591071360024555,3.427272727272728,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03,3.2181818181818183,2.6090909090909093,32.1,113.5,-0.6147540983606703,,0.6,0.6,0.0,1.0,-0.6147540983606703,3.2181818181818183,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04,3.027272727272728,2.5727272727272723,32.0,112.3,-0.606661379857254,,0.1,0.6,0.1,1.0,-0.606661379857254,3.027272727272728,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05,3.109090909090909,2.609090909090909,31.6,109.4,0.12366856823711192,,0.2,0.1,0.1,1.0,0.12366856823711192,3.109090909090909,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06,3.166666666666666,2.658333333333333,34.2,105.4,-3.1237548808670024,,0.1,0.2,0.1,1.0,-3.1237548808670024,3.166666666666666,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07,3.063636363636364,2.5727272727272728,37.2,106.0,-3.228592580406353,,0.1,0.1,0.4,1.0,-3.228592580406353,3.063636363636364,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-08,2.9875,2.6,32.7,103.6,3.217306302860301,,0.5,0.1,0.1,1.0,3.217306302860301,2.9875,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008-09,2.775,2.5625,22.7,100.6,0.8688133080787308,,0.2,0.5,-0.6,1.0,0.8688133080787308,2.775,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-10,2.511111111111111,2.533333333333333,27.9,95.3,1.1838184267461305,,-0.6,0.2,0.2,1.0,1.1838184267461305,2.511111111111111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-11,2.355555555555556,2.488888888888889,17.4,90.5,1.5976116512688154,,-0.3,-0.6,0.0,1.0,1.5976116512688154,2.355555555555556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2008-12,2.16,2.47,11.5,77.4,3.665170948655838,,-0.2,-0.3,0.2,1.0,3.665170948655838,2.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-01,2.07,2.35,0.8,77.6,4.071860874894662,,-0.1,-0.2,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02,1.95,2.433333333333333,-6.1,70.0,4.725974456181681,,0.2,-0.1,0.6,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03,1.88,2.48,1.0,72.7,-4.301831089867503,,0.1,0.2,0.1,0.0,-0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04,1.8636363636363635,2.4090909090909087,5.7,79.9,-1.722428293363687,,0.0,0.1,0.2,0.0,-0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05,1.89,2.5,-0.7,81.8,-0.082212257100156,,0.1,0.0,0.1,0.0,-0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06,1.7909090909090908,2.509090909090909,-3.0,81.8,-0.7218191338170366,,0.0,0.1,0.1,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07,1.9222222222222225,2.6333333333333337,5.3,85.3,-2.8555283480881655,,0.0,0.0,0.5,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-08,2.0428571428571427,2.7142857142857144,-2.4,82.6,-0.593322216620773,,0.2,0.0,0.2,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-09,1.8375,2.5,3.5,81.8,-1.0805960833268347,,0.1,0.2,-0.6,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-10,2.455555555555556,2.522222222222222,0.9,81.8,1.8890247268998683,,-0.6,0.1,-0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-11,2.48,2.52,-2.1,86.1,-0.10837590958352461,,0.0,-0.6,-0.2,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-12,2.488888888888889,2.6222222222222222,-0.9,87.9,1.03843769373837,,-0.1,0.0,-0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-01,2.209090909090909,2.636363636363636,17.4,89.0,0.23009664058903923,,-0.1,-0.1,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02,2.28,2.6666666666666665,15.6,90.7,-0.6121824303642498,,-0.5,-0.1,0.1,0.0,-0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03,2.13,2.522222222222222,7.1,89.8,-1.6784724360948577,,-0.1,-0.5,0.0,0.0,-0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
