month,actual_rent
2015-01,99.700000000000003
2015-02,99.900000000000006
2015-03,99.900000000000006
2015-04,100.09999999999999
2015-05,100
2015-06,100
2015-07,99.799999999999997
2015-08,99.799999999999997
2015-09,99.900000000000006
2015-10,100.09999999999999
2015-11,100.3
2015-12,100.5
2016-01,100.7
2016-02,100.59999999999999
2016-03,100.8
2016-04,100.90000000000001
2016-05,100.90000000000001
2016-06,100.90000000000001
2016-07,101.09999999999999
2016-08,101.5
2016-09,101.5
2016-10,101.59999999999999
2016-11,101.8
2016-12,101.8
2017-01,102.40000000000001
2017-02,102.59999999999999
2017-03,102.8
2017-04,103
2017-05,103.09999999999999
2017-06,103.09999999999999
2017-07,103.40000000000001
2017-08,103.5
2017-09,103.8
2017-10,104
2017-11,104.2
2017-12,104.40000000000001
2018-01,104.59999999999999
2018-02,105
2018-03,105.3
2018-04,105.7
2018-05,106.09999999999999
2018-06,106.3
2018-07,106.7
2018-08,107.09999999999999
2018-09,107.40000000000001
2018-10,107.5
2018-11,107.59999999999999
2018-12,107.8
2019-01,108.59999999999999
2019-02,109
2019-03,109.09999999999999
2019-04,109.2
2019-05,109.59999999999999
2019-06,110.40000000000001
2019-07,111
2019-08,111.3
2019-09,111.5
2019-10,111.59999999999999
2019-11,111.7
2019-12,111.8
2020-01,113.2
2020-02,113.7
2020-03,113.7
2020-04,113.90000000000001
2020-05,113.8
2020-06,113.8
2020-07,114.09999999999999
2020-08,114.2
2020-09,113.7
2020-10,113.8
2020-11,113.90000000000001
2020-12,114
2021-01,114.7
2021-02,115
2021-03,115.2
2021-04,115.59999999999999
2021-05,115.90000000000001
2021-06,116.2
2021-07,116.90000000000001
2021-08,117.09999999999999
2021-09,117.40000000000001
2021-10,117.8
2021-11,118.09999999999999
2021-12,118.5
2022-01,119.59999999999999
2022-02,120
2022-03,120.3
2022-04,120.8
2022-05,121.40000000000001
2022-06,121.59999999999999
2022-07,122.59999999999999
2022-08,123.09999999999999
2022-09,123.5
2022-10,124.2
2022-11,125
2022-12,125.5
2023-01,126.90000000000001
2023-02,127.8
2023-03,128.40000000000001
2023-04,129.09999999999999
2023-05,129.69999999999999
2023-06,130
2023-07,131.90000000000001
2023-08,132.5
2023-09,133.19999999999999
2023-10,134
2023-11,134.30000000000001
2023-12,134.59999999999999
2024-01,135.80000000000001
2024-02,136.5
2024-03,137.5
2024-04,138.40000000000001
2024-05,139
2024-06,139.09999999999999
2024-07,140.90000000000001
2024-08,141.30000000000001
2024-09,141.69999999999999
2024-10,142.30000000000001
2024-11,142.69999999999999
2024-12,143
2025-01,144.80000000000001
2025-02,145.59999999999999
2025-03,146.09999999999999
2025-04,146.5
2025-05,146.90000000000001
2025-06,147.90000000000001
2025-07,148.80000000000001
2025-08,149.40000000000001
2025-09,149.80000000000001
2025-10,150.59999999999999
2025-11,151.5
2025-12,152.19999999999999
2026-01,153.80000000000001
2026-02,154.59999999999999
2026-03,155.09999999999999
2026-04,155.59999999999999
2026-05,156.40000000000001
2026-06,156.59999999999999
2026-07,157.90000000000001
2026-08,158.40000000000001
