month,musical_instruments_media
2015-01,99.599999999999994
2015-02,99.400000000000006
2015-03,99.5
2015-04,99.799999999999997
2015-05,100
2015-06,99.400000000000006
2015-07,99.099999999999994
2015-08,99.5
2015-09,99.5
2015-10,100.3
2015-11,101.3
2015-12,102.59999999999999
2016-01,102.8
2016-02,102.5
2016-03,102.3
2016-04,102.8
2016-05,103
2016-06,103.59999999999999
2016-07,102.7
2016-08,102.7
2016-09,102.90000000000001
2016-10,103.8
2016-11,104
2016-12,104
2017-01,104.09999999999999
2017-02,102.7
2017-03,101.5
2017-04,101.3
2017-05,100.7
2017-06,100.3
2017-07,99.700000000000003
2017-08,99.299999999999997
2017-09,99.099999999999994
2017-10,99.099999999999994
2017-11,97.900000000000006
2017-12,98
2018-01,98.700000000000003
2018-02,98.099999999999994
2018-03,98.400000000000006
2018-04,98.299999999999997
2018-05,98.299999999999997
2018-06,98.200000000000003
2018-07,98.599999999999994
2018-08,97.799999999999997
2018-09,97.900000000000006
2018-10,98.900000000000006
2018-11,99.599999999999994
2018-12,99.099999999999994
2019-01,99.400000000000006
2019-02,100.3
2019-03,101.2
2019-04,100.8
2019-05,100.7
2019-06,100.8
2019-07,100.90000000000001
2019-08,100.59999999999999
2019-09,101
2019-10,101.3
2019-11,100.7
2019-12,100.7
2020-01,101.09999999999999
2020-02,100.59999999999999
2020-03,100.3
2020-04,99.599999999999994
2020-05,100.7
2020-06,101.2
2020-07,100.90000000000001
2020-08,101.09999999999999
2020-09,101.7
2020-10,102.09999999999999
2020-11,102.09999999999999
2020-12,103.2
2021-01,102.59999999999999
2021-02,102.09999999999999
2021-03,102.3
2021-04,102
2021-05,103.09999999999999
2021-06,102.90000000000001
2021-07,102.90000000000001
2021-08,103
2021-09,103.3
2021-10,103.90000000000001
2021-11,104.7
2021-12,104.59999999999999
2022-01,105.2
2022-02,105.7
2022-03,106.40000000000001
2022-04,108.40000000000001
2022-05,108.7
2022-06,109
2022-07,109.7
2022-08,110.5
2022-09,111.3
2022-10,111.8
2022-11,112.3
2022-12,112.90000000000001
2023-01,112.90000000000001
2023-02,113
2023-03,112.5
2023-04,112.59999999999999
2023-05,112.8
2023-06,112.8
2023-07,112.8
2023-08,112.8
2023-09,113.2
2023-10,113.59999999999999
2023-11,113.2
2023-12,113.40000000000001
2024-01,112.90000000000001
2024-02,112.90000000000001
2024-03,113.3
2024-04,113.59999999999999
2024-05,113.59999999999999
2024-06,114.59999999999999
2024-07,114.8
2024-08,115.5
2024-09,115.59999999999999
2024-10,115
2024-11,115.09999999999999
2024-12,114.40000000000001
2025-01,114.09999999999999
2025-02,114.2
2025-03,114.09999999999999
2025-04,113.90000000000001
2025-05,113.7
2025-06,113.7
2025-07,113.3
2025-08,113.3
2025-09,113.5
2025-10,113.7
2025-11,113.59999999999999
2025-12,114
2026-01,115.5
2026-02,114.7
2026-03,114.7
2026-04,114.40000000000001
2026-05,114.09999999999999
2026-06,113.7
2026-07,114.2
2026-08,114.2
