group,weight_permille
food,152.798467
nonalcoholic_beverages,15.785663999999999
alcoholic_beverages,36.718916
tobacco,46.151899
clothing,29.374478999999997
footwear,9.74317
actual_rent,34.497805
imputed_rent,119.295072
housing_maintenance,13.507671
water_housing_services,20.514267999999998
household_energy,81.99593899999999
furniture,18.492493
household_textiles,6.206557999999999
household_appliances,9.508924
tableware_utensils,3.824292
house_garden_tools,3.6953329999999998
household_goods_services,9.504327
vehicle_purchases,39.231811
vehicle_operation,49.972974
passenger_transport,8.087484
transport_postal_services,1.8378949999999998
ict_equipment,12.093774
ict_services,35.379689
recreation_durables,0.529366
other_recreation_goods,5.483502
garden_pets_goods,11.848125999999999
recreation_services,28.911613
musical_instruments_media,1.75929
cultural_services,5.338698
books_stationery,6.105766
package_holidays,18.543302
catering,60.074047
accommodation,8.090192
health,25.690503999999997
education,6.103596
insurance_financial_services,17.831659
personal_social_misc,45.471435
