edge,horizon,model,forecast,target_period,actual,convention,policy
2010-12,3,QRF_MEDIAN,0.2534854245880735,2011-03,0.1061571125265281,paper,full
2010-12,3,QRF_MEAN,0.3732444212906707,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW1,0.3034143718554283,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW2,0.2991511867898966,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW3,0.33655028321138947,2011-03,0.1061571125265281,paper,full
2010-12,3,LQR_ENSEMBLE,0.21446556828148441,2011-03,0.1061571125265281,paper,full
2010-12,6,QRF_MEDIAN,0.3329633740288606,2011-06,-0.1052631578947305,paper,full
2010-12,6,QRF_MEAN,0.49143893109577313,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW1,0.37008663443264717,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW2,0.36083059867523026,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW3,0.46367153489376695,2011-06,-0.1052631578947305,paper,full
2010-12,6,LQR_ENSEMBLE,0.27667189735717596,2011-06,-0.1052631578947305,paper,full
2010-12,9,QRF_MEDIAN,0.22777921741384816,2011-09,-0.2107481559536439,paper,full
2010-12,9,QRF_MEAN,0.28551121181754807,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW1,0.2309993785410267,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW2,0.23229166247007135,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW3,0.22766630187858558,2011-09,-0.2107481559536439,paper,full
2010-12,9,LQR_ENSEMBLE,0.18056736022129347,2011-09,-0.2107481559536439,paper,full
2010-12,12,QRF_MEDIAN,0.2155172413793149,2011-12,0.4197271773347388,paper,full
2010-12,12,QRF_MEAN,0.17064999605134099,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW1,0.13392083744256936,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW2,0.15704514920816148,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW3,0.10602715250191326,2011-12,0.4197271773347388,paper,full
2010-12,12,LQR_ENSEMBLE,0.3543035127557891,2011-12,0.4197271773347388,paper,full
