edge,horizon,n_train,n_features,seconds
2010-12,3,101,70,16.91210560000036
2010-12,6,98,70,18.439593799994327
2010-12,9,95,70,18.05748499999754
2010-12,12,92,70,16.929642100003548
2011-01,3,102,70,16.302188500005286
2011-01,6,99,70,16.27342279997538
2011-01,9,96,70,17.598093800013885
2011-01,12,93,70,18.272022799996193
2011-02,3,103,70,16.619942899997113
2011-02,6,100,70,15.508079499995802
2011-02,9,97,70,19.71983960000216
2011-02,12,94,70,20.283023299998604
2011-03,3,104,70,17.794766300008632
2011-03,6,101,70,19.40989300000365
2011-03,9,98,70,24.181004700018093
2011-03,12,95,70,18.509874700015644
2011-04,3,105,70,20.35395609997795
2011-04,6,102,70,17.391067099990323
2011-04,9,99,70,17.602163000003202
2011-04,12,96,70,20.50068219998502
2011-05,3,106,70,18.46342139999615
2011-05,6,103,70,18.11085319999256
2011-05,9,100,70,21.791365500015672
2011-05,12,97,70,16.793306500010658
2011-06,3,107,70,20.04506279999623
2011-06,6,104,70,22.50118360001943
2011-06,9,101,70,23.985003999987384
2011-06,12,98,70,22.083356999995885
2011-07,3,108,70,18.64184560001013
2011-07,6,105,70,22.71349620001274
2011-07,9,102,70,18.985984700004337
2011-07,12,99,70,19.030111300002318
2011-08,3,109,70,17.79637619998539
2011-08,6,106,70,17.02577619999647
2011-08,9,103,70,25.580066099995747
2011-08,12,100,70,19.884816200006753
2011-09,3,110,70,21.574969800014514
2011-09,6,107,70,24.07976230001077
2011-09,9,104,70,22.902912199991988
2011-09,12,101,70,22.574232399987523
2011-10,3,111,70,19.207332399993902
2011-10,6,108,70,23.19313410000177
2011-10,9,105,70,22.60116079999716
2011-10,12,102,70,22.759016600000905
2011-11,3,112,70,25.356048500019824
2011-11,6,109,70,22.282993500004523
2011-11,9,106,70,24.3389645999996
2011-11,12,103,70,24.485335100005614
2011-12,3,113,70,22.25791250000475
2011-12,6,110,70,22.59537199998158
2011-12,9,107,70,20.910160200000973
2011-12,12,104,70,20.239946100016823
2012-01,3,114,70,19.527703999978257
2012-01,6,111,70,19.633195900009014
2012-01,9,108,70,19.649623600009363
2012-01,12,105,70,16.554409000003943
2012-02,3,115,70,17.202430199977243
2012-02,6,112,70,18.36445090000052
2012-02,9,109,70,17.93946059999871
2012-02,12,106,70,16.898909700015793
2012-03,3,116,70,19.67282459998387
2012-03,6,113,70,17.207144199986942
2012-03,9,110,70,22.86397959999158
2012-03,12,107,70,19.285658499982674
2012-04,3,117,70,18.19352970001637
2012-04,6,114,70,17.10035899997456
2012-04,9,111,70,19.25031420000596
2012-04,12,108,70,17.577089900005376
2012-05,3,118,70,19.69680989999324
2012-05,6,115,70,17.59670220001135
2012-05,9,112,70,17.42546920001041
2012-05,12,109,70,18.896849499986274
2012-06,3,119,70,20.467627400008496
2012-06,6,116,70,19.127922899991972
2012-06,9,113,70,21.934446600003866
2012-06,12,110,70,19.298787400010042
2012-07,3,120,70,19.426296999998158
2012-07,6,117,70,17.44476929999655
2012-07,9,114,70,19.458920999983093
2012-07,12,111,70,18.070228399999905
2012-08,3,121,70,17.999325199984014
2012-08,6,118,70,20.485111400019377
2012-08,9,115,70,13.780682600016007
2012-08,12,112,70,21.992152399994666
2012-09,3,122,70,17.31040319998283
2012-09,6,119,70,14.944536000024527
2012-09,9,116,70,20.15550609998172
2012-09,12,113,70,17.630362600000808
2012-10,3,123,70,20.04471129999729
2012-10,6,120,70,16.95645090000471
2012-10,9,117,70,20.477885300002526
2012-10,12,114,70,19.029968999995617
2012-11,3,124,70,18.418284100014716
2012-11,6,121,70,15.832988200010732
2012-11,9,118,70,16.55290869998862
2012-11,12,115,70,19.41359049998573
2012-12,3,125,70,17.641433400014648
2012-12,6,122,70,16.994345699989935
2012-12,9,119,70,16.494877999997698
2012-12,12,116,70,18.894925200002035
2013-01,3,126,70,17.8396064999979
2013-01,6,123,70,14.362283900001785
2013-01,9,120,70,17.971564500010572
2013-01,12,117,70,17.492988399986643
2013-02,3,127,70,17.325543799990555
2013-02,6,124,70,15.567619199980982
2013-02,9,121,70,16.148322900000494
2013-02,12,118,70,17.94289380000555
2013-03,3,128,70,19.13387089999742
2013-03,6,125,70,16.570900500024436
2013-03,9,122,70,17.852339800010668
2013-03,12,119,70,15.355471199989552
2013-04,3,129,70,22.80131209999672
2013-04,6,126,70,15.851654900005087
2013-04,9,123,70,19.182578199979616
2013-04,12,120,70,18.482231299974956
2013-05,3,130,70,20.147698999993736
2013-05,6,127,70,15.383485900005326
2013-05,9,124,70,20.680853199999547
2013-05,12,121,70,21.112729200016474
2013-06,3,131,70,16.038165000005392
2013-06,6,128,70,15.924753100000089
2013-06,9,125,70,16.151833399984753
2013-06,12,122,70,18.844884599995567
2013-07,3,132,70,18.207382900000084
