edge,horizon,quantile,value
2010-12,3,0.05,-0.32617605131859573
2010-12,3,0.1,-0.2205071664829083
2010-12,3,0.25,0.0
2010-12,3,0.3333333333333333,0.1209189842805269
2010-12,3,0.5,0.2534854245880735
2010-12,3,0.6666666666666666,0.4314994606256617
2010-12,3,0.75,0.5052101291039279
2010-12,3,0.9,0.8641975308641969
2010-12,3,0.95,1.474201474201453
2010-12,6,0.05,-0.2447980416156681
2010-12,6,0.1,-0.2145922746781159
2010-12,6,0.25,0.0
2010-12,6,0.3333333333333333,0.1097694840834329
2010-12,6,0.5,0.25923536487839627
2010-12,6,0.6666666666666666,0.4543587550196675
2010-12,6,0.75,0.5494505494505475
2010-12,6,0.9,1.2035010940919078
2010-12,6,0.95,1.5599358403136625
2010-12,9,0.05,-0.3492433061699773
2010-12,9,0.1,-0.2447980416156681
2010-12,9,0.25,0.0
2010-12,9,0.3333333333333333,0.0
2010-12,9,0.5,0.1291989664082615
2010-12,9,0.6666666666666666,0.3329633740288606
2010-12,9,0.75,0.4424778761061843
2010-12,9,0.9,0.7537688442211143
2010-12,9,0.95,1.2035010940919078
2010-12,12,0.05,-0.7159904534606132
2010-12,12,0.1,-0.5482456140350922
2010-12,12,0.25,-0.10995302835804792
2010-12,12,0.3333333333333333,0.0
2010-12,12,0.5,0.2202643171806295
2010-12,12,0.6666666666666666,0.357995226730301
2010-12,12,0.75,0.4694835680751019
2010-12,12,0.9,0.7134363852556502
2010-12,12,0.95,0.8641975308641969
2011-01,3,0.05,-0.3208556149732589
2011-01,3,0.1,-0.1226993865030556
2011-01,3,0.25,0.0
2011-01,3,0.3333333333333333,0.2157502329916146
2011-01,3,0.5,0.3541912632821775
2011-01,3,0.6666666666666666,0.6417112299465177
2011-01,3,0.75,0.7537688442211143
2011-01,3,0.9,1.5469613259668558
2011-01,3,0.95,1.806451612903226
2011-01,6,0.05,-0.3492433061699773
2011-01,6,0.1,-0.246305418719217
2011-01,6,0.25,0.0
2011-01,6,0.3333333333333333,0.0
2011-01,6,0.5,0.2392344497607723
2011-01,6,0.6666666666666666,0.4981208371038836
2011-01,6,0.75,0.5581159494710886
2011-01,6,0.9,1.2035010940919078
2011-01,6,0.95,1.5469613259668558
2011-01,9,0.05,-0.39610568303033844
2011-01,9,0.1,-0.2447980416156681
2011-01,9,0.25,0.0
2011-01,9,0.3333333333333333,0.0
2011-01,9,0.5,0.2400991525912332
2011-01,9,0.6666666666666666,0.4314994606256617
2011-01,9,0.75,0.4842615012106588
2011-01,9,0.9,0.7134363852556502
2011-01,9,0.95,0.9661835748792312
2011-01,12,0.05,-0.3208556149732589
2011-01,12,0.1,-0.21463842355439075
2011-01,12,0.25,0.0
2011-01,12,0.3333333333333333,0.2493765586034868
2011-01,12,0.5,0.6417112299465177
2011-01,12,0.6666666666666666,0.9661835748792312
2011-01,12,0.75,1.2035010940919078
2011-01,12,0.9,1.806451612903226
2011-01,12,0.95,2.978235967926701
2011-02,3,0.05,-0.3208556149732589
2011-02,3,0.1,-0.2150537634408644
2011-02,3,0.25,0.0
2011-02,3,0.3333333333333333,0.1243781094527385
2011-02,3,0.5,0.3218884120171683
2011-02,3,0.6666666666666666,0.4664221102088709
2011-02,3,0.75,0.5215123859191539
2011-02,3,0.9,0.8641975308641969
2011-02,3,0.95,1.2035010940919078
2011-02,6,0.05,-0.388098318240615
2011-02,6,0.1,-0.2580645161290307
2011-02,6,0.25,0.0
2011-02,6,0.3333333333333333,0.0
2011-02,6,0.5,0.2392344497607723
2011-02,6,0.6666666666666666,0.4543587550196675
2011-02,6,0.75,0.5376344086021501
2011-02,6,0.9,1.2305711321028685
2011-02,6,0.95,1.8650408306543464
2011-02,9,0.05,-0.5482456140350922
2011-02,9,0.1,-0.2447980416156681
2011-02,9,0.25,0.0
2011-02,9,0.3333333333333333,0.1243781094527385
2011-02,9,0.5,0.2469135802469102
2011-02,9,0.6666666666666666,0.3768844221105683
2011-02,9,0.75,0.480769230769229
2011-02,9,0.9,0.6488837454774327
2011-02,9,0.95,0.9661835748792312
2011-02,12,0.05,-0.5482456140350922
2011-02,12,0.1,-0.3208556149732589
2011-02,12,0.25,0.0
2011-02,12,0.3333333333333333,0.0
2011-02,12,0.5,0.2176278563656097
2011-02,12,0.6666666666666666,0.3337041156840969
2011-02,12,0.75,0.4424778761061843
2011-02,12,0.9,0.7134363852556502
2011-02,12,0.95,0.9291521486643584
2011-03,3,0.05,-0.3512616603419975
2011-03,3,0.1,-0.2181740954353661
2011-03,3,0.25,0.0
2011-03,3,0.3333333333333333,0.1209189842805269
2011-03,3,0.5,0.3329633740288606
2011-03,3,0.6666666666666666,0.4694835680751019
2011-03,3,0.75,0.5056890012642201
2011-03,3,0.9,0.7134363852556502
2011-03,3,0.95,0.9291521486643584
2011-03,6,0.05,-0.3492433061699773
2011-03,6,0.1,-0.2181740954353661
2011-03,6,0.25,0.0
2011-03,6,0.3333333333333333,0.1062699256110688
2011-03,6,0.5,0.2493765586034868
2011-03,6,0.6666666666666666,0.4602991944764101
2011-03,6,0.75,0.5376344086021501
2011-03,6,0.9,0.9291521486643584
2011-03,6,0.95,1.5469613259668558
2011-03,9,0.05,-0.3278688524590123
2011-03,9,0.1,-0.2181025081788523
2011-03,9,0.25,0.0
2011-03,9,0.3333333333333333,0.0
2011-03,9,0.5,0.21692203629091183
2011-03,9,0.6666666666666666,0.3218884120171683
2011-03,9,0.75,0.3541912632821775
2011-03,9,0.9,0.5841121495327117
2011-03,9,0.95,0.9291521486643584
2011-03,12,0.05,-0.5482456140350922
2011-03,12,0.1,-0.3492433061699773
2011-03,12,0.25,-0.21470764686880303
2011-03,12,0.3333333333333333,0.0
2011-03,12,0.5,0.05307855626326405
2011-03,12,0.6666666666666666,0.2392344497607723
2011-03,12,0.75,0.3337041156840969
2011-03,12,0.9,0.53881602268699
