scope,sample,h,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_n,yy_rmse,yy_mae,yy_bias,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
all_common,full,1,INDEPENDENT_BRIDGE,90,89,88,88,88,0.9107373045382808,0.5483448281111425,-0.11911212254514587,88,0.6910300803237961,0.38118172563908637,-0.09545380836145988,88,0.6770361652105001,0.37794204548607496,-0.0925861716590338
all_common,full,1,STABLE_PIPELINE_R14B,90,89,89,88,88,0.9049670289361448,0.5320909382768627,-0.13793311030323288,88,0.686491796900017,0.36386064530681106,-0.11195660768771801,88,0.6721848087343675,0.3607168347472767,-0.1087945151891314
all_common,full,1,STABLE_LOCAL_CORE_R14B,90,89,89,88,88,0.8691519032986068,0.508322006501021,-0.10604580144084,88,0.6648327150989936,0.36810418490535285,-0.08179875675443922,88,0.651189821060581,0.3648863837549079,-0.07855941926136514
all_common,full,1,STABLE_LONG_CORE_R14B,90,89,89,88,88,0.8677734083268648,0.5085381646976124,-0.11698046360240055,88,0.6627845361090495,0.3518801083218957,-0.09273392061474871,88,0.6489011753778363,0.34880023832848756,-0.08953892487185312
all_common,full,1,STABLE_LONG_GAP_R14B,90,89,89,88,88,0.8628502342549971,0.5061299182894421,-0.08647454552209928,88,0.6569038502532365,0.3491602163611782,-0.06488746834677116,88,0.6433331998850392,0.34612870153438635,-0.06185246842465673
all_common,full,1,TVWQRF_QRF_MEAN_INDEP,90,89,89,88,88,1.0980406033883672,0.6936227816461495,-0.06484742563770522,88,0.9203943638311293,0.5284680016776072,-0.04885696479060884,88,0.9032865908637521,0.5236699055702788,-0.04492451514924774
all_common,full,1,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,89,89,88,88,1.4184051880209059,0.8950435781977272,-0.11983049019666225,88,0.9203943638311293,0.5284680016776072,-0.04885696479060884,88,0.9032865908637521,0.5236699055702788,-0.04492451514924774
all_common,full,1,TVWQRF_QRF_MEDIAN_INDEP,90,89,89,88,88,1.1292284399582257,0.7099461701011334,-0.1748518299537802,88,0.9441039655442839,0.5401776624762712,-0.15194575104222885,88,0.926755190652383,0.535313373565159,-0.14756833977643066
all_common,full,1,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,89,89,88,88,1.4898977053900933,0.9289214693457443,-0.33284425796404293,88,0.9441039655442839,0.5401776624762712,-0.15194575104222885,88,0.926755190652383,0.535313373565159,-0.14756833977643066
all_common,full,1,TVWQRF_TVW3_INDEP,90,89,89,88,88,1.1095837579126502,0.7003271421017995,-0.05512418826958252,88,0.9319302724547804,0.5424464677785459,-0.043338952080852075,88,0.9150854741091673,0.5374124463214056,-0.03979628573676612
all_common,full,1,TVWQRF_TVW3_INDEP_OWNH0,90,89,89,88,88,1.4182541175959138,0.9121660537973377,-0.10431063614410259,88,0.9319302724547804,0.5424464677785459,-0.043338952080852075,88,0.9150854741091673,0.5374124463214056,-0.03979628573676612
all_common,full,2,INDEPENDENT_BRIDGE,90,88,86,86,86,1.294585199790152,0.8416168863837291,-0.1997538878580161,86,0.6899196711885608,0.38702985158228354,-0.0737865487892192,86,0.9843887944532229,0.629681481982177,-0.1658759548369502
all_common,full,2,STABLE_PIPELINE_R14B,90,88,88,86,86,1.2968314714237756,0.8019362879711572,-0.251139584273086,86,0.6891764254572854,0.38447336717534447,-0.10473909343199207,86,0.9843144929149249,0.5989629647741275,-0.21027877147281726
all_common,full,2,STABLE_LOCAL_CORE_R14B,90,88,88,86,86,1.2569098112525512,0.7910717235654418,-0.19518882731172787,86,0.687200997879051,0.3963155273822936,-0.08062693423050704,86,0.9585258224355007,0.6074413687077244,-0.15624420101053163
all_common,full,2,STABLE_LONG_CORE_R14B,90,88,88,86,86,1.2473860007285311,0.7992504922447705,-0.2171852850646315,86,0.6811602886350228,0.3805397777431523,-0.09190789888870367,86,0.9477181907621693,0.5991751855677606,-0.178911755443079
all_common,full,2,STABLE_LONG_GAP_R14B,90,88,88,86,86,1.2356399495120762,0.7940736653439775,-0.1558472367973963,86,0.6768522861940942,0.3784601090864866,-0.06385303700812277,86,0.9341042888546537,0.5972811160581323,-0.1231184535126289
all_common,full,2,TVWQRF_QRF_MEAN_INDEP,90,88,88,86,86,1.6289528467563037,1.0555402278837431,-0.11694825628193746,86,0.9563348395964518,0.5522671949835446,-0.05255778052741902,86,1.3551329866690993,0.88687378705866,-0.09097358257332361
all_common,full,2,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,88,88,86,86,1.8990653158967516,1.2401569178122207,-0.17550772172240636,86,0.9563348395964518,0.5522671949835446,-0.05255778052741902,86,1.3551329866690993,0.88687378705866,-0.09097358257332361
all_common,full,2,TVWQRF_QRF_MEDIAN_INDEP,90,88,88,86,86,1.7182793217136365,1.1153455130558598,-0.3438040975688882,86,0.9816219174689014,0.5567845756759984,-0.1621758338853393,86,1.4298563052650015,0.9264641695663195,-0.30371114433474805
all_common,full,2,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,88,88,86,86,2.034162524088918,1.3123252021695584,-0.5072961331619137,86,0.9816219174689014,0.5567845756759984,-0.1621758338853393,86,1.4298563052650015,0.9264641695663195,-0.30371114433474805
all_common,full,2,TVWQRF_TVW3_INDEP,90,88,88,86,86,1.6519062414050536,1.0857982181846983,-0.13205411851514623,86,0.9559122808726849,0.5537528154094364,-0.07923326936319515,86,1.3675515609762003,0.9173358840078336,-0.11297390792035165
all_common,full,2,TVWQRF_TVW3_INDEP_OWNH0,90,88,88,86,86,1.901460601985187,1.2569858062157726,-0.1849121165956846,86,0.9559122808726849,0.5537528154094364,-0.07923326936319515,86,1.3675515609762003,0.9173358840078336,-0.11297390792035165
all_common,full,3,INDEPENDENT_BRIDGE,90,87,84,84,84,1.5373220457297827,1.0545270625741106,-0.30066233166206685,84,0.8002655056395581,0.44700844562500874,-0.08825817985077639,84,1.3309442277397319,0.9453059798610343,-0.25413189947473913
all_common,full,3,STABLE_PIPELINE_R14B,90,87,87,84,84,1.532031202092994,1.0138262622310859,-0.3753215543885191,84,0.7824398592397411,0.4429948043532835,-0.1101558573601712,84,1.320560840838718,0.9078688663108087,-0.31799131070408254
all_common,full,3,STABLE_LOCAL_CORE_R14B,90,87,87,84,84,1.537322537940186,1.0295519869798233,-0.3310553165293109,84,0.7964049793770277,0.45248623718762826,-0.11824677457120328,84,1.341433851045086,0.9236951596070947,-0.2720599958690178
all_common,full,3,STABLE_LONG_CORE_R14B,90,87,87,84,84,1.5052803771163648,0.9968450817034115,-0.36487612334226655,84,0.7864826042964058,0.43202543619907224,-0.13001049360387684,84,1.3105670861803673,0.8950494597729277,-0.30748965137146594
all_common,full,3,STABLE_LONG_GAP_R14B,90,87,87,84,84,1.4832713885474704,0.9918702743988813,-0.2724320284026357,84,0.7825042476793439,0.43268008087445364,-0.10174666214759648,84,1.2890498485814157,0.8902231504328382,-0.2231664519233894
all_common,full,3,TVWQRF_QRF_MEAN_INDEP,90,87,87,84,84,1.9693229502430183,1.327194438319662,-0.22435865805818944,84,0.9339208009976674,0.5686247797707148,-0.08895508457261274,84,1.755927205506442,1.2114751752949207,-0.18346760421715497
all_common,full,3,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,87,87,84,84,2.238776092582334,1.4965194596794755,-0.2821083027736949,84,0.9339208009976674,0.5686247797707148,-0.08895508457261274,84,1.755927205506442,1.2114751752949207,-0.18346760421715497
all_common,full,3,TVWQRF_QRF_MEDIAN_INDEP,90,87,87,84,84,2.1084132228063286,1.3789752235796056,-0.5572857758312956,84,0.9421769395446048,0.5540857786397148,-0.19170472972462319,84,1.8683218280858003,1.2500026834691955,-0.4954356226283688
all_common,full,3,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,87,87,84,84,2.413285470171961,1.5753773551808923,-0.7216871012688926,84,0.9421769395446048,0.5540857786397148,-0.19170472972462319,84,1.8683218280858003,1.2500026834691955,-0.4954356226283688
all_common,full,3,TVWQRF_TVW3_INDEP,90,87,87,84,84,1.9737735545042023,1.3291150801900076,-0.2357878247186065,84,0.9277229271404848,0.5658428163075654,-0.08738624176867642,84,1.7520145937145666,1.2009880703082312,-0.20512504544160387
all_common,full,3,TVWQRF_TVW3_INDEP_OWNH0,90,87,87,84,84,2.221392259930757,1.4715175978749795,-0.2877255476576238,84,0.9277229271404848,0.5658428163075654,-0.08738624176867642,84,1.7520145937145666,1.2009880703082312,-0.20512504544160387
all_common,full,4,INDEPENDENT_BRIDGE,90,86,83,83,83,1.8237299080241298,1.233635025154024,-0.40353756179408024,83,0.7691622651348138,0.4297376485042433,-0.08621888132497546,83,1.5768712848109971,1.1063283215902013,-0.34676618807913806
all_common,full,4,STABLE_PIPELINE_R14B,90,86,86,83,83,1.8083380141790153,1.201823174556467,-0.4978797436968874,83,0.7753660162903784,0.4348003090373565,-0.10888033410609817,83,1.55853801518428,1.0684045036932475,-0.42993074139040666
all_common,full,4,STABLE_LOCAL_CORE_R14B,90,86,86,83,83,1.8686376080881502,1.2348192779935194,-0.4673265350366647,83,0.8133231942877166,0.4658878025347752,-0.11866957164482371,83,1.6338471045018332,1.1084347760358124,-0.39306912449487974
all_common,full,4,STABLE_LONG_CORE_R14B,90,86,86,83,83,1.8151391174096594,1.1855049905949406,-0.5030952536293827,83,0.8119064094245594,0.45472293814534587,-0.11862819748628825,83,1.5818369479158372,1.0563058264323415,-0.4320745361409941
all_common,full,4,STABLE_LONG_GAP_R14B,90,86,86,83,83,1.7916771570119594,1.1803813503039713,-0.3760227718666204,83,0.8119743176647397,0.4628680660652148,-0.08765959670417085,83,1.5585290992077083,1.0534564894020448,-0.3157904960100058
all_common,full,4,TVWQRF_QRF_MEAN_INDEP,90,86,86,83,83,2.3536578923093905,1.5639180589069022,-0.3599234875007845,83,0.9424550205169387,0.5723850138020176,-0.11166755573970978,83,2.0929563427179363,1.4282691806106371,-0.3077042760486645
all_common,full,4,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,86,86,83,83,2.581480736190374,1.6825415150160137,-0.42088490401142187,83,0.9424550205169387,0.5723850138020176,-0.11166755573970978,83,2.0929563427179363,1.4282691806106371,-0.3077042760486645
all_common,full,4,TVWQRF_QRF_MEDIAN_INDEP,90,86,86,83,83,2.496403722627703,1.590887882670476,-0.7884182958277743,83,0.9233440273020579,0.549268321666229,-0.20846311014795504,83,2.213766779381753,1.4663754887861082,-0.7090837186046424
all_common,full,4,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,86,86,83,83,2.7795898325938273,1.757652892616431,-0.954932120591389,83,0.9233440273020579,0.549268321666229,-0.20846311014795504,83,2.213766779381753,1.4663754887861082,-0.7090837186046424
all_common,full,4,TVWQRF_TVW3_INDEP,90,86,86,83,83,2.3335082186657554,1.5599625564237412,-0.3578173566903704,83,0.9336885955486325,0.5853014914280661,-0.10781446050151133,83,2.0671849183824644,1.4231792995028447,-0.31897019558015066
all_common,full,4,TVWQRF_TVW3_INDEP_OWNH0,90,86,86,83,83,2.5416677464988475,1.655068211710023,-0.4124439722344344,83,0.9336885955486325,0.5853014914280661,-0.10781446050151133,83,2.0671849183824644,1.4231792995028447,-0.31897019558015066
