sample,h,model,n,yy_rmse,yy_bias
all,1,F1b,88,0.7719127355685579,-0.11286314731321867
all,1,F2_D1_fixed,88,0.8184068750216974,-0.22743908873376045
all,1,NAIVE_C,88,0.9368098432246982,-0.08227808389369687
all,1,RW_C,88,1.5709723518952163,0.026985369066679053
all,1,TVWQRF_QRF_MEAN_INDEP,88,1.0035356177900627,-0.04576987511750464
all,1,TVWQRF_QRF_MEDIAN_INDEP,88,1.0293651680908236,-0.1558486589605927
all,1,TVWQRF_TVW3_INDEP,88,1.0195937710878875,-0.03601277187853725
all,2,F1b,86,1.135179581572184,-0.2100985126266255
all,2,F2_D1_fixed,86,1.311971146719822,-0.4659618186344312
all,2,NAIVE_C,86,1.5045474371937522,-0.16719284153957212
all,2,RW_C,86,2.192540598023902,0.038172569447093206
all,2,TVWQRF_QRF_MEAN_INDEP,86,1.5102801681898137,-0.09558400538873553
all,2,TVWQRF_QRF_MEDIAN_INDEP,86,1.594940981515168,-0.32259952294712024
all,2,TVWQRF_TVW3_INDEP,86,1.5317912698079916,-0.11072302870954762
all,3,F1b,84,1.5564864775582956,-0.3369584376813826
all,3,F2_D1_fixed,84,1.83051518360742,-0.7164469208180193
all,3,NAIVE_C,84,2.0945116103044437,-0.2534787494436707
all,3,RW_C,84,2.697010642247087,0.0419693941561535
all,3,TVWQRF_QRF_MEAN_INDEP,84,1.961104145066032,-0.195565696390138
all,3,TVWQRF_QRF_MEDIAN_INDEP,84,2.0875615343011527,-0.5287415258119876
all,3,TVWQRF_TVW3_INDEP,84,1.967793705766403,-0.20695980184011156
all,4,F1b,82,1.861567151384158,-0.4855769199026693
all,4,F2_D1_fixed,82,2.2764475965114794,-0.9816285509612315
all,4,NAIVE_C,82,2.5944388002512024,-0.35142737056033513
all,4,RW_C,82,3.232792403033034,0.054343625434886744
all,4,TVWQRF_QRF_MEAN_INDEP,82,2.338105611660154,-0.3381947038824356
all,4,TVWQRF_QRF_MEDIAN_INDEP,82,2.4719458274504436,-0.7709878264061054
all,4,TVWQRF_TVW3_INDEP,82,2.3205887812755623,-0.3388679439673287
all,5,F1b,80,2.219535272727144,-0.656964093065929
all,5,F2_D1_fixed,80,2.7561679966432537,-1.243884312464271
all,5,NAIVE_C,80,3.1166768961553317,-0.449623826599342
all,5,RW_C,80,3.766365784539154,0.07500525620296375
all,5,TVWQRF_QRF_MEAN_INDEP,80,2.7009289216966237,-0.49020769853336643
all,5,TVWQRF_QRF_MEDIAN_INDEP,80,2.8092242728994608,-1.0646527408976278
all,5,TVWQRF_TVW3_INDEP,80,2.656361492736068,-0.4831299896650048
all,6,F1b,78,2.5721594600213993,-0.8332803042876396
all,6,F2_D1_fixed,78,3.2537184893830706,-1.5018573546656433
all,6,NAIVE_C,78,3.65237982726404,-0.5325990451179239
all,6,RW_C,78,4.305620003577593,0.10871583979606059
all,6,TVWQRF_QRF_MEAN_INDEP,78,3.0230984324872696,-0.6464926056446678
all,6,TVWQRF_QRF_MEDIAN_INDEP,78,3.148905772378528,-1.3473272678895523
all,6,TVWQRF_TVW3_INDEP,78,2.959416569523533,-0.6101932701182742
all,7,F1b,76,3.0837649281922284,-1.015206197313926
all,7,F2_D1_fixed,76,3.7747623450083942,-1.7704533302223895
all,7,NAIVE_C,76,4.196305198347722,-0.6154689600289757
all,7,RW_C,76,4.83924608012842,0.13966107759698088
all,7,TVWQRF_QRF_MEAN_INDEP,76,3.4811107020072254,-0.788242148074668
all,7,TVWQRF_QRF_MEDIAN_INDEP,76,3.654368650744792,-1.6405253607692734
all,7,TVWQRF_TVW3_INDEP,76,3.397303930763007,-0.7417520031744973
all,8,F1b,74,3.44897442869117,-1.2188883431626187
all,8,F2_D1_fixed,74,4.323278100169058,-2.0665566243697966
all,8,NAIVE_C,74,4.734522989489886,-0.738208338551989
all,8,RW_C,74,5.375424357442972,0.15688493210079077
all,8,TVWQRF_QRF_MEAN_INDEP,74,3.979055775038498,-0.8725192263288183
all,8,TVWQRF_QRF_MEDIAN_INDEP,74,4.183184365480952,-1.8868582240191778
all,8,TVWQRF_TVW3_INDEP,74,3.901352778110901,-0.8441127115275698
all,9,F1b,72,4.053826134192116,-1.4470131653850111
all,9,F2_D1_fixed,72,4.887475454748254,-2.3689589342454442
all,9,NAIVE_C,72,5.278392321188259,-0.8534927823913785
all,9,RW_C,72,5.916335565450812,0.1830344326921007
all,9,TVWQRF_QRF_MEAN_INDEP,72,4.47113379321431,-0.9909773383833619
all,9,TVWQRF_QRF_MEDIAN_INDEP,72,4.721435483630368,-2.183093444099007
all,9,TVWQRF_TVW3_INDEP,72,4.414591282688122,-0.9738602904702047
all,10,F1b,70,4.663233660649718,-1.7465096564440388
all,10,F2_D1_fixed,70,5.467295609370319,-2.6954279618659083
all,10,NAIVE_C,70,5.811509577285549,-0.9897515344823383
all,10,RW_C,70,6.448503630576519,0.20954999042120978
all,10,TVWQRF_QRF_MEAN_INDEP,70,5.029413412517509,-1.0984353983984951
all,10,TVWQRF_QRF_MEDIAN_INDEP,70,5.290809136643925,-2.4968082109602463
all,10,TVWQRF_TVW3_INDEP,70,4.9854983690468995,-1.099725884724648
all,11,F1b,68,5.210929941303709,-2.022591091603693
all,11,F2_D1_fixed,68,6.062249750931199,-3.03678875937584
all,11,NAIVE_C,68,6.369415100885008,-1.1354612774283732
all,11,RW_C,68,6.968876914861184,0.21548627973410053
all,11,TVWQRF_QRF_MEAN_INDEP,68,5.494565423306447,-1.2324254680369204
all,11,TVWQRF_QRF_MEDIAN_INDEP,68,5.761039419105978,-2.7525664903270988
all,11,TVWQRF_TVW3_INDEP,68,5.498840614056865,-1.2239805911795185
all,12,F1b,66,5.7880222439845745,-2.3615329336577395
all,12,F2_D1_fixed,66,6.664483091120692,-3.422090199965882
all,12,NAIVE_C,66,6.990062293675042,-1.380349710716675
all,12,RW_C,66,7.426570296101707,0.19993190226274793
all,12,TVWQRF_QRF_MEAN_INDEP,66,6.092447282655371,-1.48050732838162
all,12,TVWQRF_QRF_MEDIAN_INDEP,66,6.334475053215366,-3.1507881288451527
