sample,h,model,n,mse_difference,lower,upper,block,draws,seed
full,1,TVWQRF_QRF_MEAN_FULL,88,0.3462286974896742,0.0749717597058453,0.6627607209029216,12,2000,1409
full,1,TVWQRF_QRF_MEAN_FULL_OWNH0,88,1.1706026159736955,0.2185538198471671,2.333309132002453,12,2000,1409
full,1,TVWQRF_QRF_MEAN_INDEP,88,0.35747653419030956,0.09020180449392337,0.6977402717606571,12,2000,1409
full,1,TVWQRF_QRF_MEAN_INDEP_OWNH0,88,1.1464446674882935,0.23868207914315998,2.284417024495417,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_FULL,88,0.4426441746366379,0.09071240797838562,0.9261380921556203,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_FULL_OWNH0,88,1.4391803016283575,0.2443412030264263,3.0383450878166185,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_INDEP,88,0.41589313418394874,0.08909632363516548,0.8780417001707874,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,88,1.3270586491799918,0.24233776874692867,2.741521894213743,12,2000,1409
full,1,TVWQRF_TVW3_FULL,88,0.39377980509485205,0.0885784087302373,0.8001256599091179,12,2000,1409
full,1,TVWQRF_TVW3_FULL_OWNH0,88,1.2049268315184138,0.2575380705324427,2.4243891061503127,12,2000,1409
full,1,TVWQRF_TVW3_INDEP,88,0.37664178131647047,0.09256799261123184,0.7682159845344031,12,2000,1409
full,1,TVWQRF_TVW3_INDEP_OWNH0,88,1.186578104214116,0.2608179587086852,2.311646788093189,12,2000,1409
full,2,TVWQRF_QRF_MEAN_FULL,86,0.9368754517361166,0.0789437604661467,2.0899061309699523,12,2000,1409
full,2,TVWQRF_QRF_MEAN_FULL_OWNH0,86,1.9182872865931715,0.1690854772568699,4.206343215441408,12,2000,1409
full,2,TVWQRF_QRF_MEAN_INDEP,86,0.9648709371989491,0.1160238469607207,2.0288740366028426,12,2000,1409
full,2,TVWQRF_QRF_MEAN_INDEP_OWNH0,86,1.9119516704928712,0.2377568455734355,4.0557362310392016,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_FULL,86,1.233357413166573,0.0768061521860734,2.6430907266923036,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_FULL_OWNH0,86,2.4929861148615178,0.20250379049378398,5.4526447663485245,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_INDEP,86,1.2464716577833366,0.09633268179035928,2.8353418911770225,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,86,2.4365997134656094,0.22761928515248414,5.271249345127563,12,2000,1409
full,2,TVWQRF_TVW3_FULL,86,1.0807606408856776,0.07002794770949264,2.565640671498524,12,2000,1409
full,2,TVWQRF_TVW3_FULL_OWNH0,86,2.0358640709479263,0.1934301725094236,4.557963368011722,12,2000,1409
full,2,TVWQRF_TVW3_INDEP,86,1.006324396107495,0.10823653408332486,2.1649543178439536,12,2000,1409
full,2,TVWQRF_TVW3_INDEP_OWNH0,86,1.9754686765832064,0.25694978699994225,4.284524726470191,12,2000,1409
full,3,TVWQRF_QRF_MEAN_FULL,84,1.3379265373371854,0.1192344021829367,2.844739765096566,12,2000,1409
full,3,TVWQRF_QRF_MEAN_FULL_OWNH0,84,2.502133637319003,0.28983601732658726,5.198593138416221,12,2000,1409
full,3,TVWQRF_QRF_MEAN_INDEP,84,1.502724576307765,0.19999170220795232,3.0317341356533096,12,2000,1409
full,3,TVWQRF_QRF_MEAN_INDEP_OWNH0,84,2.6279168916164046,0.36714666460260753,5.7657968176848895,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_FULL,84,1.9949846519897658,0.13515572220975627,4.555503616921919,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_FULL_OWNH0,84,3.487592153560768,0.3483976366438723,7.565720798739758,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_INDEP,84,1.9953592947753458,0.1584037037778662,4.51725154174615,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,84,3.389852225497956,0.35816998493221514,7.921118585250241,12,2000,1409
full,3,TVWQRF_TVW3_FULL,84,1.4647045390017195,0.09335750729510985,3.362062836989138,12,2000,1409
full,3,TVWQRF_TVW3_FULL_OWNH0,84,2.596255746456237,0.32805778875417246,5.715861997945843,12,2000,1409
full,3,TVWQRF_TVW3_INDEP,84,1.5283859732287453,0.17733803033334752,3.368616833440119,12,2000,1409
full,3,TVWQRF_TVW3_INDEP_OWNH0,84,2.6361932402586183,0.4223263494505712,5.6267227265230195,12,2000,1409
full,4,TVWQRF_QRF_MEAN_FULL,83,1.9355786373617214,0.20901911708028864,3.9872791534672696,12,2000,1409
full,4,TVWQRF_QRF_MEAN_FULL_OWNH0,83,3.035069478275328,0.2617083727489617,6.419607147471508,12,2000,1409
full,4,TVWQRF_QRF_MEAN_INDEP,83,2.1812641021380763,0.23904890763821054,4.574663751039558,12,2000,1409
full,4,TVWQRF_QRF_MEAN_INDEP_OWNH0,83,3.2917244508824197,0.38702970652319474,7.472706075433138,12,2000,1409
full,4,TVWQRF_QRF_MEDIAN_FULL,83,2.790973701875052,0.27120313074706676,6.564655059288711,12,2000,1409
full,4,TVWQRF_QRF_MEDIAN_FULL_OWNH0,83,4.275221218720151,0.4159225730348168,10.017046678817296,12,2000,1409
full,4,TVWQRF_QRF_MEDIAN_INDEP,83,2.787607965406096,0.2662047325188774,6.725889372071114,12,2000,1409
full,4,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,83,4.236207988772845,0.3976966479494202,10.302097987758948,12,2000,1409
full,4,TVWQRF_TVW3_FULL,83,2.1310690848664713,0.24894147195828958,4.5854492940667875,12,2000,1409
full,4,TVWQRF_TVW3_FULL_OWNH0,83,3.2004417669667315,0.3878833088570472,6.796787332802699,12,2000,1409
full,4,TVWQRF_TVW3_INDEP,83,2.2287357433855393,0.27670438744524967,4.658269712503735,12,2000,1409
full,4,TVWQRF_TVW3_INDEP_OWNH0,83,3.311734660538658,0.432221656372246,7.174505727880123,12,2000,1409
full,5,TVWQRF_QRF_MEAN_FULL,82,2.2073998142166436,0.11316791931089049,5.0369205790555815,12,2000,1409
full,5,TVWQRF_QRF_MEAN_FULL_OWNH0,82,3.3002463973935408,0.20752664095584641,7.622789974871379,12,2000,1409
full,5,TVWQRF_QRF_MEAN_INDEP,82,2.564022253813131,0.10433510042493946,6.034910466723098,12,2000,1409
