scope,sample,h,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_n,yy_rmse,yy_mae,yy_bias,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
all_common,full,1,INDEPENDENT_BRIDGE,90,89,88,88,88,0.9107373045382808,0.5483448281111425,-0.11911212254514587,88,0.6910300803237961,0.38118172563908637,-0.09545380836145988,88,0.6770361652105001,0.37794204548607496,-0.0925861716590338
all_common,full,1,STABLE_PIPELINE_R14B,90,89,89,88,88,0.9049670289361448,0.5320909382768627,-0.13793311030323288,88,0.686491796900017,0.36386064530681106,-0.11195660768771801,88,0.6721848087343675,0.3607168347472767,-0.1087945151891314
all_common,full,1,STABLE_LOCAL_CORE_R14B,90,89,89,88,88,0.8691519032986068,0.508322006501021,-0.10604580144084,88,0.6648327150989936,0.36810418490535285,-0.08179875675443922,88,0.651189821060581,0.3648863837549079,-0.07855941926136514
all_common,full,1,STABLE_LONG_CORE_R14B,90,89,89,88,88,0.8677734083268648,0.5085381646976124,-0.11698046360240055,88,0.6627845361090495,0.3518801083218957,-0.09273392061474871,88,0.6489011753778363,0.34880023832848756,-0.08953892487185312
all_common,full,1,STABLE_LONG_GAP_R14B,90,89,89,88,88,0.8628502342549971,0.5061299182894421,-0.08647454552209928,88,0.6569038502532365,0.3491602163611782,-0.06488746834677116,88,0.6433331998850392,0.34612870153438635,-0.06185246842465673
all_common,full,1,TVWQRF_QRF_MEAN_FULL,90,89,89,88,88,1.0842836969019352,0.6742086615314229,-0.0920610239101989,88,0.9052594502647324,0.5087379883032056,-0.07566558214502389,88,0.8880373879672679,0.504059039479681,-0.07169543039718328
all_common,full,1,TVWQRF_QRF_MEAN_FULL_OWNH0,90,89,89,88,88,1.4142294912252922,0.8732012469806943,-0.16757036771236095,88,0.9052594502647324,0.5087379883032056,-0.07566558214502389,88,0.8880373879672679,0.504059039479681,-0.07169543039718328
all_common,full,1,TVWQRF_QRF_MEAN_INDEP,90,89,89,88,88,1.089458109368122,0.6877520113296124,-0.06803449545236244,88,0.9158503203790769,0.5261857770107815,-0.05193380955088238,88,0.8988309561445559,0.5214175922400156,-0.04798648080584161
all_common,full,1,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,89,89,88,88,1.4056625147473867,0.8907853343290072,-0.11116181663753401,88,0.9158503203790769,0.5261857770107815,-0.05193380955088238,88,0.8988309561445559,0.5214175922400156,-0.04798648080584161
all_common,full,1,TVWQRF_QRF_MEDIAN_FULL,90,89,89,88,88,1.127868171602644,0.6958271659748636,-0.20464496822543055,88,0.9404284848610017,0.5245589294325451,-0.1800588432603604,88,0.9227883821939726,0.5198358153104047,-0.1756129944357929
all_common,full,1,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,89,89,88,88,1.5061947880357345,0.9269292333363368,-0.37370979783758645,88,0.9404284848610017,0.5245589294325451,-0.1800588432603604,88,0.9227883821939726,0.5198358153104047,-0.1756129944357929
all_common,full,1,TVWQRF_QRF_MEDIAN_INDEP,90,89,89,88,88,1.1159460435261206,0.6969446742916362,-0.1657895283264086,88,0.9345337392641507,0.5302892196666424,-0.14378423679868504,88,0.9172860694234912,0.5255272924874618,-0.13944377669186653
all_common,full,1,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,89,89,88,88,1.4685030088691156,0.9151068610227978,-0.31239560819970974,88,0.9345337392641507,0.5302892196666424,-0.14378423679868504,88,0.9172860694234912,0.5255272924874618,-0.13944377669186653
all_common,full,1,TVWQRF_TVW3_FULL,90,89,89,88,88,1.1059937807114946,0.7013427146949152,-0.051915957419819775,88,0.9238269685199767,0.5343695853821349,-0.04047312341771156,88,0.9068415200488894,0.5293494120049762,-0.03699676424421862
all_common,full,1,TVWQRF_TVW3_FULL_OWNH0,90,89,89,88,88,1.426313173674024,0.9151986167664787,-0.10202094161142337,88,0.9238269685199767,0.5343695853821349,-0.04047312341771156,88,0.9068415200488894,0.5293494120049762,-0.03699676424421862
all_common,full,1,TVWQRF_TVW3_INDEP,90,89,89,88,88,1.098218657278287,0.6939420258905095,-0.05694328877164086,88,0.927780053507663,0.5411553309691455,-0.044857298475878944,88,0.9110669270112572,0.5361499584355328,-0.04129028011129494
all_common,full,1,TVWQRF_TVW3_INDEP_OWNH0,90,89,89,88,88,1.419866381773922,0.9148780774356576,-0.09693904433722754,88,0.927780053507663,0.5411553309691455,-0.044857298475878944,88,0.9110669270112572,0.5361499584355328,-0.04129028011129494
all_common,full,2,INDEPENDENT_BRIDGE,90,88,86,86,86,1.294585199790152,0.8416168863837291,-0.1997538878580161,86,0.6899196711885608,0.38702985158228354,-0.0737865487892192,86,0.9843887944532229,0.629681481982177,-0.1658759548369502
all_common,full,2,STABLE_PIPELINE_R14B,90,88,88,86,86,1.2968314714237756,0.8019362879711572,-0.251139584273086,86,0.6891764254572854,0.38447336717534447,-0.10473909343199207,86,0.9843144929149249,0.5989629647741275,-0.21027877147281726
all_common,full,2,STABLE_LOCAL_CORE_R14B,90,88,88,86,86,1.2569098112525512,0.7910717235654418,-0.19518882731172787,86,0.687200997879051,0.3963155273822936,-0.08062693423050704,86,0.9585258224355007,0.6074413687077244,-0.15624420101053163
all_common,full,2,STABLE_LONG_CORE_R14B,90,88,88,86,86,1.2473860007285311,0.7992504922447705,-0.2171852850646315,86,0.6811602886350228,0.3805397777431523,-0.09190789888870367,86,0.9477181907621693,0.5991751855677606,-0.178911755443079
all_common,full,2,STABLE_LONG_GAP_R14B,90,88,88,86,86,1.2356399495120762,0.7940736653439775,-0.1558472367973963,86,0.6768522861940942,0.3784601090864866,-0.06385303700812277,86,0.9341042888546537,0.5972811160581323,-0.1231184535126289
all_common,full,2,TVWQRF_QRF_MEAN_FULL,90,88,88,86,86,1.6164239206507136,1.0303523151903082,-0.1493307386034672,86,0.9586620934152082,0.5464056837064268,-0.05955420440214794,86,1.3428975369942722,0.8654292995884911,-0.12419123569786533
all_common,full,2,TVWQRF_QRF_MEAN_FULL_OWNH0,90,88,88,86,86,1.895847600971365,1.2039652981650235,-0.22874647396966225,86,0.9586620934152082,0.5464056837064268,-0.05955420440214794,86,1.3428975369942722,0.8654292995884911,-0.12419123569786533
all_common,full,2,TVWQRF_QRF_MEAN_INDEP,90,88,88,86,86,1.6250605455535057,1.0528085126087996,-0.12204043218736747,86,0.9528456890001967,0.5549082259676344,-0.054124556130843736,86,1.3518398881874558,0.8943025076256369,-0.09587063458523251
all_common,full,2,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,88,88,86,86,1.894175944839491,1.241280857033387,-0.16815383494125566,86,0.9528456890001967,0.5549082259676344,-0.054124556130843736,86,1.3518398881874558,0.8943025076256369,-0.09587063458523251
all_common,full,2,TVWQRF_QRF_MEDIAN_FULL,90,88,88,86,86,1.7056694441427624,1.0915180429002198,-0.37634858565482715,86,0.9813749714807682,0.5464359036802534,-0.16643426173774253,86,1.419303154149765,0.9049921719310083,-0.33552721290296084
all_common,full,2,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,88,88,86,86,2.0417974812349104,1.289933174935446,-0.5505436917901184,86,0.9813749714807682,0.5464359036802534,-0.16643426173774253,86,1.419303154149765,0.9049921719310083,-0.33552721290296084
all_common,full,2,TVWQRF_QRF_MEDIAN_INDEP,90,88,88,86,86,1.7095094317666235,1.0962840105137182,-0.3469829033619698,86,0.9832727810011989,0.5522723455013762,-0.17200722014907402,86,1.4217869537758832,0.9159639033842883,-0.30599853783267517
all_common,full,2,TVWQRF_QRF_MEDIAN_INDEP_OWNH0,90,88,88,86,86,2.027942443212163,1.296051651103792,-0.49849807471760366,86,0.9832727810011989,0.5522723455013762,-0.17200722014907402,86,1.4217869537758832,0.9159639033842883,-0.30599853783267517
all_common,full,2,TVWQRF_TVW3_FULL,90,88,88,86,86,1.6603347495012521,1.0720490401591045,-0.10885318104174273,86,0.967038079894642,0.5484219178463546,-0.06254713546994961,86,1.3769030787155143,0.9016549161830238,-0.09320720790915171
all_common,full,2,TVWQRF_TVW3_FULL_OWNH0,90,88,88,86,86,1.9266070981037193,1.2555610332570333,-0.1624109323078701,86,0.967038079894642,0.5484219178463546,-0.06254713546994961,86,1.3769030787155143,0.9016549161830238,-0.09320720790915171
all_common,full,2,TVWQRF_TVW3_INDEP,90,88,88,86,86,1.6377653176274074,1.0795582197845137,-0.1368882946424437,86,0.9518928068355514,0.5489300607434802,-0.08103028355001969,86,1.3591762721776701,0.9131482331268148,-0.11692353629304358
all_common,full,2,TVWQRF_TVW3_INDEP_OWNH0,90,88,88,86,86,1.910868785683338,1.2566156075766375,-0.1797040131817276,86,0.9518928068355514,0.5489300607434802,-0.08103028355001969,86,1.3591762721776701,0.9131482331268148,-0.11692353629304358
all_common,full,3,INDEPENDENT_BRIDGE,90,87,84,84,84,1.5373220457297827,1.0545270625741106,-0.30066233166206685,84,0.8002655056395581,0.44700844562500874,-0.08825817985077639,84,1.3309442277397319,0.9453059798610343,-0.25413189947473913
all_common,full,3,STABLE_PIPELINE_R14B,90,87,87,84,84,1.532031202092994,1.0138262622310859,-0.3753215543885191,84,0.7824398592397411,0.4429948043532835,-0.1101558573601712,84,1.320560840838718,0.9078688663108087,-0.31799131070408254
all_common,full,3,STABLE_LOCAL_CORE_R14B,90,87,87,84,84,1.537322537940186,1.0295519869798233,-0.3310553165293109,84,0.7964049793770277,0.45248623718762826,-0.11824677457120328,84,1.341433851045086,0.9236951596070947,-0.2720599958690178
all_common,full,3,STABLE_LONG_CORE_R14B,90,87,87,84,84,1.5052803771163648,0.9968450817034115,-0.36487612334226655,84,0.7864826042964058,0.43202543619907224,-0.13001049360387684,84,1.3105670861803673,0.8950494597729277,-0.30748965137146594
all_common,full,3,STABLE_LONG_GAP_R14B,90,87,87,84,84,1.4832713885474704,0.9918702743988813,-0.2724320284026357,84,0.7825042476793439,0.43268008087445364,-0.10174666214759648,84,1.2890498485814157,0.8902231504328382,-0.2231664519233894
all_common,full,3,TVWQRF_QRF_MEAN_FULL,90,87,87,84,84,1.9238725554526706,1.2624954302066935,-0.2693629636719016,84,0.9219807456206315,0.5377178816694855,-0.10693863703835724,84,1.717445238105258,1.1420075389066664,-0.22887088391719076
all_common,full,3,TVWQRF_QRF_MEAN_FULL_OWNH0,90,87,87,84,84,2.205786188551784,1.427819108544648,-0.34766627177233284,84,0.9219807456206315,0.5377178816694855,-0.10693863703835724,84,1.717445238105258,1.1420075389066664,-0.22887088391719076
all_common,full,3,TVWQRF_QRF_MEAN_INDEP,90,87,87,84,84,1.966235908683027,1.3306228843050787,-0.22767959894404105,84,0.9309886929926066,0.5668625493778506,-0.08667044419498372,84,1.7525685787368113,1.2146638998232262,-0.18700423742409572
all_common,full,3,TVWQRF_QRF_MEAN_INDEP_OWNH0,90,87,87,84,84,2.234116372059255,1.4934863537728087,-0.2726520147665069,84,0.9309886929926066,0.5668625493778506,-0.08667044419498372,84,1.7525685787368113,1.2146638998232262,-0.18700423742409572
all_common,full,3,TVWQRF_QRF_MEDIAN_FULL,90,87,87,84,84,2.087664658003428,1.3391664769591858,-0.610568325850843,84,0.9637140055522312,0.5456014125290333,-0.21429730190787208,84,1.8560491404020976,1.2166920177548395,-0.5467498489432554
