sample,h,model,n,yy_rmse,yy_bias
all,1,F1b,88,0.7719127355685579,-0.11286314731321867
all,1,F2_D1_fixed,88,0.8184068750216974,-0.22743908873376045
all,1,NAIVE_C,88,0.9368098432246982,-0.08227808389369687
all,1,RW_C,88,1.5709723518952163,0.026985369066679053
all,1,TVWQRF_QRF_MEAN_FULL,88,0.9870506866322694,-0.0729943490321287
all,1,TVWQRF_QRF_MEAN_INDEP,88,0.9980922743351035,-0.048922970441573815
all,1,TVWQRF_QRF_MEDIAN_FULL,88,1.024371808714469,-0.18567398324584652
all,1,TVWQRF_QRF_MEDIAN_INDEP,88,1.0178122833572745,-0.1467607032156815
all,1,TVWQRF_TVW3_FULL,88,1.0106026472421261,-0.032849508626782625
all,1,TVWQRF_TVW3_INDEP,88,1.0148070118758403,-0.037768637363273114
all,2,F1b,86,1.135179581572184,-0.2100985126266255
all,2,F2_D1_fixed,86,1.311971146719822,-0.4659618186344312
all,2,NAIVE_C,86,1.5045474371937522,-0.16719284153957212
all,2,RW_C,86,2.192540598023902,0.038172569447093206
all,2,TVWQRF_QRF_MEAN_FULL,86,1.5009157973306302,-0.1279098182758453
all,2,TVWQRF_QRF_MEAN_INDEP,86,1.5071412125471415,-0.10066268419245686
all,2,TVWQRF_QRF_MEDIAN_FULL,86,1.5841339842580295,-0.3551081848400908
all,2,TVWQRF_QRF_MEDIAN_INDEP,86,1.5851306674108254,-0.32578608562538586
all,2,TVWQRF_TVW3_FULL,86,1.5482103379299346,-0.08742143717926257
all,2,TVWQRF_TVW3_INDEP,86,1.5218878947359278,-0.11549079059151247
all,3,F1b,84,1.5564864775582956,-0.3369584376813826
all,3,F2_D1_fixed,84,1.83051518360742,-0.7164469208180193
all,3,NAIVE_C,84,2.0945116103044437,-0.2534787494436707
all,3,RW_C,84,2.697010642247087,0.0419693941561535
all,3,TVWQRF_QRF_MEAN_FULL,84,1.922798538212761,-0.2404409751005431
all,3,TVWQRF_QRF_MEAN_INDEP,84,1.957984009635909,-0.19888777248551373
all,3,TVWQRF_QRF_MEDIAN_FULL,84,2.075369353327008,-0.5818629455262145
all,3,TVWQRF_QRF_MEDIAN_INDEP,84,2.0642740369125563,-0.5268766689860306
all,3,TVWQRF_TVW3_FULL,84,1.9605957595774242,-0.1776380868910225
all,3,TVWQRF_TVW3_INDEP,84,1.969630217737336,-0.2187758256340708
all,4,F1b,82,1.861567151384158,-0.4855769199026693
all,4,F2_D1_fixed,82,2.2764475965114794,-0.9816285509612315
all,4,NAIVE_C,82,2.5944388002512024,-0.35142737056033513
all,4,RW_C,82,3.232792403033034,0.054343625434886744
all,4,TVWQRF_QRF_MEAN_FULL,82,2.2838204576801204,-0.3743638917717152
all,4,TVWQRF_QRF_MEAN_INDEP,82,2.329632232094819,-0.3338268446285695
all,4,TVWQRF_QRF_MEDIAN_FULL,82,2.454255902931163,-0.8378759684627881
all,4,TVWQRF_QRF_MEDIAN_INDEP,82,2.440503416825118,-0.7727336981607965
all,4,TVWQRF_TVW3_FULL,82,2.3327061427548856,-0.2993748199313644
all,4,TVWQRF_TVW3_INDEP,82,2.344368498641516,-0.33890836611884506
all,5,F1b,80,2.219535272727144,-0.656964093065929
all,5,F2_D1_fixed,80,2.7561679966432537,-1.243884312464271
all,5,NAIVE_C,80,3.1166768961553317,-0.449623826599342
all,5,RW_C,80,3.766365784539154,0.07500525620296375
all,5,TVWQRF_QRF_MEAN_FULL,80,2.6237955415209204,-0.5009634460845749
all,5,TVWQRF_QRF_MEAN_INDEP,80,2.6849438723588857,-0.5009686343348282
all,5,TVWQRF_QRF_MEDIAN_FULL,80,2.7713737223632195,-1.1130016266426626
all,5,TVWQRF_QRF_MEDIAN_INDEP,80,2.7781535257609895,-1.0755174419134206
all,5,TVWQRF_TVW3_FULL,80,2.674251105835364,-0.41603703807986625
all,5,TVWQRF_TVW3_INDEP,80,2.6734126233776037,-0.4942584022579256
all,6,F1b,78,2.5721594600213993,-0.8332803042876396
all,6,F2_D1_fixed,78,3.2537184893830706,-1.5018573546656433
all,6,NAIVE_C,78,3.65237982726404,-0.5325990451179239
all,6,RW_C,78,4.305620003577593,0.10871583979606059
all,6,TVWQRF_QRF_MEAN_FULL,78,2.9734169532254784,-0.6553721761875959
all,6,TVWQRF_QRF_MEAN_INDEP,78,3.0178741769057353,-0.6627134684036206
all,6,TVWQRF_QRF_MEDIAN_FULL,78,3.122271170659403,-1.414820127352568
all,6,TVWQRF_QRF_MEDIAN_INDEP,78,3.1468014312897132,-1.3641570569900703
all,6,TVWQRF_TVW3_FULL,78,3.00401668562624,-0.5476641718353051
all,6,TVWQRF_TVW3_INDEP,78,2.979199644376266,-0.6254126700495354
all,7,F1b,76,3.0837649281922284,-1.015206197313926
all,7,F2_D1_fixed,76,3.7747623450083942,-1.7704533302223895
all,7,NAIVE_C,76,4.196305198347722,-0.6154689600289757
all,7,RW_C,76,4.83924608012842,0.13966107759698088
all,7,TVWQRF_QRF_MEAN_FULL,76,3.391632782197312,-0.8050827121651711
all,7,TVWQRF_QRF_MEAN_INDEP,76,3.4702196802150427,-0.8074080644889603
all,7,TVWQRF_QRF_MEDIAN_FULL,76,3.578868710387782,-1.7214792764652764
all,7,TVWQRF_QRF_MEDIAN_INDEP,76,3.650214169433485,-1.6566005797483676
all,7,TVWQRF_TVW3_FULL,76,3.4102021575419985,-0.6865184118875194
all,7,TVWQRF_TVW3_INDEP,76,3.414729723976732,-0.7604326231913198
all,8,F1b,74,3.44897442869117,-1.2188883431626187
all,8,F2_D1_fixed,74,4.323278100169058,-2.0665566243697966
all,8,NAIVE_C,74,4.734522989489886,-0.738208338551989
all,8,RW_C,74,5.375424357442972,0.15688493210079077
all,8,TVWQRF_QRF_MEAN_FULL,74,3.8569626461263478,-0.9158893101077489
all,8,TVWQRF_QRF_MEAN_INDEP,74,3.970184116237902,-0.8873243764002717
all,8,TVWQRF_QRF_MEDIAN_FULL,74,4.083847148621216,-1.9958266934691573
all,8,TVWQRF_QRF_MEDIAN_INDEP,74,4.149582826579326,-1.8894287440920856
