report_date,report_clock_utc,origin,as_of_utc,quarter,quarters_ahead,realised,cnb,known_months,forecast_months,model,forecast,complete
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,INDEPENDENT_BRIDGE,11.177362264313452,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,STABLE_PIPELINE_R14B,11.099646397134174,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,STABLE_LOCAL_CORE_R14B,10.31548462118809,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,STABLE_LONG_CORE_R14B,10.502604464871233,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,STABLE_LONG_GAP_R14B,10.562925954060326,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEAN_FULLM,6.819094768920571,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEAN_FULLM_OWNH0,6.327403745736194,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEAN_INDEPM,6.818751956160341,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEAN_INDEPM_OWNH0,6.252212473744618,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEDIAN_FULLM,6.43085739937064,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,5.871115611232402,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEDIAN_INDEPM,6.302326308504381,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,5.6858780994087015,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_TVW3_FULLM,7.072525096310798,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_TVW3_FULLM_OWNH0,6.6739115100852615,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_TVW3_INDEPM,7.081832624573629,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,TVWQRF_TVW3_INDEPM_OWNH0,6.591189117419501,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q1,1,11.236581508913602,9.63663198795535,0,3,CNB,9.63663198795535,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,INDEPENDENT_BRIDGE,12.086840018543763,True
