edge,horizon,n_train,n_features,seconds
2017-11,1,186,70,2.9291370999999344
2017-11,2,185,70,2.9648304999864195
2017-11,3,184,70,2.889809600019362
2017-11,4,183,70,2.8869765999843366
2017-11,5,182,70,2.869831299991347
2017-11,6,181,70,2.8075883999990765
2017-11,7,180,70,2.7520926000142936
2017-11,8,179,70,2.9132048999890685
2017-11,9,178,70,2.9143205000145826
2017-11,10,177,70,2.6415271000005305
2017-11,11,176,70,2.7654083999805152
2017-11,12,175,70,2.847861299989745
2017-11,13,174,70,2.7046297999913804
2017-12,1,187,70,2.8268977000261657
2017-12,2,186,70,2.8330904000031296
2017-12,3,185,70,2.7604434000095353
2017-12,4,184,70,2.8911879000079352
2017-12,5,183,70,2.840581700002076
2017-12,6,182,70,2.7208553999953438
2017-12,7,181,70,2.792862200003583
2017-12,8,180,70,2.362923000007868
2017-12,9,179,70,2.421774899994489
2017-12,10,178,70,2.2989674000127707
2017-12,11,177,70,2.3080156999931205
2017-12,12,176,70,2.3566139999893494
2017-12,13,175,70,2.375239999993937
2018-01,1,188,70,2.4150901999964844
2018-01,2,187,70,2.4761792000208516
2018-01,3,186,70,2.4286635000025854
2018-01,4,185,70,2.326864200003911
2018-01,5,184,70,2.4002058999903966
2018-01,6,183,70,2.385906100011198
2018-01,7,182,70,2.412693999998737
2018-01,8,181,70,2.5348414999898523
2018-01,9,180,70,2.368046699994011
2018-01,10,179,70,2.30892420001328
2018-01,11,178,70,2.2864851000194903
2018-01,12,177,70,2.287265999999363
2018-01,13,176,70,2.3907589000009466
2018-02,1,189,70,2.4795438000001013
2018-02,2,188,70,2.510217399976682
2018-02,3,187,70,2.4632472999801394
2018-02,4,186,70,2.477870400005486
2018-02,5,185,70,2.45997160000843
2018-02,6,184,70,2.33459519999451
2018-02,7,183,70,2.3896232999977656
2018-02,8,182,70,2.490117899986217
2018-02,9,181,70,2.471040799980983
2018-02,10,180,70,2.334930799988797
2018-02,11,179,70,2.3606786000018474
2018-02,12,178,70,2.482713600009447
2018-02,13,177,70,2.4814058000047226
2018-03,1,190,70,2.5595567999989726
2018-03,2,189,70,2.5471150999946985
2018-03,3,188,70,2.5164439999789465
2018-03,4,187,70,2.4560241000144742
2018-03,5,186,70,2.498699599993415
2018-03,6,185,70,2.452800800005207
2018-03,7,184,70,2.4843886000162456
2018-03,8,183,70,2.5599767999956384
2018-03,9,182,70,2.4929722000088077
2018-03,10,181,70,2.401912600005744
2018-03,11,180,70,2.362472600012552
2018-03,12,179,70,2.460904900013702
2018-03,13,178,70,2.5190904999908525
2018-04,1,191,70,2.4612837999884505
2018-04,2,190,70,2.590267899999162
2018-04,3,189,70,2.5556061000097543
2018-04,4,188,70,2.5307630999886896
2018-04,5,187,70,2.4385494000162
2018-04,6,186,70,2.4872616000066046
2018-04,7,185,70,2.514612400002079
2018-04,8,184,70,2.5716224999923725
2018-04,9,183,70,2.5576618000050075
2018-04,10,182,70,2.478178699995624
