edge,horizon,scheme,quantile,weight
2010-12,1,TVW1,0.25,0.2
2010-12,1,TVW1,0.5,0.4000000000000001
2010-12,1,TVW1,0.75,0.39999999999999997
2010-12,1,TVW2,0.3333333333333333,0.2
2010-12,1,TVW2,0.5,0.4
2010-12,1,TVW2,0.6666666666666666,0.39999999999999997
2010-12,1,TVW3,0.1,0.0
2010-12,1,TVW3,0.25,0.15
2010-12,1,TVW3,0.5,0.4788802975262739
2010-12,1,TVW3,0.75,0.2211197024737261
2010-12,1,TVW3,0.9,0.15
2010-12,2,TVW1,0.25,0.2
2010-12,2,TVW1,0.5,0.43404936250689524
2010-12,2,TVW1,0.75,0.36595063749310475
2010-12,2,TVW2,0.3333333333333333,0.20000000000000004
2010-12,2,TVW2,0.5,0.39999999999999997
2010-12,2,TVW2,0.6666666666666666,0.4000000000000001
2010-12,2,TVW3,0.1,0.001762719281001286
2010-12,2,TVW3,0.25,0.15
2010-12,2,TVW3,0.5,0.49999999999999994
2010-12,2,TVW3,0.75,0.3482372807189988
2010-12,2,TVW3,0.9,2.149628810279509e-17
2010-12,3,TVW1,0.25,0.2363552456654086
2010-12,3,TVW1,0.5,0.4
2010-12,3,TVW1,0.75,0.3636447543345914
2010-12,3,TVW2,0.3333333333333333,0.29999999999999993
2010-12,3,TVW2,0.5,0.3000000000000001
2010-12,3,TVW2,0.6666666666666666,0.4000000000000001
2010-12,3,TVW3,0.1,0.14999999999999997
2010-12,3,TVW3,0.25,0.15
2010-12,3,TVW3,0.5,0.29999999999999993
2010-12,3,TVW3,0.75,0.25000000000000006
2010-12,3,TVW3,0.9,0.14999999999999997
2010-12,4,TVW1,0.25,0.2
2010-12,4,TVW1,0.5,0.6
2010-12,4,TVW1,0.75,0.2
2010-12,4,TVW2,0.3333333333333333,0.2
2010-12,4,TVW2,0.5,0.4
2010-12,4,TVW2,0.6666666666666666,0.4
2010-12,4,TVW3,0.1,0.07890914641107792
2010-12,4,TVW3,0.25,0.15
2010-12,4,TVW3,0.5,0.5
2010-12,4,TVW3,0.75,0.15
2010-12,4,TVW3,0.9,0.12109085358892209
2010-12,5,TVW1,0.25,0.2
2010-12,5,TVW1,0.5,0.4168481257685916
2010-12,5,TVW1,0.75,0.3831518742314084
2010-12,5,TVW2,0.3333333333333333,0.2
2010-12,5,TVW2,0.5,0.4000000000000001
2010-12,5,TVW2,0.6666666666666666,0.4
2010-12,5,TVW3,0.1,1.3842306561315522e-17
2010-12,5,TVW3,0.25,0.15
2010-12,5,TVW3,0.5,0.5
2010-12,5,TVW3,0.75,0.35
2010-12,5,TVW3,0.9,7.334909417795756e-17
2010-12,6,TVW1,0.25,0.2
2010-12,6,TVW1,0.5,0.46747682276646546
2010-12,6,TVW1,0.75,0.33252317723353453
2010-12,6,TVW2,0.3333333333333333,0.20000000000000004
2010-12,6,TVW2,0.5,0.39999999999999997
2010-12,6,TVW2,0.6666666666666666,0.4000000000000001
2010-12,6,TVW3,0.1,1.0005640850566842e-17
2010-12,6,TVW3,0.25,0.2403774301764092
2010-12,6,TVW3,0.5,0.49999999999999994
2010-12,6,TVW3,0.75,0.15000000000000013
2010-12,6,TVW3,0.9,0.10962256982359077
2010-12,7,TVW1,0.25,0.2
2010-12,7,TVW1,0.5,0.4
2010-12,7,TVW1,0.75,0.4
2010-12,7,TVW2,0.3333333333333333,0.2
2010-12,7,TVW2,0.5,0.4000000000000001
2010-12,7,TVW2,0.6666666666666666,0.4
2010-12,7,TVW3,0.1,0.0
2010-12,7,TVW3,0.25,0.15
2010-12,7,TVW3,0.5,0.35000000000000014
2010-12,7,TVW3,0.75,0.3499999999999999
2010-12,7,TVW3,0.9,0.14999999999999994
2010-12,8,TVW1,0.25,0.2
2010-12,8,TVW1,0.5,0.4
2010-12,8,TVW1,0.75,0.4
2010-12,8,TVW2,0.3333333333333333,0.19999999999999998
2010-12,8,TVW2,0.5,0.4
2010-12,8,TVW2,0.6666666666666666,0.3999999999999999
2010-12,8,TVW3,0.1,0.03009642943817313
2010-12,8,TVW3,0.25,0.15
2010-12,8,TVW3,0.5,0.3199035705618269
2010-12,8,TVW3,0.75,0.35
2010-12,8,TVW3,0.9,0.15
2010-12,9,TVW1,0.25,0.2
2010-12,9,TVW1,0.5,0.4
2010-12,9,TVW1,0.75,0.4
2010-12,9,TVW2,0.3333333333333333,0.2
2010-12,9,TVW2,0.5,0.5
2010-12,9,TVW2,0.6666666666666666,0.30000000000000004
2010-12,9,TVW3,0.1,1.3100748981345392e-17
2010-12,9,TVW3,0.25,0.15
2010-12,9,TVW3,0.5,0.5
2010-12,9,TVW3,0.75,0.35
2010-12,9,TVW3,0.9,0.0
2010-12,10,TVW1,0.25,0.22357404842112574
2010-12,10,TVW1,0.5,0.4000000000000001
2010-12,10,TVW1,0.75,0.37642595157887415
2010-12,10,TVW2,0.3333333333333333,0.20000000000000004
2010-12,10,TVW2,0.5,0.39999999999999997
2010-12,10,TVW2,0.6666666666666666,0.4000000000000001
2010-12,10,TVW3,0.1,0.0354814662116174
2010-12,10,TVW3,0.25,0.35
2010-12,10,TVW3,0.5,0.3
2010-12,10,TVW3,0.75,0.16451853378838266
2010-12,10,TVW3,0.9,0.15
2010-12,11,TVW1,0.25,0.3068424491540159
2010-12,11,TVW1,0.5,0.4
2010-12,11,TVW1,0.75,0.2931575508459841
2010-12,11,TVW2,0.3333333333333333,0.3833363111495291
2010-12,11,TVW2,0.5,0.29999999999999993
2010-12,11,TVW2,0.6666666666666666,0.3166636888504709
2010-12,11,TVW3,0.1,0.15000000000000002
2010-12,11,TVW3,0.25,0.2825166804427338
2010-12,11,TVW3,0.5,0.3000000000000001
2010-12,11,TVW3,0.75,0.15000000000000002
2010-12,11,TVW3,0.9,0.11748331955726611
2010-12,12,TVW1,0.25,0.2
2010-12,12,TVW1,0.5,0.6
2010-12,12,TVW1,0.75,0.20000000000000007
2010-12,12,TVW2,0.3333333333333333,0.2702171878647005
2010-12,12,TVW2,0.5,0.5
2010-12,12,TVW2,0.6666666666666666,0.2297828121352995
2010-12,12,TVW3,0.1,0.12778531343974694
2010-12,12,TVW3,0.25,0.14999999999999997
2010-12,12,TVW3,0.5,0.4999999999999999
2010-12,12,TVW3,0.75,0.14999999999999997
2010-12,12,TVW3,0.9,0.07221468656025314
2010-12,13,TVW1,0.25,0.4
2010-12,13,TVW1,0.5,0.4
2010-12,13,TVW1,0.75,0.2
2010-12,13,TVW2,0.3333333333333333,0.4000000000000001
2010-12,13,TVW2,0.5,0.39999999999999997
2010-12,13,TVW2,0.6666666666666666,0.20000000000000007
2010-12,13,TVW3,0.1,0.15
2010-12,13,TVW3,0.25,0.19584717175804198
2010-12,13,TVW3,0.5,0.5
2010-12,13,TVW3,0.75,0.15
2010-12,13,TVW3,0.9,0.004152828241958011
2011-01,1,TVW1,0.25,0.2
2011-01,1,TVW1,0.5,0.5354760603663783
2011-01,1,TVW1,0.75,0.26452393963362175
2011-01,1,TVW2,0.3333333333333333,0.20000000000000004
2011-01,1,TVW2,0.5,0.4298174918152116
2011-01,1,TVW2,0.6666666666666666,0.37018250818478843
2011-01,1,TVW3,0.1,0.03222011818862057
2011-01,1,TVW3,0.25,0.14999999999999997
2011-01,1,TVW3,0.5,0.49999999999999983
2011-01,1,TVW3,0.75,0.3177798818113796
2011-01,1,TVW3,0.9,0.0
2011-01,2,TVW1,0.25,0.20807510600583237
2011-01,2,TVW1,0.5,0.5919248939941676
2011-01,2,TVW1,0.75,0.2
2011-01,2,TVW2,0.3333333333333333,0.4
2011-01,2,TVW2,0.5,0.3
2011-01,2,TVW2,0.6666666666666666,0.3
2011-01,2,TVW3,0.1,0.12545489616070574
2011-01,2,TVW3,0.25,0.15000000000000002
2011-01,2,TVW3,0.5,0.5
2011-01,2,TVW3,0.75,0.22454510383929424
2011-01,2,TVW3,0.9,1.3646747613783409e-17
2011-01,3,TVW1,0.25,0.3376335716449959
2011-01,3,TVW1,0.5,0.4
2011-01,3,TVW1,0.75,0.26236642835500407
2011-01,3,TVW2,0.3333333333333333,0.39999999999999986
2011-01,3,TVW2,0.5,0.3000000000000001
2011-01,3,TVW2,0.6666666666666666,0.3
2011-01,3,TVW3,0.1,0.15
2011-01,3,TVW3,0.25,0.25
2011-01,3,TVW3,0.5,0.3
2011-01,3,TVW3,0.75,0.15
2011-01,3,TVW3,0.9,0.15
2011-01,4,TVW1,0.25,0.20000000000000012
2011-01,4,TVW1,0.5,0.5999999999999999
2011-01,4,TVW1,0.75,0.2
2011-01,4,TVW2,0.3333333333333333,0.23357205678050022
2011-01,4,TVW2,0.5,0.5
2011-01,4,TVW2,0.6666666666666666,0.2664279432194999
2011-01,4,TVW3,0.1,0.12032115051121707
2011-01,4,TVW3,0.25,0.15
