family,h,n,gain_vs_naive_pct,dm_lag_h1,dm_lag_12,boot_p,beats_rw,passes
F1a,3,84,25.68737886671082,-1.9343203594847065,-1.8713200013032016,0.062,True,True
F1a,6,78,28.29327773688769,-2.4729169944201086,-2.524407545815714,0.025,True,True
F1a,12,66,15.14682043669705,-3.1425396867031603,-3.2061772637016706,0.002,True,True
F1b,3,84,25.68737886671082,-1.9343203594847065,-1.8713200013032016,0.066,True,True
F1b,6,78,29.57579491538871,-2.5096345393194333,-2.5042916390880343,0.016,True,True
F1b,12,66,17.196413983007464,-2.860787024561439,-2.9269810692993894,0.01,True,True
F2,3,87,12.520668795023948,-3.571989280472624,-3.1928438739768223,0.0,True,True
F2,6,84,10.764995807572797,-2.6368761584390588,-2.069237278481709,0.005,True,True
F2,12,78,4.581224848143927,-0.6574656975782692,-0.636858086079692,0.174,True,False
F3,3,87,10.854880928240117,-2.450054972002404,-2.318120205159579,0.011,True,True
F3,6,84,9.88634517103696,-2.0387067179219875,-2.0867877009133644,0.007,True,False
F3,12,78,2.6884123289750317,-0.43017490997296814,-0.41977121051631755,0.203,True,False
