table,obj,h,n,naive,rw,F2_D1_ML,bias_F2_D1_ML,F2_D1_fixed,bias_F2_D1_fixed,F2_D1_noFMIE,bias_F2_D1_noFMIE,F2_D2_ML,bias_F2_D2_ML,F2_D2_fixed,bias_F2_D2_fixed,F2,bias_F2,F3,bias_F3,F1a,bias_F1a,F1b,bias_F1b
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,1,222,0.633296420734854,1.1014760688395024,0.5747536765538048,-0.0874218872753783,0.5701431296201116,-0.0949326225025885,0.5773337140263585,0.029079012663435603,0.5738790411322048,-0.09353046649434796,0.5723637905920319,-0.09918518871013729,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,3,220,1.3669374421395235,1.8281777610578178,1.2227184407394185,-0.27657236686333414,1.2057353309765193,-0.29492430306146084,1.2397928378870737,0.08994009842238224,1.2184889836066932,-0.2956386396986375,1.2119184764265312,-0.3063845094225619,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,6,217,2.2976811117887457,2.801351745242859,2.038998048464072,-0.5683225518059327,2.023974769736593,-0.596196248612902,2.1630172320556045,0.19796478764819675,2.0321441941025085,-0.6064275322288952,2.03677129699105,-0.6177038628317036,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,9,214,3.20644828205988,3.71355073029589,2.9570807509923793,-0.8726040219752998,2.930982767133594,-0.904469367640098,3.2436893792872077,0.2968032869971765,2.948793338081267,-0.9273659744920353,2.949610122047915,-0.9355520508375482,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,12,211,4.093597443989172,4.472970319336139,3.8690953476782095,-1.2000152943114497,3.839250809415117,-1.2322211790005606,4.448044967927221,0.3819633259690411,3.866005821437253,-1.268334691956179,3.8632450509933296,-1.2723908137374422,,,,,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,1,160,0.7219087439367775,1.2017840690000832,,,,,,,,,,,0.6471809601120077,-0.1266103392110104,0.6513278257814274,-0.07283745423850167,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,3,158,1.5727992230946488,2.0109632496729883,,,,,,,,,,,1.3907828246057865,-0.3998581010742983,1.4342395205301157,-0.21343220391800452,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,6,155,2.6568395902706756,3.0986644616773047,,,,,,,,,,,2.3619088362542127,-0.8297600150414864,2.4187481468672067,-0.4601946409322613,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,9,152,3.7211322095247246,4.11895135309374,,,,,,,,,,,3.434808912599137,-1.280160309122538,3.5517501481570015,-0.8172753657773113,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,12,149,4.764905833216593,5.0018690913789925,,,,,,,,,,,4.516990279766662,-1.7689664674733347,4.6472946506024195,-1.2982783957323807,,,,
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,0.8184068750216974,-0.22743908873376045,0.8245949015843217,-0.19332342992521004,0.7719127355685579,-0.11286314731321871,0.7719127355685579,-0.11286314731321871
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,1.83051518360742,-0.7164469208180194,1.8675490433123603,-0.6101720465943964,1.5564864775582956,-0.33695843768138267,1.5564864775582956,-0.33695843768138267
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,3.253718489383071,-1.5018573546656433,3.2929167768104004,-1.2759153290152903,2.619001858730167,-1.041472035961232,2.5721594600213993,-0.8332803042876396
