table,obj,h,n,naive,rw,E1_ML,bias_E1_ML,E1_fixed,bias_E1_fixed,E2_ML,bias_E2_ML,E2_fixed,bias_E2_fixed,E3_ML,bias_E3_ML,E3_fixed,bias_E3_fixed,F2_D1_noFMIE,bias_F2_D1_noFMIE,F2_D1_fixed,bias_F2_D1_fixed,F1b,bias_F1b,E,bias_E
"LONG SPAN 2008-01..2026-07: survey-free variants, E0 control, F2 with survey",b,1,222,0.6332964207348541,1.1014760688395024,0.572014120991185,-0.01389176395389154,0.5706348934262552,5.84813210564143e-05,0.5645197068849014,-0.011478241462189183,0.5645945477072458,0.012478587079007345,0.5659563625146775,-0.010741966109578305,0.5635617638774438,0.01117234315194243,0.5773337140263584,0.029079012663435586,0.5701431296201116,-0.09493262250258853,,,,
"LONG SPAN 2008-01..2026-07: survey-free variants, E0 control, F2 with survey",b,3,220,1.3669374421395233,1.8281777610578178,1.216758918351673,-0.05328155546783296,1.205386996299517,-0.003125833879231766,1.196254849490213,-0.04322872752537894,1.1747097301179306,0.03442533841652699,1.2024026947387634,-0.0408581449659977,1.1759210372084143,0.031098191566013112,1.2397928378870735,0.08994009842238226,1.2057353309765193,-0.29492430306146084,,,,
"LONG SPAN 2008-01..2026-07: survey-free variants, E0 control, F2 with survey",b,6,217,2.2976811117887457,2.801351745242859,2.0223657314837826,-0.12664934795287222,2.0525230991991266,-0.008483532897555508,1.9752547904248787,-0.10024722155672923,2.015054240798507,0.06561396189480362,1.9908426961399426,-0.09467026373696001,2.0119509361778496,0.05982874641028197,2.1630172320556045,0.1979647876481968,2.023974769736593,-0.5961962486129019,,,,
"LONG SPAN 2008-01..2026-07: survey-free variants, E0 control, F2 with survey",b,9,214,3.20644828205988,3.7135507302958897,2.9465419247641695,-0.239348814361089,3.0415200570314798,-0.035087986567513336,2.8750700774003746,-0.19024324648064186,3.0161788100339675,0.07522404858327458,2.8977528561911874,-0.18187758409749855,3.0096524541584873,0.06739432697657816,3.243689379287208,0.2968032869971766,2.9309827671335937,-0.9044693676400982,,,,
"LONG SPAN 2008-01..2026-07: survey-free variants, E0 control, F2 with survey",b,12,211,4.093597443989172,4.472970319336139,3.955208356516943,-0.3945561922177702,4.119018696824374,-0.08902197101625146,3.9287091301883117,-0.3143048759501253,4.1020462700885725,0.05769520471219767,3.949317992070509,-0.3024398067910198,4.091817801516204,0.04805164655670948,4.448044967927221,0.38196332596904126,3.839250809415117,-1.2322211790005606,,,,
COMPONENT SPAN 2019-02..2026-07 (b: h0 = print),b,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,,,0.8166126165227061,-0.015821804324690873,0.8184068750216974,-0.22743908873376045,0.7719127355685579,-0.11286314731321867,0.8010905801928977,-0.0822813483271898
COMPONENT SPAN 2019-02..2026-07 (b: h0 = print),b,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,,,1.8292659027691933,-0.03615854540899015,1.83051518360742,-0.7164469208180193,1.5564864775582956,-0.3369584376813826,1.791197379821301,-0.2660630997247396
COMPONENT SPAN 2019-02..2026-07 (b: h0 = print),b,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,,,3.3550697276040577,-0.013410670083969282,3.2537184893830706,-1.5018573546656433,2.5721594600213993,-0.8332803042876396,3.140012073443261,-0.5809816213109468
COMPONENT SPAN 2019-02..2026-07 (b: h0 = print),b,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,,,5.208735361238808,0.016154371962897224,4.887475454748254,-2.3689589342454442,4.053826134192116,-1.4470131653850111,4.752879984726504,-1.0005321948590136
COMPONENT SPAN 2019-02..2026-07 (b: h0 = print),b,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,,,7.4700641383641475,-0.001511366584448914,6.664483091120692,-3.422090199965882,5.7880222439845745,-2.3615329336577395,6.792019404640119,-1.5922414920637722
COMPONENT SPAN 2019-02..2026-07 (a: h0 = nowcast),a,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,,,,,0.9398796389574812,-0.2641951451221514,0.925459116284548,-0.14941542632229893,0.9337310512591962,-0.11897504008027454
COMPONENT SPAN 2019-02..2026-07 (a: h0 = nowcast),a,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,,,,,1.8668559350088274,-0.7631506095869858,1.6107823445807217,-0.383501555630929,1.8426362960522131,-0.31254425483773524
COMPONENT SPAN 2019-02..2026-07 (a: h0 = nowcast),a,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,,,,,3.312656441230511,-1.5478885811300584,2.68040067060324,-0.8785035046814704,3.221053129078186,-0.6264729783591756
COMPONENT SPAN 2019-02..2026-07 (a: h0 = nowcast),a,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,,,,,4.96237959645715,-2.420746473490174,4.1828563717260945,-1.4973482174345814,4.85191341964083,-1.0514579738869507
COMPONENT SPAN 2019-02..2026-07 (a: h0 = nowcast),a,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,,,,,6.664483091120692,-3.422090199965882,5.7880222439845745,-2.3615329336577395,6.792019404640119,-1.5922414920637722
