origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2019-02,2019-03,CORE_AGG_MONTHLY_R13,1,,-0.1,,,,-0.1,-0.1,0.0
2019-02,2019-04,CORE_AGG_MONTHLY_R13,2,,0.4,,,,0.30000000000000004,0.29960000000000003,0.00040000000000001146
2019-02,2019-05,CORE_AGG_MONTHLY_R13,3,,0.1,,,,0.4,0.39989960000000013,0.00010039999999988947
2019-02,2019-06,CORE_AGG_MONTHLY_R13,4,,0.3,,,,0.7,0.7010992988,-0.001099298800000037
2019-02,2019-07,CORE_AGG_MONTHLY_R13,5,,1.0,,,,1.7,1.7081102917880002,-0.008110291788000268
2019-02,2019-08,CORE_AGG_MONTHLY_R13,6,,0.2,,,,1.9,1.911526512371576,-0.011526512371575981
2019-02,2019-09,CORE_AGG_MONTHLY_R13,7,,-0.9,,,,0.9999999999999999,0.9943227737602317,0.005677226239768185
2019-02,2019-10,CORE_AGG_MONTHLY_R13,8,,0.6,,,,1.6,1.6002887104027932,-0.000288710402793102
2019-02,2019-11,CORE_AGG_MONTHLY_R13,9,,0.0,,,,1.6,1.6002887104027932,-0.000288710402793102
2019-02,2019-12,CORE_AGG_MONTHLY_R13,10,,0.1,,,,1.7000000000000002,1.7018889991131965,-0.001888999113196288
2019-02,2020-01,CORE_AGG_MONTHLY_R13,11,,0.8,,,,2.5,2.515504111106101,-0.01550411110610117
2019-02,2020-02,CORE_AGG_MONTHLY_R13,12,,0.7,,,,3.2,3.2331126398838435,-0.033112639883843276
2019-02,2019-03,CORE_AGG_CUMULATIVE_R13,1,,-0.1,,,,-0.1,-0.1,0.0
2019-02,2019-04,CORE_AGG_CUMULATIVE_R13,2,,0.4,,,,0.30000000000000004,0.29960000000000003,0.00040000000000001146
2019-02,2019-05,CORE_AGG_CUMULATIVE_R13,3,,0.1,,,,0.4,0.39989960000000013,0.00010039999999988947
2019-02,2019-06,CORE_AGG_CUMULATIVE_R13,4,,0.3,,,,0.7,0.7010992988,-0.001099298800000037
2019-02,2019-07,CORE_AGG_CUMULATIVE_R13,5,,1.0,,,,1.7,1.7081102917880002,-0.008110291788000268
2019-02,2019-08,CORE_AGG_CUMULATIVE_R13,6,,0.2,,,,1.9,1.911526512371576,-0.011526512371575981
2019-02,2019-09,CORE_AGG_CUMULATIVE_R13,7,,-0.9,,,,0.9999999999999999,0.9943227737602317,0.005677226239768185
2019-02,2019-10,CORE_AGG_CUMULATIVE_R13,8,,0.6,,,,1.6,1.6002887104027932,-0.000288710402793102
2019-02,2019-11,CORE_AGG_CUMULATIVE_R13,9,,0.0,,,,1.6,1.6002887104027932,-0.000288710402793102
2019-02,2019-12,CORE_AGG_CUMULATIVE_R13,10,,0.1,,,,1.7000000000000002,1.7018889991131965,-0.001888999113196288
2019-02,2020-01,CORE_AGG_CUMULATIVE_R13,11,,0.8,,,,2.5,2.515504111106101,-0.01550411110610117
