scope,sample,h,model,n_common,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_arithmetic_n,cumulative_arithmetic_rmse,cumulative_arithmetic_mae,cumulative_arithmetic_bias,cumulative_compounded_n,cumulative_compounded_rmse,cumulative_compounded_mae,cumulative_compounded_bias
primary_common,full,1,CORE_AGG_MONTHLY_R13,76,76,0.4136284297407826,0.31063433545272534,-0.09010464651888334,76,0.4136284297407826,0.31063433545272534,-0.09010464651888334,76,0.4136284297407826,0.31063433545272534,-0.09010464651888336
primary_common,full,1,CORE_AGG_CUMULATIVE_R13,76,76,0.4136284297407826,0.31063433545272534,-0.09010464651888334,76,0.4136284297407826,0.31063433545272534,-0.09010464651888334,76,0.4136284297407826,0.31063433545272534,-0.09010464651888336
primary_common,full,1,CORE_SPLIT_MONTHLY_R13,76,76,0.37589892579712836,0.2870685591041792,-0.07747465032136859,76,0.37589892579712836,0.2870685591041792,-0.07747465032136859,76,0.3758989257971284,0.2870685591041793,-0.07747465032136862
primary_common,full,1,CORE_SPLIT_CUMULATIVE_R13,76,76,0.37589892579712836,0.2870685591041792,-0.07747465032136859,76,0.37589892579712836,0.2870685591041792,-0.07747465032136859,76,0.3758989257971284,0.2870685591041793,-0.07747465032136862
primary_common,full,1,INDEPENDENT_BRIDGE,76,76,0.3712875964523745,0.293957342558404,-0.05293110103273672,76,0.3712875964523745,0.293957342558404,-0.05293110103273672,76,0.3712875964523745,0.29395734255840406,-0.052931101032736703
primary_common,full,2,CORE_AGG_MONTHLY_R13,74,74,0.4361914066804618,0.3259545817497083,-0.11378550547641499,74,0.775780117539862,0.5776140667782178,-0.20439010990551632,74,0.780703205427056,0.5804777753098559,-0.2062159353613606
primary_common,full,2,CORE_AGG_CUMULATIVE_R13,74,74,0.44519739493312527,0.3252300017579362,-0.12023954339545116,74,0.7821357500482328,0.5771835376965756,-0.2108441478245525,74,0.787108601867712,0.5800651121945115,-0.21270693449709308
primary_common,full,2,CORE_SPLIT_MONTHLY_R13,74,74,0.4027793529787971,0.29609936710787776,-0.09202557846520264,74,0.6981365708575746,0.5325363616901063,-0.16799694641573407,74,0.7026520934809487,0.5352744640106752,-0.16957780822635013
primary_common,full,2,CORE_SPLIT_CUMULATIVE_R13,74,74,0.41565491107421654,0.2997883138537335,-0.09807663978377325,74,0.7100302706027524,0.5361564797784585,-0.17404800773430462,74,0.7146368250723898,0.538926974708047,-0.1756721792815853
primary_common,full,2,INDEPENDENT_BRIDGE,74,74,0.39540412852663814,0.30189378996320804,-0.04454789484611589,74,0.6965222881973722,0.5451937085915073,-0.09853485582482087,74,0.7011463267828842,0.5482001238024268,-0.09878981881035434
primary_common,full,3,CORE_AGG_MONTHLY_R13,72,72,0.47047346045129307,0.3487460431946038,-0.07436998804046917,72,1.1467656002163595,0.7782386945796538,-0.27366023176826204,72,1.161605779971904,0.7871927073489164,-0.2784050525971466
primary_common,full,3,CORE_AGG_CUMULATIVE_R13,72,72,0.4745673075164824,0.3467045411103141,-0.07864520294324974,72,1.164072309193562,0.7797222994002289,-0.2837386490654774,72,1.179200950144227,0.7886881123370898,-0.28866107466501856
