origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2007-01,2007-02-07 23:59:00,2006-10,2006-12,2006-12-15T23:00:00+00:00,2006-12,2006-12,2006-12-31T23:00:00+00:00,2006-10,,,,
2007-02,2007-03-07 23:59:00,2006-11,2007-01,2007-01-15T23:00:00+00:00,2007-01,2007-01,2007-01-31T23:00:00+00:00,2006-11,,,,
2007-03,2007-04-07 23:59:00,2006-12,2007-02,2007-02-15T23:00:00+00:00,2007-02,2007-02,2007-02-28T23:00:00+00:00,2006-12,,,,
2007-04,2007-05-07 23:59:00,2007-01,2007-03,2007-03-15T23:00:00+00:00,2007-03,2007-03,2007-03-31T22:00:00+00:00,2007-01,,,,
2007-05,2007-06-07 23:59:00,2007-02,2007-04,2007-04-15T22:00:00+00:00,2007-04,2007-04,2007-04-30T22:00:00+00:00,2007-02,,,,
2007-06,2007-07-07 23:59:00,2007-03,2007-05,2007-05-15T22:00:00+00:00,2007-05,2007-05,2007-05-31T22:00:00+00:00,2007-03,,,,
2007-07,2007-08-07 23:59:00,2007-04,2007-06,2007-06-15T22:00:00+00:00,2007-06,2007-06,2007-06-30T22:00:00+00:00,2007-04,,,,
2007-08,2007-09-07 23:59:00,2007-05,2007-07,2007-07-15T22:00:00+00:00,2007-07,2007-07,2007-07-31T22:00:00+00:00,2007-05,,,,
2007-09,2007-10-07 23:59:00,2007-06,2007-08,2007-08-15T22:00:00+00:00,2007-08,2007-08,2007-08-31T22:00:00+00:00,2007-06,,,,
2007-10,2007-11-07 23:59:00,2007-07,2007-09,2007-09-15T22:00:00+00:00,2007-09,2007-09,2007-09-30T22:00:00+00:00,2007-07,,,,
2007-11,2007-12-07 23:59:00,2007-08,2007-10,2007-10-15T22:00:00+00:00,2007-10,2007-10,2007-10-31T23:00:00+00:00,2007-08,,,,
2007-12,2008-01-07 23:59:00,2007-09,2007-11,2007-11-15T23:00:00+00:00,2007-11,2007-11,2007-11-30T23:00:00+00:00,2007-09,,,,
2008-01,2008-02-07 23:59:00,2007-10,2007-12,2007-12-15T23:00:00+00:00,2007-12,2007-12,2007-12-31T23:00:00+00:00,2007-10,,,,
2008-02,2008-03-07 23:59:00,2007-11,2008-01,2008-01-15T23:00:00+00:00,2008-01,2008-01,2008-01-31T23:00:00+00:00,2007-11,,,,
2008-03,2008-04-07 23:59:00,2007-12,2008-02,2008-02-15T23:00:00+00:00,2008-02,2008-02,2008-02-29T23:00:00+00:00,2007-12,,,,
2008-04,2008-05-07 23:59:00,2008-01,2008-03,2008-03-15T23:00:00+00:00,2008-03,2008-03,2008-03-31T22:00:00+00:00,2008-01,,,,
2008-05,2008-06-07 23:59:00,2008-02,2008-04,2008-04-15T22:00:00+00:00,2008-04,2008-04,2008-04-30T22:00:00+00:00,2008-02,,,,
2008-06,2008-07-07 23:59:00,2008-03,2008-05,2008-05-15T22:00:00+00:00,2008-05,2008-05,2008-05-31T22:00:00+00:00,2008-03,,,,
2008-07,2008-08-07 23:59:00,2008-04,2008-06,2008-06-15T22:00:00+00:00,2008-06,2008-06,2008-06-30T22:00:00+00:00,2008-04,,,,
2008-08,2008-09-07 23:59:00,2008-05,2008-07,2008-07-15T22:00:00+00:00,2008-07,2008-07,2008-07-31T22:00:00+00:00,2008-05,,,,
2008-09,2008-10-07 23:59:00,2008-06,2008-08,2008-08-15T22:00:00+00:00,2008-08,2008-08,2008-08-31T22:00:00+00:00,2008-06,,,,
2008-10,2008-11-07 23:59:00,2008-07,2008-09,2008-09-15T22:00:00+00:00,2008-09,2008-09,2008-09-30T22:00:00+00:00,2008-07,,,,
2008-11,2008-12-07 23:59:00,2008-08,2008-10,2008-10-15T22:00:00+00:00,2008-10,2008-10,2008-10-31T23:00:00+00:00,2008-08,,,,
2008-12,2009-01-07 23:59:00,2008-09,2008-11,2008-11-15T23:00:00+00:00,2008-11,2008-11,2008-11-30T23:00:00+00:00,2008-09,,,,
2009-01,2009-02-07 23:59:00,2008-10,2008-12,2008-12-15T23:00:00+00:00,2008-12,2008-12,2008-12-31T23:00:00+00:00,2008-10,,,,
2009-02,2009-03-07 23:59:00,2008-11,2009-01,2009-01-15T23:00:00+00:00,2009-01,2009-01,2009-01-31T23:00:00+00:00,2008-11,,,,
2009-03,2009-04-07 23:59:00,2008-12,2009-02,2009-02-15T23:00:00+00:00,2009-02,2009-02,2009-02-28T23:00:00+00:00,2008-12,,,,
2009-04,2009-05-07 23:59:00,2009-01,2009-03,2009-03-15T23:00:00+00:00,2009-03,2009-03,2009-03-31T22:00:00+00:00,2009-01,,,,
2009-05,2009-06-07 23:59:00,2009-02,2009-04,2009-04-15T22:00:00+00:00,2009-04,2009-04,2009-04-30T22:00:00+00:00,2009-02,,,,
2009-06,2009-07-07 23:59:00,2009-03,2009-05,2009-05-15T22:00:00+00:00,2009-05,2009-05,2009-05-31T22:00:00+00:00,2009-03,,,,
2009-07,2009-08-07 23:59:00,2009-04,2009-06,2009-06-15T22:00:00+00:00,2009-06,2009-06,2009-06-30T22:00:00+00:00,2009-04,,,,
2009-08,2009-09-07 23:59:00,2009-05,2009-07,2009-07-15T22:00:00+00:00,2009-07,2009-07,2009-07-31T22:00:00+00:00,2009-05,,,,
2009-09,2009-10-07 23:59:00,2009-06,2009-08,2009-08-15T22:00:00+00:00,2009-08,2009-08,2009-08-31T22:00:00+00:00,2009-06,,,,
2009-10,2009-11-07 23:59:00,2009-07,2009-09,2009-09-15T22:00:00+00:00,2009-09,2009-09,2009-09-30T22:00:00+00:00,2009-07,,,,
2009-11,2009-12-07 23:59:00,2009-08,2009-10,2009-10-15T22:00:00+00:00,2009-10,2009-10,2009-10-31T23:00:00+00:00,2009-08,,,,
2009-12,2010-01-07 23:59:00,2009-09,2009-11,2009-11-15T23:00:00+00:00,2009-11,2009-11,2009-11-30T23:00:00+00:00,2009-09,,,,
2010-01,2010-02-08 23:59:00,2009-10,2009-12,2009-12-15T23:00:00+00:00,2009-12,2009-12,2009-12-31T23:00:00+00:00,2009-10,,,,
2010-02,2010-03-08 23:59:00,2009-11,2010-01,2010-01-15T23:00:00+00:00,2010-01,2010-01,2010-01-31T23:00:00+00:00,2009-11,,,,
2010-03,2010-04-08 23:59:00,2009-12,2010-02,2010-02-15T23:00:00+00:00,2010-02,2010-02,2010-02-28T23:00:00+00:00,2009-12,,,,
2010-04,2010-05-09 23:59:00,2010-01,2010-03,2010-03-15T23:00:00+00:00,2010-03,2010-03,2010-03-31T22:00:00+00:00,2010-01,,,,
2010-05,2010-06-08 23:59:00,2010-02,2010-04,2010-04-15T22:00:00+00:00,2010-04,2010-04,2010-04-30T22:00:00+00:00,2010-02,,,,
2010-06,2010-07-11 23:59:00,2010-03,2010-05,2010-05-15T22:00:00+00:00,2010-05,2010-05,2010-05-31T22:00:00+00:00,2010-03,,,,
2010-07,2010-08-08 23:59:00,2010-04,2010-06,2010-06-15T22:00:00+00:00,2010-06,2010-06,2010-06-30T22:00:00+00:00,2010-04,,,,
2010-08,2010-09-08 23:59:00,2010-05,2010-07,2010-07-15T22:00:00+00:00,2010-07,2010-07,2010-07-31T22:00:00+00:00,2010-05,,,,
2010-09,2010-10-10 23:59:00,2010-06,2010-08,2010-08-15T22:00:00+00:00,2010-08,2010-08,2010-08-31T22:00:00+00:00,2010-06,,,,
2010-10,2010-11-08 23:59:00,2010-07,2010-09,2010-09-15T22:00:00+00:00,2010-09,2010-09,2010-09-30T22:00:00+00:00,2010-07,,,,
2010-11,2010-12-08 23:59:00,2010-08,2010-10,2010-10-15T22:00:00+00:00,2010-10,2010-10,2010-10-31T23:00:00+00:00,2010-08,,,,
2010-12,2011-01-09 23:59:00,2010-09,2010-11,2010-11-15T23:00:00+00:00,2010-11,2010-11,2010-11-30T23:00:00+00:00,2010-09,,,,
2011-01,2011-02-08 23:59:00,2010-10,2010-12,2010-12-15T23:00:00+00:00,2010-12,2010-12,2010-12-31T23:00:00+00:00,2010-10,,,,
2011-02,2011-03-08 23:59:00,2010-11,2011-01,2011-01-15T23:00:00+00:00,2011-01,2011-01,2011-01-31T23:00:00+00:00,2010-11,,,,
2011-03,2011-04-10 23:59:00,2010-12,2011-02,2011-02-15T23:00:00+00:00,2011-02,2011-02,2011-02-28T23:00:00+00:00,2010-12,,,,
2011-04,2011-05-09 23:59:00,2011-01,2011-03,2011-03-15T23:00:00+00:00,2011-03,2011-03,2011-03-31T22:00:00+00:00,2011-01,,,,
2011-05,2011-06-08 23:59:00,2011-02,2011-04,2011-04-15T22:00:00+00:00,2011-04,2011-04,2011-04-30T22:00:00+00:00,2011-02,,,,
2011-06,2011-07-11 23:59:00,2011-03,2011-05,2011-05-15T22:00:00+00:00,2011-05,2011-05,2011-05-31T22:00:00+00:00,2011-03,,,,
2011-07,2011-08-08 23:59:00,2011-04,2011-06,2011-06-15T22:00:00+00:00,2011-06,2011-06,2011-06-30T22:00:00+00:00,2011-04,,,,
2011-08,2011-09-08 23:59:00,2011-05,2011-07,2011-07-15T22:00:00+00:00,2011-07,2011-07,2011-07-31T22:00:00+00:00,2011-05,,,,
2011-09,2011-10-09 23:59:00,2011-06,2011-08,2011-08-15T22:00:00+00:00,2011-08,2011-08,2011-08-31T22:00:00+00:00,2011-06,,,,
