origin,origin_coreweight,basket_effective_year,basket_available_from,max_reconciliation_error
2019-02,0.5473483906668922,2018,2018-02-14,2.7755575615628914e-17
2019-03,0.5518118388714258,2018,2018-02-14,2.7755575615628914e-17
2019-04,0.5506152285898372,2018,2018-02-14,2.7755575615628914e-17
2019-05,0.5509025905852826,2018,2018-02-14,2.7755575615628914e-17
2019-06,0.5513522221960248,2018,2018-02-14,2.7755575615628914e-17
2019-07,0.5511366843062552,2018,2018-02-14,2.7755575615628914e-17
2019-08,0.550495125585692,2018,2018-02-14,2.7755575615628914e-17
2019-09,0.5501700104465688,2018,2018-02-14,2.7755575615628914e-17
2019-10,0.5518523549344644,2018,2018-02-14,2.7755575615628914e-17
2019-11,0.5505863362349064,2018,2018-02-14,1.3877787807814457e-17
2019-12,0.5497945860040815,2018,2018-02-14,1.3877787807814457e-17
2020-01,0.5495554642099969,2018,2018-02-14,2.7755575615628914e-17
2020-02,0.5500012072099969,2020,2020-02-14,6.938893903907228e-18
2020-03,0.5500012072099969,2020,2020-02-14,6.938893903907228e-18
2020-04,0.5500012072099969,2020,2020-02-14,6.938893903907228e-18
2020-05,0.6216007530000001,2020,2020-02-14,6.938893903907228e-18
2020-06,0.5396866552269519,2020,2020-02-14,6.938893903907228e-18
2020-07,0.5546457536795688,2020,2020-02-14,2.7755575615628914e-17
2020-08,0.4974562446703834,2020,2020-02-14,6.938893903907228e-18
2020-09,0.4974562446703834,2020,2020-02-14,6.938893903907228e-18
2020-10,0.525484605528538,2020,2020-02-14,6.938893903907228e-18
2020-11,0.5483332202847917,2020,2020-02-14,2.7755575615628914e-17
2020-12,0.548521718017104,2020,2020-02-14,2.7755575615628914e-17
2021-01,0.548414886550344,2020,2020-02-14,2.7755575615628914e-17
2021-02,0.5497432154591964,2020,2020-02-14,6.938893903907228e-18
2021-03,0.5488701034587677,2020,2020-02-14,2.7755575615628914e-17
2021-04,0.5491105590630627,2020,2020-02-14,2.7755575615628914e-17
2021-05,0.5484101494566364,2020,2020-02-14,2.7755575615628914e-17
2021-06,0.5481060061489085,2020,2020-02-14,6.938893903907228e-18
2021-07,0.548162729046482,2020,2020-02-14,2.7755575615628914e-17
2021-08,0.5555839028028581,2020,2020-02-14,6.938893903907228e-18
