period,model,error,weighted_core_error,noncore_reconciliation_error,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2019-02,R9_BASE,0.11775488058818212,0.017425761335586928,0.10032911925259519,0.0,0.0,0.0
2019-03,R9_BASE,-0.10053976045834284,0.0796811818759068,-0.18022094233424962,0.0,-0.0,0.0
2019-04,R9_BASE,0.2871075486743049,-0.02138223888611326,0.3084897875604181,0.0,0.0,0.0
2019-05,R9_BASE,-0.47452332928290936,0.001321720711603702,-0.47584504999451305,0.0,-0.0,0.0
2019-06,R9_BASE,-0.07589670153715375,-0.07003611024969747,-0.005860591287456279,0.0,-0.0,0.0
2019-07,R9_BASE,0.03522902776385095,-0.18547019979252652,0.2206992275563775,0.0,0.0,0.0
2019-08,R9_BASE,-0.027879728311077073,0.030798322419517948,-0.058678050730595024,0.0,-0.0,0.0
2019-09,R9_BASE,0.2884625724848371,0.21283040290902097,0.07563216957581609,0.0,0.0,0.0
2019-10,R9_BASE,-0.27059388325455497,-0.2153025700918294,-0.05529131316272551,0.0,-0.0,0.0
2019-11,R9_BASE,-0.13972114269539054,0.05458008234459896,-0.1943012250399895,0.0,-0.0,0.0
2019-12,R9_BASE,-0.1848659477001664,-0.0015531328461491172,-0.1833128148540173,0.0,-0.0,0.0
2020-01,R9_BASE,-0.6089216353997166,-0.2446519580513989,-0.3642696773483176,0.0,-0.0,0.0
2020-02,R9_BASE,0.001625568178591219,-0.17649958527702866,0.1781251534556199,0.0,0.0,0.0
2020-03,R9_BASE,-0.16205742195104647,0.17413245870094882,-0.3361898806519953,0.0,-0.0,0.0
2020-04,R9_BASE,-0.11758186237127,-0.01715725626611353,-0.10042460610515647,0.0,-0.0,0.0
2020-05,R9_BASE,-0.22445821410893751,-0.2900614130960764,0.06560319898713896,0.0,0.0,0.0
2020-06,R9_BASE,-0.2561182645982287,0.02674287246315754,-0.2828611370613862,0.0,-0.0,0.0
2020-07,R9_BASE,0.08695029773844737,-0.2706906783372478,0.3576409760756951,0.0,0.0,0.0
2020-08,R9_BASE,0.03313375648649175,0.11969684482762186,-0.0865630883411301,0.0,-0.0,0.0
2020-09,R9_BASE,0.2206944687390875,0.015811057894669352,0.20488341084441813,0.0,0.0,0.0
2020-10,R9_BASE,-0.016449296126514523,-0.12726533858402003,0.11081604245750548,0.0,0.0,0.0
2020-11,R9_BASE,0.1331935220806632,0.11616962660641106,0.01702389547425215,0.0,0.0,0.0
2020-12,R9_BASE,0.374398629750002,0.1420303949357058,0.2323682348142962,0.0,0.0,0.0
2021-01,R9_BASE,-0.4714209477304403,-0.16413336539047735,-0.307287582339963,0.0,-0.0,0.0
2021-02,R9_BASE,0.2287738547440542,0.18223395488988647,0.04653989985416773,0.0,0.0,0.0
