model,frame,n,rmse,mae
R9_BASE,all,90,0.2997166455678414,0.2408643018849658
R9_BASE,2024+,31,0.19013957694935205,0.1491075961606604
R9_BASE,ex_jan,83,0.2985139167530689,0.23907950927597973
R9_BASE,flash2025+,19,0.13201748039704428,0.11658015571665543
R9_BASE,big,23,0.38884796122333637,0.34604939749480323
R9_BASE,big_up,13,0.414773037693273,0.38545104711376843
R9_BASE,big_down,10,0.35230472654061484,0.29482725299014845
R9_HALF,all,90,0.3005847564989449,0.2325534856746083
R9_HALF,2024+,31,0.1593732378115035,0.11685379020192664
R9_HALF,ex_jan,83,0.3035508296998359,0.23464472677823237
R9_HALF,flash2025+,19,0.10239372451628904,0.08851355776586657
R9_HALF,big,23,0.38868107838501287,0.3390977921295078
R9_HALF,big_up,13,0.4240422708938802,0.38708150570051114
R9_HALF,big_down,10,0.33721277235766656,0.27671896448720357
R9_FULL,all,90,0.3213586873230675,0.24022218499468018
R9_FULL,2024+,31,0.15086248058200308,0.10747416683021739
R9_FULL,ex_jan,83,0.32848379843706804,0.24584701289349656
R9_FULL,flash2025+,19,0.10164224035755508,0.08178905165711459
R9_FULL,big,23,0.4068896706803337,0.33919256455259655
R9_FULL,big_up,13,0.4535384840869257,0.3887119642872537
R9_FULL,big_down,10,0.33671926872749564,0.27481734489754234
CATEGORY_RAW,all,90,0.2464553931548572,0.1828690633252549
CATEGORY_RAW,2024+,31,0.1416059775208875,0.11462901626842571
CATEGORY_RAW,ex_jan,83,0.23534668892592192,0.17501022213851333
CATEGORY_RAW,flash2025+,19,0.10346214519725798,0.0917482169629553
CATEGORY_RAW,big,23,0.359686149974295,0.30450691533791285
CATEGORY_RAW,big_up,13,0.43625951546646663,0.39578434875682195
CATEGORY_RAW,big_down,10,0.22392279166291734,0.1858462518933309
CATEGORY_HALF_CORRECTION,all,90,0.2514816450700464,0.18812985825041809
CATEGORY_HALF_CORRECTION,2024+,31,0.1446253014419755,0.11619130582463319
CATEGORY_HALF_CORRECTION,ex_jan,83,0.2408591529517759,0.17971127077761795
CATEGORY_HALF_CORRECTION,flash2025+,19,0.1105758057703213,0.09409282084743256
CATEGORY_HALF_CORRECTION,big,23,0.3563984752023436,0.2990005250925107
CATEGORY_HALF_CORRECTION,big_up,13,0.43488028502753406,0.39224035324022266
CATEGORY_HALF_CORRECTION,big_down,10,0.21514782637470353,0.17778874850048515
CATEGORY_FULL_CORRECTION,all,90,0.261895028354444,0.19740486182207898
CATEGORY_FULL_CORRECTION,2024+,31,0.15393786429926856,0.12198443688888452
CATEGORY_FULL_CORRECTION,ex_jan,83,0.25214961609459613,0.18876507578039475
CATEGORY_FULL_CORRECTION,flash2025+,19,0.12763468272018566,0.09801485181919943
CATEGORY_FULL_CORRECTION,big,23,0.3547649396676207,0.2978934814597545
CATEGORY_FULL_CORRECTION,big_up,13,0.43496716910349165,0.3886963577236232
CATEGORY_FULL_CORRECTION,big_down,10,0.20861065146026259,0.17984974231672507
BASE_MATCHED_HALF,all,90,0.29538598989164755,0.23275218594206776
BASE_MATCHED_HALF,2024+,31,0.17758019511765422,0.13004005899779558
BASE_MATCHED_HALF,ex_jan,83,0.2940270098354564,0.2307893149719873
BASE_MATCHED_HALF,flash2025+,19,0.11509190322901817,0.09446213137333902
BASE_MATCHED_HALF,big,23,0.3814311961933027,0.3367660619432115
BASE_MATCHED_HALF,big_up,13,0.4187723517362438,0.3841689456959428
BASE_MATCHED_HALF,big_down,10,0.3265655749392886,0.27514231306466075
BASE_MATCHED_FULL,all,90,0.299338132362704,0.23467732834227067
BASE_MATCHED_FULL,2024+,31,0.17793165812536285,0.13359584441155278
BASE_MATCHED_FULL,ex_jan,83,0.29815920224135467,0.2321433477923083
BASE_MATCHED_FULL,flash2025+,19,0.11796248497447938,0.10110224436339985
BASE_MATCHED_FULL,big,23,0.38126290802910257,0.3319558741986226
BASE_MATCHED_FULL,big_up,13,0.4246640987834825,0.3828868442781171
BASE_MATCHED_FULL,big_down,10,0.31605340649167907,0.26574561309527966
