period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2019-02,R9_HALF,R9_BASE,-0.0017567523328905945,-0.005611602758748174,-0.007368355091638771
2019-03,R9_HALF,R9_BASE,0.0007189016070657849,-0.0016748276742057488,-0.0009559260671399648
2019-04,R9_HALF,R9_BASE,-0.00015107520514081522,-0.02840911921921091,-0.02856019442435173
2019-05,R9_HALF,R9_BASE,-0.000302724373177604,0.015348273425392658,0.015045549052215057
2019-06,R9_HALF,R9_BASE,-0.009620702446274797,-0.0005917643823879576,-0.010212466828662756
2019-07,R9_HALF,R9_BASE,0.0018009426053301192,-0.0021718298210896196,-0.0003708872157594993
2019-08,R9_HALF,R9_BASE,-0.0010770433048426678,0.00166740971497457,0.0005903664101319021
2019-09,R9_HALF,R9_BASE,0.0024480201159398085,0.0008820196279445961,0.0033300397438843915
2019-10,R9_HALF,R9_BASE,0.02090410721414121,0.006167037609596144,0.02707114482373736
2019-11,R9_HALF,R9_BASE,-0.0038402227502928547,0.010880252468166879,0.007040029717874026
2019-12,R9_HALF,R9_BASE,-2.9690827786991377e-07,-3.402675443995034e-05,-3.432366271782089e-05
2020-01,R9_HALF,R9_BASE,0.011619079339481128,0.018232525756256238,0.029851605095737366
2020-02,R9_HALF,R9_BASE,0.0063632306486966425,-0.006788264157230334,-0.00042503350853369287
2020-03,R9_HALF,R9_BASE,-0.0009081357121556721,0.001740363015453359,0.0008322273032976869
2020-04,R9_HALF,R9_BASE,5.450612272154526e-05,0.00033535195920699027,0.000389858081928535
2020-05,R9_HALF,R9_BASE,-0.0021033243960917464,0.00047277244968529653,-0.0016305519464064402
2020-06,R9_HALF,R9_BASE,-0.0033067817784665377,0.02074847303977681,0.017441691261310274
2020-07,R9_HALF,R9_BASE,0.008928849551684215,-0.012180047504425903,-0.0032511979527416954
2020-08,R9_HALF,R9_BASE,-0.002336682759665122,0.0016260597680442578,-0.0007106229916208637
2020-09,R9_HALF,R9_BASE,0.00019182727130146967,0.009603900783142293,0.009795728054443759
2020-10,R9_HALF,R9_BASE,0.014605910325215275,-0.01936700109951255,-0.004761090774297274
2020-11,R9_HALF,R9_BASE,-0.004495748783356767,-0.0006115458185561277,-0.005107294601912896
2020-12,R9_HALF,R9_BASE,-0.004683384459771751,-0.00726267759466848,-0.011946062054440237
2021-01,R9_HALF,R9_BASE,0.016649858084706065,0.03853030048697237,0.055180158571678434
2021-02,R9_HALF,R9_BASE,-0.0361105465526302,-0.007544351091424197,-0.0436548976440544
2021-03,R9_HALF,R9_BASE,0.000198427224578381,-0.0005796088640932143,-0.0003811816395148334
2021-04,R9_HALF,R9_BASE,0.0005286352225356194,0.013193357079686283,0.013721992302221903
2021-05,R9_HALF,R9_BASE,-0.0042369789753919935,-0.010827869264054041,-0.015064848239446038
2021-06,R9_HALF,R9_BASE,0.008769227076077649,-0.0033116016634090325,0.005457625412668612
2021-07,R9_HALF,R9_BASE,0.010973641606834901,0.006286024257219053,0.01725966586405396
2021-08,R9_HALF,R9_BASE,-0.03999971523006397,-0.0186064596619457,-0.05860617489200967
2021-09,R9_HALF,R9_BASE,0.0023942395244286735,0.0015214699088415733,0.003915709433270256
2021-10,R9_HALF,R9_BASE,0.03527397297025074,-0.0018923379269322957,0.033381635043318446
2021-11,R9_HALF,R9_BASE,0.0072803608014060245,-0.02288104349101751,-0.015600682689611511
2021-12,R9_HALF,R9_BASE,-0.06566994858805872,-0.020881288766399404,-0.08655123735445813
2022-01,R9_HALF,R9_BASE,0.024080324765725622,-0.02400669671913656,7.362804658906134e-05
2022-02,R9_HALF,R9_BASE,-0.02241295610113222,0.0859711072084102,0.06355815110727797
2022-03,R9_HALF,R9_BASE,-0.00985460086917199,-0.010869591587784336,-0.020724192456956336
2022-04,R9_HALF,R9_BASE,0.03354550359177057,0.10650896922981333,0.1400544728215839
2022-05,R9_HALF,R9_BASE,-0.0627826755351863,0.04692812586978663,-0.01585454966539967
2022-06,R9_HALF,R9_BASE,-0.0035141963872169757,0.03767465972199482,0.03416046333477784
2022-07,R9_HALF,R9_BASE,-0.0825082974403153,0.04690623487327956,-0.035602062567035755
2022-08,R9_HALF,R9_BASE,-0.027815924129885525,0.007080202399933978,-0.020735721729951542
2022-09,R9_HALF,R9_BASE,0.011028468141121928,-0.0733819987592497,-0.06235353061812776
2022-10,R9_HALF,R9_BASE,0.015755701150141615,0.23273101807061822,0.24848671922076004
2022-11,R9_HALF,R9_BASE,-0.01983965106466816,0.045212155007160006,0.025372503942491853
2022-12,R9_HALF,R9_BASE,-0.010725885630931768,0.004709425230419101,-0.006016460400512668
2023-01,R9_HALF,R9_BASE,0.003636322714350425,-0.04322623239286207,-0.039589909678511725
2023-02,R9_HALF,R9_BASE,-0.0008312195690359396,-0.0036728650734007915,-0.004504084642436731
2023-03,R9_HALF,R9_BASE,0.00625509022416215,0.014322575436608767,0.020577665660770916
2023-04,R9_HALF,R9_BASE,0.04138213571979159,0.04870360835056692,0.09008574407035846
